[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  31      12.39      12.00      12.88       0.22
  104 UNKNOWN                  31      15.14      14.33      15.74       0.30
  105 UNKNOWN                  31       7.94       7.26       8.52       0.28
  106 UNKNOWN                  31      16.44      14.97      17.89       0.95
  107 UNKNOWN                  31      43.54      40.96      47.70       1.56
  108 UNKNOWN                  31      23.69      21.79      25.56       1.18
  109 UNKNOWN                  31       4.73       4.16       5.41       0.29
  110 UNKNOWN                  31      13.62      13.07      14.04       0.22
  111 UNKNOWN                  31       9.91       9.69      10.29       0.16
  112 UNKNOWN                  31      12.65      11.86      13.06       0.32
  113 UNKNOWN                  31      15.03      14.29      15.52       0.30
  114 UNKNOWN                  31       8.18       7.50       8.60       0.28
  115 UNKNOWN                  31      16.16      14.88      17.56       0.81
  116 UNKNOWN                  31      41.42      38.80      44.03       1.39
  117 UNKNOWN                  31      23.39      21.85      25.56       1.12
  118 UNKNOWN                  31       4.87       4.24       8.01       0.67
  119 UNKNOWN                  31      13.59      13.04      13.97       0.22
  120 UNKNOWN                  31       9.75       9.27      10.23       0.23
  121 UNKNOWN                  31      12.36      11.52      13.09       0.37
  122 UNKNOWN                  31      15.13      14.67      15.81       0.27
  123 UNKNOWN                  31       8.02       7.50       8.56       0.27
  124 UNKNOWN                  31      16.25      14.83      17.76       0.93
  125 UNKNOWN                  31      42.73      39.61      46.37       1.63
  126 UNKNOWN                  31      23.59      22.11      24.79       0.79
  127 UNKNOWN                  31       4.81       4.24       6.12       0.41
  128 UNKNOWN                  31      13.71      13.24      14.23       0.22
  129 UNKNOWN                  31       9.47       9.14       9.87       0.17
  130 UNKNOWN                  31      12.19      10.93      13.09       0.50
  131 UNKNOWN                  31      14.97      14.40      15.75       0.28
  132 UNKNOWN                  31       7.83       7.12       8.30       0.32
  133 UNKNOWN                  31      16.82      15.02      18.10       0.94
  134 UNKNOWN                  31      41.51      39.21      43.77       1.19
  135 UNKNOWN                  31      23.29      21.37      25.44       1.16
  136 UNKNOWN                  31       5.15       4.11       7.01       0.73
  137 UNKNOWN                  31      13.74      13.38      14.02       0.16
  138 UNKNOWN                  31       9.82       9.43      11.14       0.29
  139 UNKNOWN                  31      12.64      11.96      13.20       0.25
  140 UNKNOWN                  31      15.00      14.51      15.60       0.23
  141 UNKNOWN                  31       7.86       7.26       8.20       0.22
  142 UNKNOWN                  31      16.50      15.14      17.97       0.99
  143 UNKNOWN                  31      41.77      38.71      45.00       1.70
  144 UNKNOWN                  31      23.26      21.69      25.48       1.08
  145 UNKNOWN                  31       4.94       4.33       6.40       0.42
  146 UNKNOWN                  31      13.65      13.14      14.16       0.25
  147 UNKNOWN                  31       9.72       9.45      10.14       0.17
  148 UNKNOWN                  31      12.55      11.58      13.38       0.41
  149 UNKNOWN                  31      14.88      14.36      15.44       0.29
  150 UNKNOWN                  31       7.89       7.23       8.51       0.30
  151 UNKNOWN                  31      16.31      15.12      18.09       0.96
  152 UNKNOWN                  31      41.77      38.98      44.64       1.45
  153 UNKNOWN                  31      23.14      21.84      25.13       1.04
  154 UNKNOWN                  31       4.86       4.28       6.04       0.47
