[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  28     171.16      96.96     294.24      47.23
    2 UNKNOWN                  29      13.50      11.95      14.79       0.71
    3 UNKNOWN                  29      28.21      26.02      30.40       1.38
    4 UNKNOWN                  29      10.72      10.45      11.48       0.20
    5 UNKNOWN                  29      11.79      11.52      12.19       0.15
    6 UNKNOWN                  29      17.92      17.15      20.72       0.77
    7 UNKNOWN                  29      13.48      12.23      15.80       1.21
    8 UNKNOWN                  29       4.31       3.38       4.86       0.48
    9 UNKNOWN                  29      35.46      33.86      37.10       0.89
   10 UNKNOWN                  29      51.19      50.04      52.60       0.79
   11 UNKNOWN                  29      14.13      13.65      14.72       0.33
   12 UNKNOWN                  29      10.67      10.22      11.18       0.21
   13 UNKNOWN                  29      11.92      11.50      12.42       0.24
   14 UNKNOWN                  29      17.72      16.83      20.64       0.95
   15 UNKNOWN                  29      12.97      11.34      15.68       1.35
   16 UNKNOWN                  29      20.14      18.38      21.66       0.81
   17 UNKNOWN                  29      43.08      39.21      48.29       1.95
   18 UNKNOWN                  29      23.59      21.81      26.20       1.30
   19 UNKNOWN                  29       5.09       4.06       5.98       0.40
   20 UNKNOWN                  29      14.23      13.53      14.96       0.37
   21 UNKNOWN                  29      10.62      10.43      10.97       0.13
   22 UNKNOWN                  29      12.03      11.48      12.41       0.23
   23 UNKNOWN                  29      17.36      16.87      17.88       0.21
   24 UNKNOWN                  29      13.09      12.09      14.62       0.56
   25 UNKNOWN                  29      19.97      17.77      20.75       0.78
   26 UNKNOWN                  29      42.08      39.17      45.36       1.56
   27 UNKNOWN                  29      23.02      21.63      24.99       1.04
   28 UNKNOWN                  29       5.01       4.17       5.52       0.34
   29 UNKNOWN                  29      14.06      13.49      14.92       0.39
   30 UNKNOWN                  29      10.71      10.33      11.40       0.19
   31 UNKNOWN                  29      11.85      11.28      12.35       0.27
   32 UNKNOWN                  29      17.31      16.77      19.16       0.45
   33 UNKNOWN                  29      12.97      12.16      14.93       0.55
   34 UNKNOWN                  29      19.88      18.28      20.75       0.88
   35 UNKNOWN                  29      41.81      38.84      45.45       1.79
   36 UNKNOWN                  29      24.33      21.54      27.20       1.45
   37 UNKNOWN                  29       5.03       4.25       5.72       0.39
   38 UNKNOWN                  29      14.12      13.39      14.83       0.33
   39 UNKNOWN                  29      10.69      10.28      11.30       0.23
   40 UNKNOWN                  29      11.94      11.32      12.80       0.41
   41 UNKNOWN                  29      17.44      16.95      17.82       0.27
   42 UNKNOWN                  29      13.18      12.23      15.07       0.76
   43 UNKNOWN                  29      20.04      18.29      20.85       0.89
   44 UNKNOWN                  29      44.10      39.63      46.38       1.73
   45 UNKNOWN                  29      23.70      21.87      26.32       1.30
   46 UNKNOWN                  29       5.01       4.25       5.41       0.27
   47 UNKNOWN                  29      14.15      13.71      14.64       0.26
   48 UNKNOWN                  29      10.41       9.98      10.94       0.22
   49 UNKNOWN                  29      12.23      11.51      12.78       0.31
   50 UNKNOWN                  29      17.46      16.68      20.64       0.69
   51 UNKNOWN                  29      13.10      12.25      15.21       0.62
   52 UNKNOWN                  29      19.80      18.10      20.66       0.75
   53 UNKNOWN                  29      41.53      39.30      43.33       1.04
   54 UNKNOWN                  29      23.21      20.97      25.00       1.10
   55 UNKNOWN                  29       5.20       3.80       7.43       0.68
   56 UNKNOWN                  29      14.28      13.67      15.16       0.41
   57 UNKNOWN                  29      10.42      10.15      10.74       0.13
   58 UNKNOWN                  29      12.14      11.82      12.49       0.17
   59 UNKNOWN                  29      17.44      16.91      18.78       0.40
   60 UNKNOWN                  29      12.99      12.08      15.20       0.72
   61 UNKNOWN                  29      19.48      17.68      20.32       0.90
   62 UNKNOWN                  29      40.87      39.03      43.44       1.33
   63 UNKNOWN                  29      23.02      21.52      25.08       1.12
   64 UNKNOWN                  29       4.91       4.25       5.86       0.38
   65 UNKNOWN                  29      14.31      13.40      15.00       0.38
   66 UNKNOWN                  29      10.68      10.36      11.05       0.18
   67 UNKNOWN                  29      11.97      11.40      12.52       0.27
   68 UNKNOWN                  29      17.38      16.79      21.68       0.86
   69 UNKNOWN                  29      13.11      12.34      16.84       0.89
   70 UNKNOWN                  29      18.52      17.72      20.46       0.69
   71 UNKNOWN                  29      42.11      38.57      46.26       1.70
   72 UNKNOWN                  29      23.37      21.87      25.40       0.94
   73 UNKNOWN                  29       5.26       4.16       7.31       0.59
   74 UNKNOWN                  29      14.12      13.58      14.88       0.36
   75 UNKNOWN                  29      10.63      10.36      11.00       0.16
   76 UNKNOWN                  29      11.86      11.24      12.60       0.36
   77 UNKNOWN                  29      17.35      16.94      17.96       0.27
   78 UNKNOWN                  29      12.68      12.12      13.40       0.33
   79 UNKNOWN                  29      19.29      17.94      20.50       0.87
   80 UNKNOWN                  29      42.11      38.20      46.66       1.85
   81 UNKNOWN                  29      23.42      21.30      27.28       1.26
   82 UNKNOWN                  29       4.96       4.05       6.00       0.41
   83 UNKNOWN                  29      14.26      13.52      15.07       0.42
   84 UNKNOWN                  29      10.46      10.10      10.74       0.16
   85 UNKNOWN                  29      12.29      11.67      12.82       0.28
   86 UNKNOWN                  29      17.20      16.73      17.64       0.20
   87 UNKNOWN                  29      12.96      12.57      13.48       0.27
   88 UNKNOWN                  29      19.23      17.66      20.23       0.76
   89 UNKNOWN                  29      41.28      38.81      43.89       1.35
   90 UNKNOWN                  29      23.51      21.54      26.96       1.19
   91 UNKNOWN                  29       4.89       4.40       5.59       0.29
   92 UNKNOWN                  29      14.20      13.62      15.08       0.40
   93 UNKNOWN                  29      10.32       9.95      10.61       0.17
   94 UNKNOWN                  29      11.75      11.34      12.16       0.24
   95 UNKNOWN                  29      17.22      16.60      17.84       0.25
   96 UNKNOWN                  29      12.74      12.23      14.58       0.46
   97 UNKNOWN                  29      18.68      17.93      20.49       0.66
   98 UNKNOWN                  29      41.67      39.91      43.51       1.03
   99 UNKNOWN                  29      24.46      21.69      28.00       1.76
  100 UNKNOWN                  29       5.06       4.37       5.94       0.35
  101 UNKNOWN                  29      14.19      13.81      14.90       0.35
  102 UNKNOWN                  29      10.35      10.01      11.23       0.22
  103 UNKNOWN                  29      11.75      11.23      12.40       0.29
  104 UNKNOWN                  29      17.11      16.71      17.62       0.19
  105 UNKNOWN                  29      12.81      12.18      13.60       0.31
  106 UNKNOWN                  29      18.74      17.86      19.92       0.61
  107 UNKNOWN                  29      41.46      39.65      43.89       1.25
  108 UNKNOWN                  29      23.76      20.97      27.16       1.76
  109 UNKNOWN                  29       5.10       4.40       6.50       0.47
  110 UNKNOWN                  29      13.67      13.10      14.34       0.35
  111 UNKNOWN                  29      10.43      10.11      10.79       0.16
  112 UNKNOWN                  29      11.54      11.20      12.04       0.22
  113 UNKNOWN                  29      17.26      16.84      19.14       0.41
  114 UNKNOWN                  29      12.86      12.07      15.27       0.73
  115 UNKNOWN                  29      18.70      17.69      20.39       0.82
  116 UNKNOWN                  29      41.37      38.71      43.47       1.17
  117 UNKNOWN                  29      23.64      21.62      25.48       1.13
  118 UNKNOWN                  29       4.86       4.41       5.56       0.36
  119 UNKNOWN                  29      14.42      13.64      14.95       0.37
  120 UNKNOWN                  29      10.27       9.82      11.00       0.25
  121 UNKNOWN                  29      11.84      11.51      12.22       0.19
  122 UNKNOWN                  29      17.30      16.67      19.77       0.54
  123 UNKNOWN                  29      12.99      12.41      13.64       0.28
  124 UNKNOWN                  29      19.14      17.87      20.30       0.90
  125 UNKNOWN                  29      42.79      39.31      47.01       1.92
  126 UNKNOWN                  29      23.38      21.63      26.96       1.31
  127 UNKNOWN                  29       5.10       4.23       6.28       0.44
  128 UNKNOWN                  29      14.11      13.53      14.72       0.32
  129 UNKNOWN                  29      10.42       9.96      10.85       0.20
  130 UNKNOWN                  29      12.12      11.53      12.65       0.28
  131 UNKNOWN                  29      17.34      16.88      18.77       0.38
  132 UNKNOWN                  29      12.99      12.39      14.50       0.41
  133 UNKNOWN                  29      19.72      18.05      20.77       0.99
  134 UNKNOWN                  29      41.31      38.76      44.03       1.39
  135 UNKNOWN                  29      23.43      21.63      25.16       1.03
  136 UNKNOWN                  29       5.42       4.60       7.64       0.58
  137 UNKNOWN                  29      14.35      13.54      15.09       0.40
  138 UNKNOWN                  29      10.53      10.09      10.80       0.18
  139 UNKNOWN                  29      12.01      11.31      12.44       0.28
  140 UNKNOWN                  29      17.34      16.85      17.92       0.28
  141 UNKNOWN                  29      12.80      12.26      13.36       0.26
  142 UNKNOWN                  29      19.81      18.31      21.64       1.05
  143 UNKNOWN                  29      41.60      38.84      45.00       1.38
  144 UNKNOWN                  29      23.04      21.47      27.00       1.19
  145 UNKNOWN                  29       5.11       4.33       6.15       0.42
  146 UNKNOWN                  29      14.18      13.57      14.82       0.36
  147 UNKNOWN                  29      10.42      10.12      11.10       0.18
  148 UNKNOWN                  29      12.23      11.45      12.56       0.25
  149 UNKNOWN                  29      17.36      16.81      17.83       0.29
  150 UNKNOWN                  29      12.79      11.91      13.48       0.36
  151 UNKNOWN                  29      19.74      18.15      20.79       0.93
  152 UNKNOWN                  29      41.11      38.15      44.15       1.66
  153 UNKNOWN                  29      23.44      21.80      26.76       1.40
  154 UNKNOWN                  29       5.09       4.08       6.85       0.53
