[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  28     221.17     189.88     287.88      30.85
    2 UNKNOWN                  29      13.81      12.00      14.96       0.75
    3 UNKNOWN                  29      16.73      15.20      19.28       0.94
    4 UNKNOWN                  29       9.78       9.46      11.80       0.40
    5 UNKNOWN                  29      12.45      11.28      13.32       0.44
    6 UNKNOWN                  29      15.24      14.62      15.76       0.32
    7 UNKNOWN                  29       7.74       7.04       8.40       0.30
    8 UNKNOWN                  29       4.45       3.55       5.25       0.57
    9 UNKNOWN                  29      33.90      32.66      35.38       0.75
   10 UNKNOWN                  29      50.54      49.33      52.00       0.74
   11 UNKNOWN                  29      13.61      13.32      14.26       0.25
   12 UNKNOWN                  29       9.74       9.43      11.32       0.34
   13 UNKNOWN                  29      12.16      11.68      12.68       0.26
   14 UNKNOWN                  29      15.17      14.52      15.62       0.28
   15 UNKNOWN                  29       7.07       6.83       7.44       0.20
   16 UNKNOWN                  29      16.75      15.48      18.30       1.09
   17 UNKNOWN                  29      42.76      39.26      46.57       2.04
   18 UNKNOWN                  29      23.64      21.52      26.24       1.15
   19 UNKNOWN                  29       4.59       3.92       5.16       0.32
   20 UNKNOWN                  29      13.60      13.24      14.42       0.25
   21 UNKNOWN                  29      10.14       9.72      10.52       0.18
   22 UNKNOWN                  29      12.37      11.81      12.92       0.29
   23 UNKNOWN                  29      15.37      14.68      15.88       0.31
   24 UNKNOWN                  29       7.75       7.24       8.34       0.28
   25 UNKNOWN                  29      17.18      15.60      18.38       1.00
   26 UNKNOWN                  29      43.90      39.60      48.10       1.78
   27 UNKNOWN                  29      23.07      21.80      25.52       0.86
   28 UNKNOWN                  29       4.62       4.06       5.64       0.32
   29 UNKNOWN                  29      13.55      12.89      14.12       0.24
   30 UNKNOWN                  29       9.72       9.38      10.03       0.19
   31 UNKNOWN                  29      12.45      11.88      13.10       0.31
   32 UNKNOWN                  29      15.17      14.24      15.72       0.31
   33 UNKNOWN                  29       7.96       7.48       8.39       0.23
   34 UNKNOWN                  29      16.62      14.80      18.12       1.06
   35 UNKNOWN                  29      44.03      38.70      49.03       2.41
   36 UNKNOWN                  29      23.19      21.83      25.68       1.15
   37 UNKNOWN                  29       4.73       4.38       5.44       0.26
   38 UNKNOWN                  29      13.62      13.14      13.92       0.19
   39 UNKNOWN                  29       9.74       9.44      10.06       0.15
   40 UNKNOWN                  29      12.33      11.04      12.96       0.36
   41 UNKNOWN                  29      15.08      14.79      15.52       0.18
   42 UNKNOWN                  29       7.89       7.28       8.40       0.28
   43 UNKNOWN                  29      16.73      15.08      18.01       0.89
   44 UNKNOWN                  29      43.16      39.67      46.19       1.51
   45 UNKNOWN                  29      22.74      21.30      24.60       0.90
   46 UNKNOWN                  29       4.66       4.04       5.32       0.26
   47 UNKNOWN                  29      13.50      12.98      14.00       0.25
   48 UNKNOWN                  29       9.73       9.44      10.12       0.17
   49 UNKNOWN                  29      12.55      11.48      13.12       0.32
   50 UNKNOWN                  29      15.16      14.66      15.76       0.28
   51 UNKNOWN                  29       7.97       7.16       8.76       0.32
   52 UNKNOWN                  29      16.65      14.86      18.02       1.02
   53 UNKNOWN                  29      43.15      39.46      46.89       1.66
