# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4265.0 |
| time per iteration from host wall clock (us) |  | 7276.8 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2107 / 2107 over 54 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 191.74 | 175.00 | 243.24 | 29 |
| 2 | embed_layer | 14.33 | 12.66 | 16.06 | 30 |
| 3 | linear_gemv_layer | 16.74 | 15.44 | 18.40 | 30 |
| 4 | mla_prep_layer | 9.87 | 9.50 | 10.22 | 30 |
| 5 | mla_attend_layer | 12.39 | 11.35 | 13.34 | 30 |
| 6 | mla_merge_uv_tile_layer | 15.18 | 14.75 | 15.71 | 30 |
| 7 | linear_gemv_layer | 7.66 | 7.18 | 8.16 | 30 |
| 8 | rmsnorm_layer | 3.87 | 3.18 | 4.64 | 30 |
| 9 | gang_linear_silu_layer | 35.71 | 34.16 | 37.52 | 30 |
| 10 | linear_with_residual_layer | 50.28 | 49.32 | 51.84 | 30 |
| 11 | linear_gemv_layer | 13.65 | 13.31 | 14.32 | 30 |
| 12 | mla_prep_layer | 9.80 | 9.43 | 10.13 | 30 |
| 13 | mla_attend_layer | 12.49 | 11.45 | 13.24 | 30 |
| 14 | mla_merge_uv_tile_layer | 15.05 | 14.56 | 15.52 | 30 |
| 15 | linear_gemv_layer | 7.13 | 6.54 | 7.78 | 30 |
| 16 | moe_router_layer | 16.23 | 15.57 | 17.12 | 30 |
| 17 | gang_moe_w13_linear_layer | 43.83 | 41.10 | 46.41 | 30 |
| 18 | gang_moe_w2_silu_linear_layer | 23.00 | 21.47 | 25.32 | 30 |
| 19 | moe_mul_sum_add_layer | 4.71 | 4.04 | 5.28 | 30 |
| 20 | linear_gemv_layer | 13.65 | 12.98 | 14.06 | 30 |
| 21 | mla_prep_layer | 9.94 | 9.28 | 10.30 | 30 |
| 22 | mla_attend_layer | 12.47 | 11.68 | 13.02 | 30 |
| 23 | mla_merge_uv_tile_layer | 15.16 | 14.81 | 15.52 | 30 |
| 24 | linear_gemv_layer | 7.82 | 7.34 | 8.42 | 30 |
| 25 | moe_router_layer | 16.87 | 15.63 | 18.55 | 30 |
| 26 | gang_moe_w13_linear_layer | 43.45 | 40.08 | 47.46 | 30 |
| 27 | gang_moe_w2_silu_linear_layer | 23.42 | 21.66 | 25.36 | 30 |
| 28 | moe_mul_sum_add_layer | 4.87 | 3.95 | 6.14 | 30 |
| 29 | linear_gemv_layer | 13.65 | 12.79 | 14.20 | 30 |
| 30 | mla_prep_layer | 9.64 | 9.35 | 10.08 | 30 |
| 31 | mla_attend_layer | 12.16 | 11.46 | 12.90 | 30 |
| 32 | mla_merge_uv_tile_layer | 14.96 | 14.60 | 15.51 | 30 |
| 33 | linear_gemv_layer | 8.04 | 7.53 | 8.88 | 30 |
| 34 | moe_router_layer | 16.88 | 15.36 | 17.99 | 30 |
| 35 | gang_moe_w13_linear_layer | 42.73 | 39.11 | 47.27 | 30 |
| 36 | gang_moe_w2_silu_linear_layer | 22.72 | 21.35 | 24.60 | 30 |
| 37 | moe_mul_sum_add_layer | 4.71 | 3.89 | 5.24 | 30 |
| 38 | linear_gemv_layer | 13.67 | 13.02 | 14.06 | 30 |
| 39 | mla_prep_layer | 9.65 | 9.42 | 10.27 | 30 |
| 40 | mla_attend_layer | 12.79 | 11.63 | 13.35 | 30 |
| 41 | mla_merge_uv_tile_layer | 15.09 | 14.62 | 15.48 | 30 |
| 42 | linear_gemv_layer | 7.88 | 7.24 | 8.43 | 30 |
| 43 | moe_router_layer | 15.93 | 14.76 | 17.50 | 30 |
| 44 | gang_moe_w13_linear_layer | 41.85 | 39.00 | 44.66 | 30 |
| 45 | gang_moe_w2_silu_linear_layer | 22.55 | 21.55 | 24.24 | 30 |
| 46 | moe_mul_sum_add_layer | 5.05 | 4.31 | 8.04 | 30 |
| 47 | linear_gemv_layer | 13.41 | 12.96 | 13.86 | 30 |
| 48 | mla_prep_layer | 9.96 | 9.69 | 10.29 | 30 |
| 49 | mla_attend_layer | 12.52 | 11.78 | 13.19 | 30 |
| 50 | mla_merge_uv_tile_layer | 15.03 | 14.50 | 15.54 | 30 |
| 51 | linear_gemv_layer | 7.96 | 7.35 | 8.52 | 30 |
| 52 | moe_router_layer | 15.99 | 15.17 | 17.61 | 30 |
| 53 | gang_moe_w13_linear_layer | 42.78 | 40.53 | 45.90 | 30 |
| 54 | gang_moe_w2_silu_linear_layer | 23.70 | 21.56 | 25.96 | 30 |
| 55 | moe_mul_sum_add_layer | 4.96 | 4.10 | 6.64 | 30 |
| 56 | linear_gemv_layer | 13.65 | 13.32 | 14.18 | 30 |
| 57 | mla_prep_layer | 9.65 | 9.40 | 10.06 | 30 |
| 58 | mla_attend_layer | 12.33 | 11.50 | 13.10 | 30 |
| 59 | mla_merge_uv_tile_layer | 14.94 | 14.44 | 15.62 | 30 |
| 60 | linear_gemv_layer | 8.13 | 7.62 | 8.70 | 30 |
| 61 | moe_router_layer | 16.37 | 15.15 | 17.96 | 30 |
| 62 | gang_moe_w13_linear_layer | 41.32 | 38.82 | 43.13 | 30 |
| 63 | gang_moe_w2_silu_linear_layer | 23.73 | 21.88 | 26.27 | 30 |
| 64 | moe_mul_sum_add_layer | 4.83 | 4.18 | 6.09 | 30 |
| 65 | linear_gemv_layer | 13.68 | 13.30 | 14.12 | 30 |
| 66 | mla_prep_layer | 9.72 | 9.52 | 9.94 | 30 |
| 67 | mla_attend_layer | 12.32 | 11.64 | 13.08 | 30 |
| 68 | mla_merge_uv_tile_layer | 15.07 | 14.54 | 15.51 | 30 |
| 69 | linear_gemv_layer | 7.84 | 7.14 | 8.44 | 30 |
| 70 | moe_router_layer | 16.91 | 15.06 | 18.25 | 30 |
| 71 | gang_moe_w13_linear_layer | 41.59 | 38.60 | 46.62 | 30 |
| 72 | gang_moe_w2_silu_linear_layer | 23.34 | 21.87 | 25.88 | 30 |
| 73 | moe_mul_sum_add_layer | 5.10 | 4.22 | 6.08 | 30 |
| 74 | linear_gemv_layer | 13.66 | 13.18 | 14.40 | 30 |
| 75 | mla_prep_layer | 9.75 | 9.42 | 10.04 | 30 |
| 76 | mla_attend_layer | 12.56 | 11.74 | 13.30 | 30 |
| 77 | mla_merge_uv_tile_layer | 14.89 | 14.49 | 15.46 | 30 |
| 78 | linear_gemv_layer | 7.85 | 7.49 | 8.24 | 30 |
| 79 | moe_router_layer | 16.74 | 15.30 | 18.14 | 30 |
| 80 | gang_moe_w13_linear_layer | 41.99 | 38.60 | 45.87 | 30 |
| 81 | gang_moe_w2_silu_linear_layer | 23.38 | 21.73 | 24.96 | 30 |
| 82 | moe_mul_sum_add_layer | 4.95 | 4.34 | 6.49 | 30 |
| 83 | linear_gemv_layer | 13.53 | 13.02 | 14.10 | 30 |
| 84 | mla_prep_layer | 10.20 | 9.93 | 10.45 | 30 |
| 85 | mla_attend_layer | 12.44 | 11.49 | 13.03 | 30 |
| 86 | mla_merge_uv_tile_layer | 15.07 | 14.60 | 15.52 | 30 |
| 87 | linear_gemv_layer | 7.72 | 7.17 | 8.27 | 30 |
| 88 | moe_router_layer | 16.18 | 15.18 | 18.13 | 30 |
| 89 | gang_moe_w13_linear_layer | 45.08 | 41.77 | 47.78 | 30 |
| 90 | gang_moe_w2_silu_linear_layer | 23.03 | 21.96 | 24.93 | 30 |
| 91 | moe_mul_sum_add_layer | 4.94 | 4.18 | 6.59 | 30 |
| 92 | linear_gemv_layer | 13.53 | 12.92 | 13.91 | 30 |
| 93 | mla_prep_layer | 9.89 | 9.60 | 10.42 | 30 |
| 94 | mla_attend_layer | 12.38 | 11.60 | 13.28 | 30 |
| 95 | mla_merge_uv_tile_layer | 15.05 | 14.42 | 15.52 | 30 |
| 96 | linear_gemv_layer | 7.74 | 7.05 | 8.10 | 30 |
| 97 | moe_router_layer | 17.26 | 15.72 | 18.54 | 30 |
| 98 | gang_moe_w13_linear_layer | 41.31 | 38.47 | 43.52 | 30 |
| 99 | gang_moe_w2_silu_linear_layer | 23.32 | 21.90 | 25.10 | 30 |
| 100 | moe_mul_sum_add_layer | 4.93 | 4.47 | 6.02 | 30 |
| 101 | linear_gemv_layer | 13.69 | 13.14 | 14.27 | 30 |
| 102 | mla_prep_layer | 9.59 | 9.38 | 9.82 | 30 |
| 103 | mla_attend_layer | 12.32 | 11.40 | 13.44 | 30 |
| 104 | mla_merge_uv_tile_layer | 14.96 | 14.50 | 15.38 | 30 |
| 105 | linear_gemv_layer | 7.75 | 6.91 | 8.21 | 30 |
| 106 | moe_router_layer | 16.63 | 14.90 | 18.22 | 30 |
| 107 | gang_moe_w13_linear_layer | 43.62 | 40.34 | 46.58 | 30 |
| 108 | gang_moe_w2_silu_linear_layer | 23.12 | 21.94 | 25.04 | 30 |
| 109 | moe_mul_sum_add_layer | 4.84 | 4.28 | 6.06 | 30 |
| 110 | linear_gemv_layer | 13.47 | 12.86 | 13.94 | 30 |
| 111 | mla_prep_layer | 9.66 | 9.36 | 10.32 | 30 |
| 112 | mla_attend_layer | 12.57 | 11.74 | 13.35 | 30 |
| 113 | mla_merge_uv_tile_layer | 15.11 | 14.60 | 15.68 | 30 |
| 114 | linear_gemv_layer | 7.89 | 7.37 | 8.38 | 30 |
| 115 | moe_router_layer | 16.13 | 14.68 | 17.46 | 30 |
| 116 | gang_moe_w13_linear_layer | 41.65 | 38.72 | 44.40 | 30 |
| 117 | gang_moe_w2_silu_linear_layer | 23.22 | 21.72 | 25.72 | 30 |
| 118 | moe_mul_sum_add_layer | 5.03 | 4.46 | 6.39 | 30 |
| 119 | linear_gemv_layer | 13.66 | 13.28 | 14.20 | 30 |
| 120 | mla_prep_layer | 9.98 | 9.77 | 10.25 | 30 |
| 121 | mla_attend_layer | 12.54 | 11.63 | 13.23 | 30 |
| 122 | mla_merge_uv_tile_layer | 15.15 | 14.44 | 15.88 | 30 |
| 123 | linear_gemv_layer | 7.82 | 7.36 | 8.34 | 30 |
| 124 | moe_router_layer | 16.07 | 14.95 | 17.65 | 30 |
| 125 | gang_moe_w13_linear_layer | 41.89 | 39.70 | 43.70 | 30 |
| 126 | gang_moe_w2_silu_linear_layer | 22.90 | 21.64 | 25.16 | 30 |
| 127 | moe_mul_sum_add_layer | 5.20 | 4.27 | 7.53 | 30 |
| 128 | linear_gemv_layer | 13.64 | 13.36 | 14.01 | 30 |
| 129 | mla_prep_layer | 9.97 | 9.58 | 10.58 | 30 |
| 130 | mla_attend_layer | 12.50 | 11.56 | 13.18 | 30 |
| 131 | mla_merge_uv_tile_layer | 15.02 | 14.41 | 15.48 | 30 |
| 132 | linear_gemv_layer | 8.09 | 7.46 | 8.69 | 30 |
| 133 | moe_router_layer | 16.76 | 15.54 | 18.36 | 30 |
| 134 | gang_moe_w13_linear_layer | 41.80 | 39.10 | 43.86 | 30 |
| 135 | gang_moe_w2_silu_linear_layer | 23.27 | 21.15 | 25.13 | 30 |
| 136 | moe_mul_sum_add_layer | 5.07 | 4.38 | 6.48 | 30 |
| 137 | linear_gemv_layer | 13.63 | 13.28 | 14.08 | 30 |
| 138 | mla_prep_layer | 9.53 | 9.16 | 9.73 | 30 |
| 139 | mla_attend_layer | 12.31 | 11.18 | 13.02 | 30 |
| 140 | mla_merge_uv_tile_layer | 14.96 | 14.33 | 15.52 | 30 |
| 141 | linear_gemv_layer | 8.19 | 7.76 | 8.72 | 30 |
| 142 | moe_router_layer | 16.45 | 15.48 | 18.25 | 30 |
| 143 | gang_moe_w13_linear_layer | 42.04 | 39.01 | 44.52 | 30 |
| 144 | gang_moe_w2_silu_linear_layer | 23.29 | 21.88 | 25.68 | 30 |
| 145 | moe_mul_sum_add_layer | 5.20 | 4.11 | 6.45 | 30 |
| 146 | linear_gemv_layer | 13.69 | 13.15 | 14.44 | 30 |
| 147 | mla_prep_layer | 9.67 | 9.34 | 10.02 | 30 |
| 148 | mla_attend_layer | 12.76 | 11.72 | 13.54 | 30 |
| 149 | mla_merge_uv_tile_layer | 15.09 | 14.46 | 15.50 | 30 |
| 150 | linear_gemv_layer | 7.98 | 7.12 | 8.63 | 30 |
| 151 | moe_router_layer | 15.94 | 15.04 | 17.72 | 30 |
| 152 | gang_moe_w13_linear_layer | 42.14 | 40.44 | 43.93 | 30 |
| 153 | gang_moe_w2_silu_linear_layer | 23.26 | 22.03 | 25.52 | 30 |
| 154 | moe_mul_sum_add_layer | 4.94 | 4.31 | 6.38 | 30 |
| 155 | linear_gemv_layer | 13.47 | 13.12 | 13.94 | 30 |
| 156 | mla_prep_layer | 9.96 | 9.55 | 10.39 | 30 |
| 157 | mla_attend_layer | 12.37 | 11.49 | 13.04 | 30 |
| 158 | mla_merge_uv_tile_layer | 14.94 | 14.30 | 15.39 | 30 |
| 159 | linear_gemv_layer | 7.28 | 6.92 | 8.00 | 30 |
| 160 | moe_router_layer | 16.14 | 15.30 | 17.23 | 30 |
| 161 | gang_moe_w13_linear_layer | 43.04 | 40.57 | 46.54 | 30 |
| 162 | gang_moe_w2_silu_linear_layer | 23.00 | 21.74 | 25.88 | 30 |
| 163 | moe_mul_sum_add_layer | 4.79 | 4.32 | 6.35 | 30 |
| 164 | linear_gemv_layer | 13.69 | 13.28 | 14.10 | 30 |
| 165 | mla_prep_layer | 9.81 | 9.42 | 10.54 | 30 |
| 166 | mla_attend_layer | 12.42 | 11.38 | 13.30 | 30 |
| 167 | mla_merge_uv_tile_layer | 14.98 | 14.28 | 15.38 | 30 |
| 168 | linear_gemv_layer | 8.07 | 7.22 | 8.58 | 30 |
| 169 | moe_router_layer | 16.33 | 15.12 | 18.29 | 30 |
| 170 | gang_moe_w13_linear_layer | 42.24 | 38.82 | 45.58 | 30 |
| 171 | gang_moe_w2_silu_linear_layer | 23.15 | 21.86 | 24.58 | 30 |
| 172 | moe_mul_sum_add_layer | 5.11 | 4.32 | 7.60 | 30 |
| 173 | linear_gemv_layer | 13.60 | 13.04 | 14.22 | 30 |
| 174 | mla_prep_layer | 9.70 | 9.46 | 9.93 | 30 |
| 175 | mla_attend_layer | 12.17 | 11.26 | 13.10 | 30 |
| 176 | mla_merge_uv_tile_layer | 14.89 | 14.48 | 15.42 | 30 |
| 177 | linear_gemv_layer | 7.95 | 7.39 | 8.44 | 30 |
| 178 | moe_router_layer | 16.00 | 14.94 | 17.69 | 30 |
| 179 | gang_moe_w13_linear_layer | 42.22 | 39.35 | 45.39 | 30 |
| 180 | gang_moe_w2_silu_linear_layer | 23.09 | 21.26 | 25.48 | 30 |
| 181 | moe_mul_sum_add_layer | 5.43 | 4.33 | 8.32 | 30 |
