# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4307.0 |
| time per iteration from host wall clock (us) |  | 7394.7 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2107 / 2107 over 54 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
| 70 | moe_router_layer | 16.44 | 15.33 | 18.00 | 29 |
| 71 | gang_moe_w13_linear_layer | 42.56 | 38.74 | 46.42 | 29 |
| 72 | gang_moe_w2_silu_linear_layer | 23.72 | 22.05 | 25.71 | 29 |
| 73 | moe_mul_sum_add_layer | 4.84 | 4.48 | 5.66 | 29 |
| 74 | linear_gemv_layer | 13.85 | 13.36 | 14.48 | 29 |
| 75 | mla_prep_layer | 10.03 | 9.60 | 11.23 | 29 |
| 76 | mla_attend_layer | 12.53 | 11.71 | 13.20 | 29 |
| 77 | mla_merge_uv_tile_layer | 15.19 | 14.55 | 15.64 | 29 |
| 78 | linear_gemv_layer | 8.17 | 7.39 | 8.73 | 29 |
| 79 | moe_router_layer | 16.93 | 15.25 | 18.53 | 29 |
| 80 | gang_moe_w13_linear_layer | 42.61 | 39.90 | 46.02 | 29 |
| 81 | gang_moe_w2_silu_linear_layer | 23.30 | 22.11 | 25.92 | 29 |
| 82 | moe_mul_sum_add_layer | 5.06 | 4.24 | 6.78 | 29 |
| 83 | linear_gemv_layer | 13.78 | 13.17 | 14.26 | 29 |
| 84 | mla_prep_layer | 9.61 | 9.18 | 10.25 | 29 |
| 85 | mla_attend_layer | 12.60 | 11.89 | 13.06 | 29 |
| 86 | mla_merge_uv_tile_layer | 15.13 | 14.70 | 15.67 | 29 |
