[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  31      11.65      11.36      11.92       0.16
  104 UNKNOWN                  31      23.99      23.28      25.33       0.59
  105 UNKNOWN                  31      13.20      12.30      17.16       1.15
  106 UNKNOWN                  31      26.66      25.71      28.24       0.61
  107 UNKNOWN                  31      41.69      39.74      44.57       1.29
  108 UNKNOWN                  31      23.21      21.80      24.89       1.09
  109 UNKNOWN                  31       4.79       4.26       5.29       0.31
  110 UNKNOWN                  31      18.75      18.12      19.58       0.42
  111 UNKNOWN                  31     150.21     147.11     152.91       1.62
  112 UNKNOWN                  31      11.72      11.20      12.43       0.22
  113 UNKNOWN                  31      24.98      23.08      26.98       1.51
  114 UNKNOWN                  31      12.68      12.12      13.24       0.32
  115 UNKNOWN                  31      25.74      24.53      27.05       0.59
  116 UNKNOWN                  31      43.11      39.55      45.91       1.58
  117 UNKNOWN                  31      23.42      21.56      24.64       1.04
  118 UNKNOWN                  31       4.98       4.31       7.80       0.73
  119 UNKNOWN                  31      18.20      17.41      18.98       0.41
  120 UNKNOWN                  31     150.05     146.66     152.87       1.60
  121 UNKNOWN                  31      11.77      11.43      12.11       0.18
  122 UNKNOWN                  31      24.35      22.82      26.26       1.13
  123 UNKNOWN                  31      13.15      12.23      17.12       1.23
  124 UNKNOWN                  31      26.70      25.26      27.82       1.01
  125 UNKNOWN                  31      42.19      38.27      46.39       1.92
  126 UNKNOWN                  31      23.15      21.57      26.64       1.19
  127 UNKNOWN                  31       5.00       4.46       5.46       0.24
  128 UNKNOWN                  31      18.41      18.04      19.08       0.26
  129 UNKNOWN                  31     149.61     145.94     152.68       1.68
  130 UNKNOWN                  31      11.78      11.50      12.24       0.18
  131 UNKNOWN                  31      24.92      23.20      25.79       0.80
  132 UNKNOWN                  31      12.77      12.14      13.48       0.36
  133 UNKNOWN                  31      27.24      26.21      28.87       0.72
  134 UNKNOWN                  31      41.75      39.72      43.46       1.06
  135 UNKNOWN                  31      23.74      22.12      25.71       0.96
  136 UNKNOWN                  31       5.18       4.32       6.44       0.49
  137 UNKNOWN                  31      18.56      17.75      19.30       0.41
  138 UNKNOWN                  31     149.65     146.53     152.80       1.65
  139 UNKNOWN                  31      11.89      11.53      12.39       0.20
  140 UNKNOWN                  31      23.99      23.12      27.24       1.08
  141 UNKNOWN                  31      12.83      12.02      17.16       0.89
  142 UNKNOWN                  31      26.99      25.79      28.53       1.00
  143 UNKNOWN                  31      41.17      38.51      44.01       1.57
  144 UNKNOWN                  31      23.63      21.88      27.80       1.21
  145 UNKNOWN                  31       4.97       4.14       6.38       0.49
  146 UNKNOWN                  31      18.55      17.79      19.48       0.48
  147 UNKNOWN                  31     149.89     146.63     153.41       1.73
  148 UNKNOWN                  31      11.89      11.53      12.21       0.14
  149 UNKNOWN                  31      23.44      22.84      24.28       0.29
  150 UNKNOWN                  31      12.93      12.15      13.68       0.39
  151 UNKNOWN                  31      26.19      24.93      28.25       1.04
  152 UNKNOWN                  31      41.16      38.31      44.09       1.56
  153 UNKNOWN                  31      23.59      21.71      27.16       1.24
  154 UNKNOWN                  31       5.24       4.56       6.85       0.54
  155 UNKNOWN                  31      18.28      17.70      19.03       0.37
  156 UNKNOWN                  31     150.35     147.09     153.05       1.62
  157 UNKNOWN                  31      11.88      11.67      12.23       0.15
  158 UNKNOWN                  31      24.00      23.28      26.15       0.88
  159 UNKNOWN                  31      12.49      11.59      15.05       0.81
  160 UNKNOWN                  31      26.86      25.60      30.15       0.99
  161 UNKNOWN                  31      42.10      38.34      47.44       2.08
  162 UNKNOWN                  31      23.68      21.97      25.72       1.07
  163 UNKNOWN                  31       4.93       4.03       6.16       0.41
  164 UNKNOWN                  31      18.41      17.89      19.18       0.35
  165 UNKNOWN                  31     149.37     146.17     152.50       1.63
  166 UNKNOWN                  31      11.88      11.46      15.32       0.65
  167 UNKNOWN                  31      23.69      23.04      25.05       0.60
  168 UNKNOWN                  31      13.14      12.20      17.12       1.16
  169 UNKNOWN                  31      27.46      26.10      28.64       1.00
  170 UNKNOWN                  31      41.27      38.26      45.64       1.80
  171 UNKNOWN                  31      23.38      21.91      24.94       1.05
  172 UNKNOWN                  31       5.00       4.12       6.30       0.45
  173 UNKNOWN                  31      18.58      17.90      19.28       0.40
  174 UNKNOWN                  31     149.46     146.51     152.67       1.63
  175 UNKNOWN                  31      11.84      11.49      12.13       0.15
  176 UNKNOWN                  31      24.44      23.12      25.72       0.85
  177 UNKNOWN                  31      13.05      12.60      13.64       0.29
  178 UNKNOWN                  31      26.53      25.19      28.25       0.99
  179 UNKNOWN                  31      41.39      38.46      45.39       1.94
  180 UNKNOWN                  31      23.36      22.02      24.72       0.93
  181 UNKNOWN                  31       4.91       4.18       5.52       0.35
  182 UNKNOWN                  31      18.27      17.65      19.06       0.41
  183 UNKNOWN                  31     149.83     146.41     152.55       1.63
  184 UNKNOWN                  31      11.74      11.41      12.45       0.22
  185 UNKNOWN                  31      24.77      22.96      27.04       1.53
  186 UNKNOWN                  31      12.93      12.10      16.18       0.96
  187 UNKNOWN                  31      25.67      24.63      27.25       0.92
  188 UNKNOWN                  31      44.04      40.78      47.82       1.95
  189 UNKNOWN                  31      23.14      21.57      25.38       1.00
  190 UNKNOWN                  31       5.28       4.34       7.33       0.52
  191 UNKNOWN                  31      18.36      17.80      19.16       0.38
  192 UNKNOWN                  31     150.26     147.29     153.73       1.73
  193 UNKNOWN                  31      11.90      11.39      15.44       0.66
  194 UNKNOWN                  31      25.28      23.16      26.57       1.18
  195 UNKNOWN                  31      12.98      12.51      13.47       0.26
  196 UNKNOWN                  31      27.10      25.94      30.49       1.15
  197 UNKNOWN                  31      41.24      38.37      45.68       1.52
  198 UNKNOWN                  31      23.21      21.75      24.66       0.93
  199 UNKNOWN                  31       4.81       4.14       6.02       0.45
  200 UNKNOWN                  31      18.56      17.67      19.28       0.43
  201 UNKNOWN                  31     149.55     146.70     152.46       1.63
  202 UNKNOWN                  31      11.81      11.44      12.08       0.12
  203 UNKNOWN                  31      23.87      23.28      27.20       1.06
  204 UNKNOWN                  31      13.02      12.38      17.52       0.88
  205 UNKNOWN                  31      26.39      26.00      27.86       0.34
  206 UNKNOWN                  31      44.31      41.45      47.75       1.69
  207 UNKNOWN                  31      24.00      21.53      25.96       1.17
  208 UNKNOWN                  31       5.04       4.16       8.16       0.77
  209 UNKNOWN                  31      18.61      17.92      19.28       0.41
  210 UNKNOWN                  31     149.56     146.05     152.79       1.74
  211 UNKNOWN                  31      11.86      11.63      12.25       0.16
  212 UNKNOWN                  31      23.71      23.04      26.37       0.56
  213 UNKNOWN                  31      12.81      11.86      17.24       0.96
  214 UNKNOWN                  31      26.15      25.65      26.77       0.30
  215 UNKNOWN                  31      41.86      39.63      45.80       1.47
  216 UNKNOWN                  31      23.60      21.72      26.92       1.31
  217 UNKNOWN                  31       4.95       4.22       6.31       0.53
  218 UNKNOWN                  31      18.54      17.91      19.40       0.35
