[EVENT_TIMING] 10336 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  31      25.65      23.96      26.48       0.83
  104 UNKNOWN                  31      40.56      39.33      43.88       1.22
  105 UNKNOWN                  31       5.68       3.61       7.45       1.10
  106 UNKNOWN                  31      22.47      21.17      25.17       1.06
  107 UNKNOWN                  31       4.09       3.68       5.78       0.39
  108 UNKNOWN                  31       4.47       3.85       5.09       0.41
  109 UNKNOWN                  31      14.11      12.73      14.88       0.42
  110 UNKNOWN                  31     211.15     207.59     215.12       1.88
  111 UNKNOWN                  31      51.78      51.45      52.10       0.17
  112 UNKNOWN                  31      36.26      34.69      38.32       1.04
  113 UNKNOWN                  31      14.18      13.48      16.22       0.66
  114 UNKNOWN                  31       3.66       3.41       3.89       0.11
  115 UNKNOWN                  31      24.08      23.25      24.57       0.33
  116 UNKNOWN                  31      41.94      40.99      43.14       0.41
  117 UNKNOWN                  31       4.75       3.78       7.81       1.15
  118 UNKNOWN                  31      24.01      21.36      26.36       1.34
  119 UNKNOWN                  31       4.58       3.88       6.80       0.76
  120 UNKNOWN                  31       4.49       3.66       4.95       0.40
  121 UNKNOWN                  31      13.98      13.04      17.56       0.84
  122 UNKNOWN                  31     210.68     207.40     214.68       1.93
  123 UNKNOWN                  31      51.63      51.25      51.97       0.19
  124 UNKNOWN                  31      35.44      34.93      35.93       0.25
  125 UNKNOWN                  31      14.03      13.68      14.96       0.33
  126 UNKNOWN                  31       3.95       3.83       4.11       0.06
  127 UNKNOWN                  31      26.01      24.20      26.88       0.76
  128 UNKNOWN                  31      40.95      39.15      43.28       0.96
  129 UNKNOWN                  31       4.86       3.65       6.36       0.96
  130 UNKNOWN                  31      23.28      21.84      24.64       0.95
  131 UNKNOWN                  31       3.97       3.61       5.78       0.36
  132 UNKNOWN                  31       4.99       3.92       5.29       0.22
  133 UNKNOWN                  31      13.87      12.88      14.52       0.42
  134 UNKNOWN                  31     211.18     207.77     213.79       1.70
  135 UNKNOWN                  31      51.80      51.50      52.06       0.15
  136 UNKNOWN                  31      35.45      34.97      35.84       0.27
  137 UNKNOWN                  31      13.72      13.40      13.92       0.13
  138 UNKNOWN                  31       3.66       3.48       3.91       0.10
  139 UNKNOWN                  31      24.29      23.25      25.65       0.41
  140 UNKNOWN                  31      42.40      41.35      45.04       0.92
  141 UNKNOWN                  31       5.67       3.72       6.48       0.86
  142 UNKNOWN                  31      22.31      21.08      24.40       1.07
  143 UNKNOWN                  31       3.52       3.02       5.32       0.61
  144 UNKNOWN                  31       4.11       3.44       4.82       0.47
  145 UNKNOWN                  31      14.13      12.91      18.04       1.01
  146 UNKNOWN                  31     210.21     205.92     213.27       1.92
  147 UNKNOWN                  31      51.82      51.53      52.09       0.13
  148 UNKNOWN                  31      35.65      35.04      37.63       0.43
  149 UNKNOWN                  31      13.75      13.48      13.96       0.13
  150 UNKNOWN                  31       3.94       3.75       4.12       0.09
  151 UNKNOWN                  31      25.89      24.36      26.56       0.56
  152 UNKNOWN                  31      40.75      39.38      44.00       1.03
  153 UNKNOWN                  31       5.10       3.56       7.72       1.21
