[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  31      12.63      11.72      13.32       0.38
  104 UNKNOWN                  31      15.43      15.04      16.03       0.26
  105 UNKNOWN                  31       8.02       7.44       8.79       0.32
  106 UNKNOWN                  31      16.50      15.20      17.99       1.04
  107 UNKNOWN                  31      44.69      42.15      47.71       1.65
  108 UNKNOWN                  31      23.66      22.02      25.93       1.13
  109 UNKNOWN                  31       5.25       4.32       7.00       0.63
  110 UNKNOWN                  31      13.71      13.24      14.24       0.24
  111 UNKNOWN                  31       9.69       9.47       9.91       0.12
  112 UNKNOWN                  31      12.74      11.97      13.45       0.45
  113 UNKNOWN                  31      15.34      15.05      15.80       0.21
  114 UNKNOWN                  31       8.16       7.12       8.71       0.33
  115 UNKNOWN                  31      16.89      14.74      17.82       0.67
  116 UNKNOWN                  31      40.84      38.73      42.97       1.18
  117 UNKNOWN                  31      23.85      21.81      26.59       1.36
  118 UNKNOWN                  31       5.06       4.48       6.02       0.39
  119 UNKNOWN                  31      13.84      13.48      14.28       0.24
  120 UNKNOWN                  31       9.83       9.49      10.21       0.18
  121 UNKNOWN                  31      12.62      11.63      13.35       0.38
  122 UNKNOWN                  31      15.45      14.46      15.83       0.32
  123 UNKNOWN                  31       8.03       7.44       8.56       0.30
  124 UNKNOWN                  31      16.40      14.68      17.52       0.90
  125 UNKNOWN                  31      42.61      38.37      47.06       1.96
  126 UNKNOWN                  31      23.44      21.64      26.14       1.16
  127 UNKNOWN                  31       4.96       4.20       8.92       0.79
  128 UNKNOWN                  31      13.71      13.19      14.32       0.28
  129 UNKNOWN                  31       9.67       9.20      10.12       0.21
  130 UNKNOWN                  31      12.63      11.72      13.18       0.39
  131 UNKNOWN                  31      15.26      14.79      15.72       0.25
  132 UNKNOWN                  31       8.20       7.55       8.80       0.33
  133 UNKNOWN                  31      16.83      15.39      18.19       1.00
  134 UNKNOWN                  31      41.90      38.81      44.37       1.49
  135 UNKNOWN                  31      23.94      22.16      26.76       1.36
  136 UNKNOWN                  31       4.83       4.03       5.90       0.38
  137 UNKNOWN                  31      13.85      13.46      14.25       0.21
  138 UNKNOWN                  31       9.78       9.40      10.40       0.21
  139 UNKNOWN                  31      12.58      11.64      13.20       0.34
  140 UNKNOWN                  31      15.30      14.76      15.88       0.24
  141 UNKNOWN                  31       8.15       7.70       8.79       0.23
  142 UNKNOWN                  31      16.59      15.41      18.45       1.02
  143 UNKNOWN                  31      41.83      38.79      44.88       1.50
  144 UNKNOWN                  31      23.76      21.90      25.96       1.23
  145 UNKNOWN                  31       5.30       4.03       6.80       0.65
  146 UNKNOWN                  31      13.84      13.37      14.28       0.21
  147 UNKNOWN                  31       9.98       9.72      10.43       0.16
  148 UNKNOWN                  31      12.55      11.53      13.21       0.41
  149 UNKNOWN                  31      15.19      14.80      15.60       0.22
  150 UNKNOWN                  31       8.06       7.36       8.61       0.30
  151 UNKNOWN                  31      16.32      14.98      18.08       0.87
  152 UNKNOWN                  31      42.00      39.26      44.98       1.27
  153 UNKNOWN                  31      23.54      21.78      25.59       1.05
  154 UNKNOWN                  31       5.19       4.43       6.44       0.59
  155 UNKNOWN                  31      13.69      13.23      14.08       0.21
  156 UNKNOWN                  31       9.69       9.37      10.46       0.22
  157 UNKNOWN                  31      12.57      11.66      13.43       0.39
  158 UNKNOWN                  31      15.25      14.40      15.68       0.32
  159 UNKNOWN                  31       7.22       6.85       7.73       0.22
  160 UNKNOWN                  31      16.11      14.84      17.54       0.77
  161 UNKNOWN                  31      42.66      39.04      47.12       1.88
  162 UNKNOWN                  31      23.81      21.92      26.98       1.22
  163 UNKNOWN                  31       4.95       4.56       6.12       0.42
  164 UNKNOWN                  31      13.85      13.17      14.28       0.29
  165 UNKNOWN                  31       9.58       9.28      10.04       0.18
  166 UNKNOWN                  31      12.81      12.27      13.36       0.28
  167 UNKNOWN                  31      15.43      14.95      15.99       0.24
  168 UNKNOWN                  31       8.04       7.48       8.64       0.32
  169 UNKNOWN                  31      16.83      15.31      18.15       0.96
  170 UNKNOWN                  31      41.96      39.43      44.49       1.29
  171 UNKNOWN                  31      23.41      21.83      26.63       1.24
  172 UNKNOWN                  31       5.05       4.43       6.10       0.40
  173 UNKNOWN                  31      13.71      13.12      14.10       0.24
  174 UNKNOWN                  31       9.93       9.72      10.36       0.15
  175 UNKNOWN                  31      12.49      11.80      13.32       0.35
  176 UNKNOWN                  31      15.21      14.64      15.68       0.29
  177 UNKNOWN                  31       8.22       7.57       8.68       0.26
  178 UNKNOWN                  31      16.08      14.73      17.92       1.08
  179 UNKNOWN                  31      42.64      39.00      45.67       1.67
  180 UNKNOWN                  31      23.14      21.98      24.99       1.01
  181 UNKNOWN                  31       4.99       4.56       6.02       0.32
  182 UNKNOWN                  31      13.92      13.46      14.40       0.25
  183 UNKNOWN                  31      10.14       9.83      10.55       0.19
  184 UNKNOWN                  31      12.51      11.69      13.37       0.40
  185 UNKNOWN                  31      15.19      14.61      15.70       0.22
  186 UNKNOWN                  31       8.23       7.54       8.80       0.31
  187 UNKNOWN                  31      16.19      14.70      17.68       0.99
  188 UNKNOWN                  31      43.42      40.66      46.26       1.61
  189 UNKNOWN                  31      23.48      22.09      25.68       1.08
  190 UNKNOWN                  31       4.84       4.28       6.13       0.32
  191 UNKNOWN                  31      13.62      13.20      14.00       0.20
  192 UNKNOWN                  31       9.70       9.29      10.18       0.18
  193 UNKNOWN                  31      12.33      11.31      13.27       0.55
  194 UNKNOWN                  31      15.52      14.88      15.92       0.26
  195 UNKNOWN                  31       7.94       7.16       8.58       0.34
  196 UNKNOWN                  31      16.13      15.00      17.71       0.85
  197 UNKNOWN                  31      42.22      39.22      45.12       1.50
  198 UNKNOWN                  31      23.70      21.95      27.27       1.58
  199 UNKNOWN                  31       5.17       4.60       8.78       0.76
  200 UNKNOWN                  31      13.79      13.24      14.32       0.29
  201 UNKNOWN                  31       9.49       9.16       9.76       0.14
  202 UNKNOWN                  31      12.33      11.48      13.36       0.46
  203 UNKNOWN                  31      15.31      14.76      15.91       0.29
  204 UNKNOWN                  31       8.05       7.54       8.52       0.25
  205 UNKNOWN                  31      15.84      14.67      17.47       0.87
  206 UNKNOWN                  31      43.75      40.59      47.45       1.68
  207 UNKNOWN                  31      23.60      21.65      25.88       1.29
  208 UNKNOWN                  31       5.24       4.34       7.64       0.75
  209 UNKNOWN                  31      13.83      13.44      14.36       0.25
  210 UNKNOWN                  31       9.77       9.44      10.20       0.17
  211 UNKNOWN                  31      12.38      11.72      12.96       0.36
  212 UNKNOWN                  31      15.32      14.77      15.82       0.30
  213 UNKNOWN                  31       8.22       7.86       8.72       0.24
  214 UNKNOWN                  31      16.64      15.36      18.40       1.09
  215 UNKNOWN                  31      41.62      39.20      44.52       1.29
  216 UNKNOWN                  31      23.22      21.71      24.92       0.99
  217 UNKNOWN                  31       5.19       4.31       6.59       0.52
  218 UNKNOWN                  31      13.91      13.15      14.36       0.27
  219 UNKNOWN                  31      10.03       9.79      10.38       0.15
  220 UNKNOWN                  31      12.60      11.37      13.37       0.54
  221 UNKNOWN                  31      15.28      14.88      15.76       0.20
  222 UNKNOWN                  31       7.90       7.20       8.52       0.33
  223 UNKNOWN                  31      16.13      14.92      18.04       0.98
  224 UNKNOWN                  31      41.51      38.90      44.02       1.58
  225 UNKNOWN                  31      23.51      21.68      26.40       1.28
  226 UNKNOWN                  31       4.79       4.38       5.94       0.33
  227 UNKNOWN                  31      13.69      13.16      14.28       0.23
  228 UNKNOWN                  31       9.94       9.69      10.44       0.17
  229 UNKNOWN                  31      12.58      11.35      13.43       0.42
  230 UNKNOWN                  31      15.26      14.92      15.60       0.16
  231 UNKNOWN                  31       8.21       7.59       8.80       0.28
  232 UNKNOWN                  31      15.96      14.52      17.57       0.82
  233 UNKNOWN                  31      41.84      38.88      44.20       1.14
  234 UNKNOWN                  31      23.36      21.86      25.41       1.06
  235 UNKNOWN                  31       4.78       4.18       5.04       0.21
  236 UNKNOWN                  31      13.60      13.20      13.96       0.22
  237 UNKNOWN                  31       9.49       9.16       9.88       0.15
  238 UNKNOWN                  31      12.61      11.88      13.75       0.43
  239 UNKNOWN                  31      15.45      14.72      15.82       0.25
  240 UNKNOWN                  31       7.81       7.23       8.36       0.31
  241 UNKNOWN                  31      16.46      14.83      17.71       0.92
  242 UNKNOWN                  31      41.23      38.85      43.99       1.03
  243 UNKNOWN                  31      23.49      21.21      25.08       1.16
  244 UNKNOWN                  31       6.45       4.44       7.40       0.76
  245 UNKNOWN                  25       5.89       0.03      72.44      19.47
  246 UNKNOWN                  30       0.28       0.01       1.00       0.27
  247 UNKNOWN                  28       8.00       0.02      74.48      22.39
  248 UNKNOWN                  27       8.14       0.01      72.79      22.64
  249 UNKNOWN                  27       0.34       0.01       1.80       0.40
  250 UNKNOWN                  22       0.20       0.03       0.90       0.21
  251 UNKNOWN                  28       5.35       0.03      71.85      18.43
  252 UNKNOWN                  26       0.14       0.01       0.44       0.12
  253 UNKNOWN                  29       2.61       0.01      70.64      12.86
  254 UNKNOWN                  25       0.21       0.01       0.77       0.23
  255 UNKNOWN                  25       0.25       0.01       0.69       0.20
  256 UNKNOWN                  30       2.69       0.01      75.00      13.43
  257 UNKNOWN                  28       2.74       0.02      73.59      13.64
  258 UNKNOWN                  27       3.02       0.01      74.76      14.07
  259 UNKNOWN                  25      11.72       0.02      72.48      26.17
  260 UNKNOWN                  28       5.30       0.02      72.12      18.43
  261 UNKNOWN                  27       0.20       0.01       1.00       0.24
  262 UNKNOWN                  27       5.82       0.02      75.53      19.30
  263 UNKNOWN                  29       5.17       0.01      71.67      18.07
  264 UNKNOWN                  23       3.33       0.01      71.47      14.53
  265 UNKNOWN                  25       0.24       0.01       1.65       0.35
  266 UNKNOWN                  28       0.24       0.03       1.23       0.27
  267 UNKNOWN                  27       0.19       0.01       1.01       0.21
  268 UNKNOWN                  27       0.20       0.03       0.92       0.24
  269 UNKNOWN                  28       0.25       0.01       0.72       0.21
  270 UNKNOWN                  25       3.14       0.04      71.68      14.00
  271 UNKNOWN                  26       0.21       0.04       0.76       0.18
  272 UNKNOWN                  28       0.22       0.01       0.89       0.20
  273 UNKNOWN                  24       0.25       0.01       0.66       0.23
  274 UNKNOWN                  27       0.23       0.01       1.04       0.24
  275 UNKNOWN                  29       0.29       0.01       1.00       0.25
  276 UNKNOWN                  26       0.31       0.02       1.80       0.36
  277 UNKNOWN                  30       0.24       0.03       1.91       0.37
  278 UNKNOWN                  27       0.23       0.01       1.16       0.24
  279 UNKNOWN                  27       3.01       0.03      72.60      13.65
  280 UNKNOWN                  28      10.62       0.02      72.76      25.01
  281 UNKNOWN                  31       0.30       0.01       1.24       0.28
  282 UNKNOWN                  30       5.12       0.01      30.64      10.52
  283 UNKNOWN                  31       3.36       0.04      31.56       8.94
  284 UNKNOWN                  30       6.07       0.01      30.20      11.54
  285 UNKNOWN                  31       4.04       0.04      32.00       9.71
  286 UNKNOWN                  29       0.52       0.02       3.68       0.75
  287 UNKNOWN                  27       1.46       0.02      29.81       5.57
  288 UNKNOWN                  28       6.49       0.01      30.55      11.84
  289 UNKNOWN                  27       1.34       0.02      26.31       4.91
  290 UNKNOWN                  29       0.36       0.01       1.24       0.30
  291 UNKNOWN                  30       0.46       0.01       1.83       0.51
  292 UNKNOWN                  28       1.24       0.01      25.04       4.59
  293 UNKNOWN                  28       3.25       0.01      30.67       8.72
  294 UNKNOWN                  30       1.56       0.02      28.96       5.13
  295 UNKNOWN                  31       5.27       4.80       6.00       0.25
  296 UNKNOWN                  31       5.41       5.16       5.55       0.11

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 296       4344.8      4.345   100.0%
TOTAL                             4344.8      4.345

Saved raw event timing to event_timing.json
