"Kind","Agent_Id","Queue_Id","Stream_Id","Thread_Id","Dispatch_Id","Kernel_Id","Kernel_Name","Correlation_Id","Start_Timestamp","End_Timestamp","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Workgroup_Size_X","Workgroup_Size_Y","Workgroup_Size_Z","Grid_Size_X","Grid_Size_Y","Grid_Size_Z"
"KERNEL_DISPATCH","Agent 1",1,0,4892,1,3,"fill_kernel(HIP_vector_type<unsigned int, 4u>*, unsigned long)",1,214455628040,214455940619,0,0,12,4,32,256,1,1,262144,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4892,2,13,"__amd_rocclr_fillBufferAligned",2,214455927403,214456148753,0,0,12,4,48,256,1,1,77824,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4892,3,13,"__amd_rocclr_fillBufferAligned",3,214456149837,214456153686,0,0,12,4,48,256,1,1,65536,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4892,4,2,"warmup_kernel(HIP_vector_type<unsigned int, 4u> const*, HIP_vector_type<unsigned int, 4u>*, unsigned long)",4,214456189439,214456191444,0,0,8,0,16,256,1,1,65536,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4892,5,1,"copy_kernel(HIP_vector_type<unsigned int, 4u> const*, HIP_vector_type<unsigned int, 4u>*, unsigned long)",5,214456221358,214456778906,0,0,8,0,16,256,1,1,67108864,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4892,6,10,"__amd_rocclr_copyBuffer",6,214456814823,214456817830,0,0,16,0,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4892,7,10,"__amd_rocclr_copyBuffer",7,214456834084,214456836891,0,0,16,0,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4892,8,10,"__amd_rocclr_copyBuffer",8,214456852936,214456855703,0,0,16,0,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4892,9,10,"__amd_rocclr_copyBuffer",9,214456871442,214456874089,0,0,16,0,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4892,10,10,"__amd_rocclr_copyBuffer",10,214456889276,214456892244,0,0,16,0,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4892,11,10,"__amd_rocclr_copyBuffer",11,214456907743,214456910510,0,0,16,0,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4892,12,10,"__amd_rocclr_copyBuffer",12,214456925929,214456928736,0,0,16,0,32,512,1,1,512,1,1
"KERNEL_DISPATCH","Agent 1",1,0,4892,13,10,"__amd_rocclr_copyBuffer",13,214456943569,214456946016,0,0,16,0,32,512,1,1,512,1,1
