[EVENT_TIMING] 9632 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  30     170.60       7.36     210.44      64.08
    2 UNKNOWN                  31      10.24       9.74      10.59       0.20
    3 UNKNOWN                  31       3.08       2.65       3.42       0.16
    4 UNKNOWN                  31       3.11       2.70       3.45       0.17
    5 UNKNOWN                  31       3.12       2.89       3.33       0.12
    6 UNKNOWN                  31       3.15       2.78       3.45       0.18
    7 UNKNOWN                  31       3.13       2.71       3.43       0.16
    8 UNKNOWN                  31       3.14       2.60       3.58       0.19
    9 UNKNOWN                  31       3.13       2.81       3.47       0.18
   10 UNKNOWN                  31       3.09       2.73       3.38       0.15
   11 UNKNOWN                  31       3.10       2.77       3.35       0.16
   12 UNKNOWN                  31       3.08       2.76       3.41       0.18
   13 UNKNOWN                  31       3.08       2.78       3.46       0.16
   14 UNKNOWN                  31       3.04       2.69       3.36       0.15
   15 UNKNOWN                  31       2.92       2.58       3.25       0.15
   16 UNKNOWN                  31       3.18       2.84       3.43       0.15
   17 UNKNOWN                  31       3.09       2.73       3.37       0.17
   18 UNKNOWN                  31       3.17       2.73       3.47       0.17
   19 UNKNOWN                  31       3.15       2.74       3.55       0.17
   20 UNKNOWN                  31       3.15       2.88       3.48       0.15
   21 UNKNOWN                  31       3.12       2.70       3.38       0.15
   22 UNKNOWN                  31       3.12       2.74       3.44       0.19
   23 UNKNOWN                  31       3.10       2.80       3.51       0.18
   24 UNKNOWN                  31       3.14       2.84       3.42       0.16
   25 UNKNOWN                  31       3.04       2.65       3.35       0.19
   26 UNKNOWN                  31       3.17       2.74       3.47       0.16
   27 UNKNOWN                  31       3.08       2.68       3.41       0.19
   28 UNKNOWN                  31       3.16       2.68       3.56       0.21
   29 UNKNOWN                  31       3.04       2.64       3.39       0.18
   30 UNKNOWN                  31       3.06       2.53       3.40       0.20
   31 UNKNOWN                  31       2.98       2.59       3.35       0.19
   32 UNKNOWN                  31       3.09       2.73       3.34       0.14
   33 UNKNOWN                  31       3.11       2.72       3.36       0.15
   34 UNKNOWN                  31       3.09       2.73       3.39       0.16
   35 UNKNOWN                  31       3.11       2.71       3.39       0.17
   36 UNKNOWN                  31       3.10       2.67       3.50       0.20
   37 UNKNOWN                  31       3.02       2.66       3.44       0.20
   38 UNKNOWN                  31       3.04       2.70       3.43       0.15
   39 UNKNOWN                  31       3.05       2.55       3.39       0.20
   40 UNKNOWN                  31       3.14       2.60       3.38       0.16
   41 UNKNOWN                  31       3.05       2.54       3.47       0.22
   42 UNKNOWN                  31       3.02       2.58       3.38       0.18
   43 UNKNOWN                  31       3.05       2.85       3.26       0.12
   44 UNKNOWN                  31       3.08       2.78       3.29       0.12
   45 UNKNOWN                  31       3.02       2.73       3.35       0.13
   46 UNKNOWN                  31       3.00       2.73       3.33       0.15
   47 UNKNOWN                  31       2.88       2.20       3.15       0.19
   48 UNKNOWN                  31       3.13       2.70       3.59       0.19
   49 UNKNOWN                  31       3.02       2.68       3.36       0.19
   50 UNKNOWN                  31       3.11       2.70       3.39       0.16
   51 UNKNOWN                  31       3.02       2.69       3.40       0.15
   52 UNKNOWN                  31       3.11       2.62       3.39       0.16
   53 UNKNOWN                  31       3.12       2.75       3.42       0.17
   54 UNKNOWN                  31       3.07       2.71       3.39       0.16
   55 UNKNOWN                  31       3.04       2.79       3.32       0.12
   56 UNKNOWN                  31       3.04       2.76       3.38       0.16
   57 UNKNOWN                  31       3.02       2.71       3.37       0.15
   58 UNKNOWN                  31       3.13       2.85       3.51       0.15
   59 UNKNOWN                  31       3.03       2.68       3.34       0.15
   60 UNKNOWN                  31       3.06       2.81       3.37       0.14
   61 UNKNOWN                  31       3.00       2.57       3.26       0.16
   62 UNKNOWN                  31       3.00       2.69       3.32       0.13
   63 UNKNOWN                  31       2.88       2.57       3.27       0.16
   64 UNKNOWN                  31       3.15       2.75       3.40       0.14
   65 UNKNOWN                  31       3.19       2.67       3.50       0.20
   66 UNKNOWN                  31       3.22       2.91       3.62       0.18
   67 UNKNOWN                  31       3.16       2.73       3.44       0.17
   68 UNKNOWN                  31       3.19       2.80       3.67       0.24
   69 UNKNOWN                  31       3.15       2.81       3.72       0.20
   70 UNKNOWN                  31       3.16       2.79       3.43       0.20
   71 UNKNOWN                  31       3.13       2.78       3.37       0.14
   72 UNKNOWN                  31       3.18       2.76       3.60       0.23
   73 UNKNOWN                  31       3.15       2.85       3.42       0.15
   74 UNKNOWN                  31       3.14       2.83       3.46       0.16
   75 UNKNOWN                  31       3.10       2.68       3.39       0.16
   76 UNKNOWN                  31       3.21       2.90       3.55       0.16
   77 UNKNOWN                  31       3.14       2.73       3.54       0.22
   78 UNKNOWN                  31       3.12       2.74       3.47       0.19
   79 UNKNOWN                  31       2.93       2.58       3.26       0.16
   80 UNKNOWN                  31       3.14       2.68       3.54       0.18
   81 UNKNOWN                  31       3.20       2.87       3.44       0.16
   82 UNKNOWN                  31       3.22       2.69       3.58       0.18
   83 UNKNOWN                  31       3.20       2.85       3.53       0.20
   84 UNKNOWN                  31       3.20       2.90       3.68       0.15
   85 UNKNOWN                  31       3.19       2.68       3.47       0.20
   86 UNKNOWN                  31       3.27       2.85       3.72       0.23
   87 UNKNOWN                  31       3.15       2.81       3.45       0.16
   88 UNKNOWN                  31       3.18       2.84       3.52       0.16
   89 UNKNOWN                  31       3.13       2.76       3.39       0.16
   90 UNKNOWN                  31       3.18       2.62       3.43       0.18
   91 UNKNOWN                  31       3.09       2.73       3.36       0.18
   92 UNKNOWN                  31       3.13       2.57       3.53       0.21
   93 UNKNOWN                  31       3.11       2.82       3.41       0.14
   94 UNKNOWN                  31       3.05       2.77       3.48       0.17
   95 UNKNOWN                  31       2.98       2.51       3.27       0.17
   96 UNKNOWN                  31       3.12       2.75       3.46       0.20
   97 UNKNOWN                  31       3.23       2.69       3.64       0.20
   98 UNKNOWN                  31       3.21       2.73       3.54       0.19
   99 UNKNOWN                  31       3.20       2.85       3.43       0.15
  100 UNKNOWN                  31       3.26       2.77       3.73       0.20
  101 UNKNOWN                  31       3.27       2.94       3.66       0.18
  102 UNKNOWN                  31       3.23       2.79       3.52       0.16
  103 UNKNOWN                  31       3.17       2.88       3.45       0.15
  104 UNKNOWN                  31       3.19       2.65       3.47       0.18
  105 UNKNOWN                  31       3.19       2.89       3.57       0.17
  106 UNKNOWN                  31       3.21       2.78       3.44       0.14
  107 UNKNOWN                  31       3.16       2.69       3.42       0.17
  108 UNKNOWN                  31       3.16       2.75       3.63       0.17
  109 UNKNOWN                  31       3.08       2.73       3.35       0.18
  110 UNKNOWN                  31       3.10       2.68       3.55       0.21
  111 UNKNOWN                  31       3.03       2.72       3.38       0.16
  112 UNKNOWN                  31       3.13       2.68       3.56       0.20
  113 UNKNOWN                  31       3.19       2.82       3.54       0.18
  114 UNKNOWN                  31       3.18       2.83       3.45       0.14
  115 UNKNOWN                  31       3.19       2.81       3.52       0.17
  116 UNKNOWN                  31       3.21       2.87       3.54       0.17
  117 UNKNOWN                  31       3.09       2.69       3.48       0.18
  118 UNKNOWN                  31       3.21       2.93       3.47       0.14
  119 UNKNOWN                  31       3.11       2.73       3.50       0.18
  120 UNKNOWN                  31       3.22       2.96       3.55       0.14
  121 UNKNOWN                  31       3.16       2.83       3.51       0.17
  122 UNKNOWN                  31       3.13       2.83       3.48       0.17
  123 UNKNOWN                  31       3.12       2.75       3.43       0.18
  124 UNKNOWN                  31       3.11       2.60       3.46       0.17
  125 UNKNOWN                  31       3.06       2.76       3.51       0.20
  126 UNKNOWN                  31       3.07       2.84       3.39       0.16
  127 UNKNOWN                  31       3.05       2.68       3.36       0.20
  128 UNKNOWN                  31       3.09       2.51       3.47       0.19
  129 UNKNOWN                  31       3.09       2.82       3.43       0.13
  130 UNKNOWN                  31       3.18       2.78       3.51       0.21
  131 UNKNOWN                  31       3.14       2.62       3.42       0.18
  132 UNKNOWN                  31       3.15       2.89       3.41       0.13
  133 UNKNOWN                  31       3.11       2.86       3.37       0.11
  134 UNKNOWN                  31       3.15       2.71       3.49       0.19
  135 UNKNOWN                  31       3.06       2.75       3.38       0.15
  136 UNKNOWN                  31       3.12       2.75       3.37       0.15
  137 UNKNOWN                  31       3.09       2.70       3.52       0.17
  138 UNKNOWN                  31       3.14       2.88       3.49       0.15
  139 UNKNOWN                  31       3.11       2.78       3.30       0.14
  140 UNKNOWN                  31       3.14       2.85       3.44       0.17
  141 UNKNOWN                  31       3.07       2.63       3.41       0.17
  142 UNKNOWN                  31       3.01       2.72       3.25       0.14
  143 UNKNOWN                  31       2.99       2.53       3.24       0.16
  144 UNKNOWN                  31       3.18       2.89       3.47       0.15
  145 UNKNOWN                  31       3.13       2.60       3.40       0.17
  146 UNKNOWN                  31       3.16       2.90       3.55       0.15
  147 UNKNOWN                  31       3.16       2.93       3.50       0.13
  148 UNKNOWN                  31       3.20       2.88       3.49       0.15
