[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  31      12.25      11.40      12.77       0.32
  104 UNKNOWN                  31      15.17      14.52      15.72       0.26
  105 UNKNOWN                  31       7.98       7.52       8.36       0.25
  106 UNKNOWN                  31      16.20      15.14      18.04       0.83
  107 UNKNOWN                  31      44.44      41.02      47.85       1.66
  108 UNKNOWN                  31      26.69      22.08      29.76       1.58
  109 UNKNOWN                  31       4.69       4.12       6.88       0.53
  110 UNKNOWN                  31      18.21      12.37      21.81       1.95
  111 UNKNOWN                  31       9.75       9.31      11.39       0.33
  112 UNKNOWN                  31      12.34      11.60      13.17       0.34
  113 UNKNOWN                  31      15.20      14.61      15.76       0.30
  114 UNKNOWN                  31       8.10       7.44       8.66       0.29
  115 UNKNOWN                  31      16.69      14.89      17.69       0.77
  116 UNKNOWN                  31      41.66      39.44      45.54       1.47
  117 UNKNOWN                  31      24.83      22.00      28.56       1.60
  118 UNKNOWN                  31       4.74       4.16       6.40       0.43
  119 UNKNOWN                  31      18.09      15.09      22.25       1.54
  120 UNKNOWN                  31       9.58       9.08      10.08       0.22
  121 UNKNOWN                  31      12.34      11.44      13.20       0.43
  122 UNKNOWN                  31      15.31      14.68      15.80       0.29
  123 UNKNOWN                  31       7.80       7.18       8.60       0.29
  124 UNKNOWN                  31      15.89      14.49      17.55       0.78
  125 UNKNOWN                  31      42.91      39.89      46.39       1.68
  126 UNKNOWN                  31      25.70      22.58      29.61       2.14
  127 UNKNOWN                  31       4.77       3.96       5.37       0.31
  128 UNKNOWN                  31      17.62      15.17      21.64       1.29
  129 UNKNOWN                  31       9.66       9.37      10.17       0.15
  130 UNKNOWN                  31      12.15      11.56      12.99       0.34
  131 UNKNOWN                  31      15.23      14.41      15.59       0.26
  132 UNKNOWN                  31       7.93       7.17       8.76       0.38
  133 UNKNOWN                  31      17.50      15.87      18.32       0.78
  134 UNKNOWN                  31      41.29      38.77      44.64       1.49
  135 UNKNOWN                  31      24.76      21.92      28.02       1.33
  136 UNKNOWN                  31       4.79       4.04       6.60       0.46
  137 UNKNOWN                  31      18.04      14.16      23.13       1.75
  138 UNKNOWN                  31       9.83       9.48      10.41       0.22
  139 UNKNOWN                  31      12.26      11.73      12.72       0.26
  140 UNKNOWN                  31      15.11      14.44      15.68       0.31
  141 UNKNOWN                  31       7.87       7.28       8.32       0.26
