[EVENT_TIMING] 9176 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  29     152.05      97.60     294.12      57.42
    2 UNKNOWN                  30      13.69      12.03      15.11       0.82
    3 UNKNOWN                  30      30.78      28.32      33.80       1.23
    4 UNKNOWN                  30      10.13       9.84      10.70       0.16
    5 UNKNOWN                  30      12.35      11.72      13.80       0.47
    6 UNKNOWN                  30      25.06      23.33      26.12       0.77
    7 UNKNOWN                  30      12.96      12.51      13.60       0.28
    8 UNKNOWN                  30       3.92       3.22       4.75       0.50
    9 UNKNOWN                  30      34.57      32.68      36.88       0.92
   10 UNKNOWN                  30      51.24      50.12      53.28       0.71
   11 UNKNOWN                  30      18.52      17.87      19.47       0.48
   12 UNKNOWN                  30      10.76      10.25      11.54       0.29
   13 UNKNOWN                  30      12.10      11.56      12.64       0.36
   14 UNKNOWN                  30      23.25      22.84      23.76       0.22
   15 UNKNOWN                  30      12.47      11.79      14.73       0.70
   16 UNKNOWN                  30      27.52      26.22      31.49       1.04
   17 UNKNOWN                  30      43.64      40.40      47.20       1.35
   18 UNKNOWN                  30      24.43      21.75      26.48       1.26
   19 UNKNOWN                  30       4.96       4.16       5.40       0.31
   20 UNKNOWN                  30      18.88      18.04      19.82       0.40
   21 UNKNOWN                  30      10.70      10.12      12.23       0.38
   22 UNKNOWN                  30      11.91      11.24      12.46       0.34
   23 UNKNOWN                  30      23.10      22.26      23.72       0.38
   24 UNKNOWN                  30      13.17      12.48      13.80       0.34
   25 UNKNOWN                  30      28.33      26.79      33.42       1.27
   26 UNKNOWN                  30      41.45      38.25      44.58       1.28
   27 UNKNOWN                  30      23.26      21.72      25.75       1.02
   28 UNKNOWN                  30       4.97       4.36       5.72       0.33
   29 UNKNOWN                  30      18.93      18.20      19.94       0.49
   30 UNKNOWN                  30      10.60      10.21      10.93       0.20
   31 UNKNOWN                  30      11.69      11.14      12.82       0.38
   32 UNKNOWN                  30      25.09      23.48      27.72       1.20
   33 UNKNOWN                  30      13.16      12.60      14.38       0.33
   34 UNKNOWN                  30      26.70      25.24      30.14       1.17
   35 UNKNOWN                  30      43.33      39.15      46.46       1.82
   36 UNKNOWN                  30      23.57      21.76      25.16       1.10
   37 UNKNOWN                  30       5.01       4.42       5.60       0.31
   38 UNKNOWN                  30      18.85      18.25      19.52       0.36
   39 UNKNOWN                  30      10.56      10.30      10.98       0.15
   40 UNKNOWN                  30      11.66      11.26      12.04       0.23
   41 UNKNOWN                  30      23.35      22.46      23.80       0.26
   42 UNKNOWN                  30      13.12      12.66      13.80       0.32
   43 UNKNOWN                  30      27.73      26.70      32.64       1.08
   44 UNKNOWN                  30      44.57      41.88      47.69       1.51
   45 UNKNOWN                  30      22.98      21.58      26.48       1.22
   46 UNKNOWN                  30       5.73       4.27       7.68       0.86
   47 UNKNOWN                  30      18.86      18.27      19.64       0.32
   48 UNKNOWN                  30      10.42      10.14      10.81       0.16
   49 UNKNOWN                  30      12.23      11.86      12.50       0.17
   50 UNKNOWN                  30      23.19      22.32      27.16       1.10
   51 UNKNOWN                  30      13.44      12.65      17.32       1.07
   52 UNKNOWN                  30      27.30      26.34      33.66       1.27
   53 UNKNOWN                  30      42.46      39.67      44.66       1.36
   54 UNKNOWN                  30      23.39      21.89      25.76       1.14
   55 UNKNOWN                  30       4.93       4.42       5.56       0.34
   56 UNKNOWN                  30      18.85      18.02      19.54       0.47
   57 UNKNOWN                  30      10.13       9.67      10.60       0.20
   58 UNKNOWN                  30      11.57      11.31      11.96       0.18
   59 UNKNOWN                  30      23.25      22.63      24.29       0.34
   60 UNKNOWN                  30      12.89      12.36      13.72       0.37
   61 UNKNOWN                  30      27.95      25.93      32.15       1.21
   62 UNKNOWN                  30      40.90      38.21      44.08       1.44
   63 UNKNOWN                  30      23.29      21.60      27.44       1.21
   64 UNKNOWN                  30       5.18       4.51       7.14       0.61
   65 UNKNOWN                  30      19.11      18.29      19.77       0.43
   66 UNKNOWN                  30      10.26       9.92      10.64       0.22
   67 UNKNOWN                  30      11.86      11.44      12.31       0.20
   68 UNKNOWN                  30      23.57      23.07      24.28       0.31
   69 UNKNOWN                  30      13.01      12.45      13.84       0.32
   70 UNKNOWN                  30      28.71      26.49      32.21       1.10
   71 UNKNOWN                  30      41.44      38.29      47.49       1.88
   72 UNKNOWN                  30      23.29      21.30      25.97       1.28
   73 UNKNOWN                  30       5.29       4.30       6.37       0.47
   74 UNKNOWN                  30      18.93      18.32      19.60       0.37
   75 UNKNOWN                  30      10.44      10.14      10.83       0.21
   76 UNKNOWN                  30      12.17      11.32      12.74       0.46
   77 UNKNOWN                  30      23.68      23.14      24.12       0.26
   78 UNKNOWN                  30      13.19      12.44      17.36       0.84
   79 UNKNOWN                  30      27.58      25.82      30.70       1.19
   80 UNKNOWN                  30      41.82      38.80      45.72       1.96
   81 UNKNOWN                  30      23.68      21.96      25.50       1.10
   82 UNKNOWN                  30       5.10       4.19       6.42       0.38
   83 UNKNOWN                  30      18.79      18.20      19.73       0.41
   84 UNKNOWN                  30      10.07       9.68      10.66       0.21
   85 UNKNOWN                  30      11.97      11.58      12.70       0.30
   86 UNKNOWN                  30      23.63      22.41      24.75       0.53
   87 UNKNOWN                  30      13.21      12.62      14.00       0.35
   88 UNKNOWN                  30      26.71      25.14      31.21       1.27
   89 UNKNOWN                  30      43.43      38.80      49.08       2.15
   90 UNKNOWN                  30      23.93      22.23      26.88       1.23
   91 UNKNOWN                  30       5.20       4.40       6.09       0.40
   92 UNKNOWN                  30      18.72      18.01      19.40       0.35
   93 UNKNOWN                  30      10.25       9.84      10.70       0.19
   94 UNKNOWN                  30      11.80      11.48      12.22       0.19
   95 UNKNOWN                  30      23.86      22.30      25.94       1.17
   96 UNKNOWN                  30      13.36      12.64      15.92       0.82
   97 UNKNOWN                  30      26.38      25.03      33.20       1.56
   98 UNKNOWN                  30      41.79      39.18      43.68       1.38
   99 UNKNOWN                  30      23.30      22.02      25.29       1.00
  100 UNKNOWN                  30       5.02       4.38       5.88       0.36
  101 UNKNOWN                  30      18.95      18.04      19.88       0.51
  102 UNKNOWN                  30      10.52      10.18      10.77       0.18
  103 UNKNOWN                  30      11.61      11.22      12.75       0.28
  104 UNKNOWN                  30      25.00      23.68      26.24       0.97
  105 UNKNOWN                  30      13.38      12.66      15.20       0.55
  106 UNKNOWN                  30      27.01      25.52      30.56       1.18
  107 UNKNOWN                  30      41.46      38.30      45.02       1.50
  108 UNKNOWN                  30      23.07      21.78      25.24       0.98
  109 UNKNOWN                  30       5.45       4.62       6.92       0.50
  110 UNKNOWN                  30      18.63      17.97      19.55       0.38
  111 UNKNOWN                  30      10.51      10.14      11.07       0.20
  112 UNKNOWN                  30      11.77      11.38      12.20       0.17
  113 UNKNOWN                  30      24.15      22.84      26.23       1.04
  114 UNKNOWN                  30      13.02      12.42      13.63       0.30
  115 UNKNOWN                  30      27.27      25.82      33.95       1.57
  116 UNKNOWN                  30      41.47      38.33      44.82       1.54
  117 UNKNOWN                  30      23.69      21.88      26.12       1.13
  118 UNKNOWN                  30       5.32       4.34       6.70       0.61
  119 UNKNOWN                  30      18.72      18.04      19.97       0.53
  120 UNKNOWN                  30      10.20       9.89      10.52       0.14
  121 UNKNOWN                  30      11.90      11.50      12.62       0.22
  122 UNKNOWN                  30      24.47      22.76      26.16       1.13
  123 UNKNOWN                  30      13.34      12.62      15.13       0.56
  124 UNKNOWN                  30      26.73      25.30      32.36       1.43
  125 UNKNOWN                  30      42.77      39.46      45.80       1.62
  126 UNKNOWN                  30      23.30      22.10      26.06       0.96
  127 UNKNOWN                  30       4.95       4.33       5.76       0.33
  128 UNKNOWN                  30      18.76      17.97      19.52       0.45
  129 UNKNOWN                  30      10.13       9.68      10.48       0.22
  130 UNKNOWN                  30      11.64      11.25      14.64       0.60
  131 UNKNOWN                  30      23.06      22.41      23.54       0.30
  132 UNKNOWN                  30      13.03      12.49      13.66       0.30
  133 UNKNOWN                  30      28.17      26.64      34.13       1.46
  134 UNKNOWN                  30      41.87      39.37      43.77       1.27
  135 UNKNOWN                  30      23.61      22.30      26.07       1.03
  136 UNKNOWN                  30       5.20       4.59       7.32       0.49
  137 UNKNOWN                  30      18.63      17.84      19.68       0.43
  138 UNKNOWN                  30      10.15       9.79      10.64       0.20
  139 UNKNOWN                  30      12.30      11.76      12.65       0.24
  140 UNKNOWN                  30      24.03      22.88      25.66       0.90
  141 UNKNOWN                  30      13.92      12.62      17.32       1.44
  142 UNKNOWN                  30      27.89      26.51      32.37       1.26
  143 UNKNOWN                  30      41.53      38.64      43.59       1.30
  144 UNKNOWN                  30      23.21      21.97      25.52       0.98
  145 UNKNOWN                  30       5.05       4.47       5.99       0.38
  146 UNKNOWN                  30      19.01      18.21      19.66       0.38
  147 UNKNOWN                  30      10.16       9.71      11.03       0.24
  148 UNKNOWN                  30      12.54      11.60      14.96       0.55
  149 UNKNOWN                  30      24.70      22.82      26.68       1.21
  150 UNKNOWN                  30      13.41      12.58      16.30       0.72
  151 UNKNOWN                  30      26.59      24.94      28.68       0.99
  152 UNKNOWN                  30      41.38      38.93      43.34       1.27
  153 UNKNOWN                  30      23.19      21.71      25.05       0.90
  154 UNKNOWN                  30       4.90       4.33       5.59       0.33
  155 UNKNOWN                  30      18.61      17.90      19.35       0.40
  156 UNKNOWN                  30      10.22       9.94      10.53       0.15
  157 UNKNOWN                  30      12.18      11.68      13.40       0.43
  158 UNKNOWN                  30      23.69      22.54      27.40       1.27
  159 UNKNOWN                  30      12.47      11.86      14.98       0.66
  160 UNKNOWN                  30      26.55      25.98      27.77       0.45
  161 UNKNOWN                  30      42.53      39.88      47.24       2.01
  162 UNKNOWN                  30      23.34      21.99      25.32       1.01
  163 UNKNOWN                  30       5.08       4.54       6.28       0.36
  164 UNKNOWN                  30      18.62      17.75      20.14       0.58
  165 UNKNOWN                  30      10.52      10.18      11.07       0.21
  166 UNKNOWN                  30      11.66      11.16      12.68       0.29
  167 UNKNOWN                  30      23.17      22.38      25.58       0.60
  168 UNKNOWN                  30      13.19      12.47      17.08       0.88
  169 UNKNOWN                  30      27.10      25.82      28.47       0.91
  170 UNKNOWN                  30      41.82      38.57      44.60       1.45
  171 UNKNOWN                  30      22.93      21.76      24.88       1.03
  172 UNKNOWN                  30       5.19       4.38       6.87       0.56
  173 UNKNOWN                  30      18.39      17.88      19.09       0.33
  174 UNKNOWN                  30      10.37      10.01      10.77       0.17
  175 UNKNOWN                  30      11.66      11.34      12.98       0.28
  176 UNKNOWN                  30      23.91      22.88      25.77       0.80
  177 UNKNOWN                  30      13.27      12.49      15.02       0.51
  178 UNKNOWN                  30      25.61      24.56      27.21       0.79
  179 UNKNOWN                  30      41.98      38.30      44.94       1.69
  180 UNKNOWN                  30      23.40      22.02      25.24       1.09
  181 UNKNOWN                  30       5.14       4.54       5.88       0.36
  182 UNKNOWN                  30      18.56      17.88      19.52       0.42
  183 UNKNOWN                  30      10.07       9.62      10.59       0.21
  184 UNKNOWN                  30      11.82      11.50      12.20       0.17
  185 UNKNOWN                  30      24.01      22.84      26.23       0.72
  186 UNKNOWN                  30      12.99      12.23      13.68       0.35
  187 UNKNOWN                  30      26.72      25.62      28.91       0.68
  188 UNKNOWN                  30      41.81      39.32      46.52       1.69
  189 UNKNOWN                  30      23.17      21.34      25.12       1.06
  190 UNKNOWN                  30       5.16       4.34       5.84       0.32
  191 UNKNOWN                  30      18.66      18.13      19.45       0.32
  192 UNKNOWN                  30      10.45      10.21      10.73       0.11
  193 UNKNOWN                  30      11.93      11.56      12.58       0.24
