[EVENT_TIMING] 10496 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  31      21.95      21.45      23.21       0.41
  104 UNKNOWN                  31      41.39      39.69      45.02       1.16
  105 UNKNOWN                  31       4.98       3.73       6.84       1.05
  106 UNKNOWN                  31      22.59      20.14      26.36       1.78
  107 UNKNOWN                  31       4.90       4.17       7.16       0.72
  108 UNKNOWN                  31       4.59       3.79       5.00       0.41
  109 UNKNOWN                  31      14.10      13.07      17.92       0.87
  110 UNKNOWN                  31     151.64     148.99     155.99       1.75
  111 UNKNOWN                  31      60.42      60.09      60.63       0.15
  112 UNKNOWN                  31      24.80      22.96      27.48       1.80
  113 UNKNOWN                  31      14.10      13.40      17.68       1.18
  114 UNKNOWN                  31       3.71       3.50       6.08       0.44
  115 UNKNOWN                  31      21.72      21.18      23.66       0.41
  116 UNKNOWN                  31      40.07      39.25      42.04       0.51
  117 UNKNOWN                  31       5.38       3.56       7.68       1.11
  118 UNKNOWN                  31      21.73      20.33      23.80       1.11
  119 UNKNOWN                  31       4.82       4.00       6.43       0.67
  120 UNKNOWN                  31       4.51       3.66       4.80       0.25
  121 UNKNOWN                  31      14.13      13.19      17.44       0.94
  122 UNKNOWN                  31     149.22     145.90     152.34       1.77
  123 UNKNOWN                  31      60.56      60.40      60.72       0.10
  124 UNKNOWN                  31      23.75      23.19      23.96       0.19
  125 UNKNOWN                  31      13.65      13.36      14.00       0.15
  126 UNKNOWN                  31       3.80       3.67       3.88       0.05
  127 UNKNOWN                  31      21.60      21.01      22.73       0.39
  128 UNKNOWN                  31      44.69      41.59      48.39       1.75
  129 UNKNOWN                  31       5.69       3.78       6.48       0.82
  130 UNKNOWN                  31      21.31      20.20      23.44       0.93
  131 UNKNOWN                  31       4.45       4.08       5.93       0.31
  132 UNKNOWN                  31       3.88       3.64       4.29       0.18
  133 UNKNOWN                  31      14.88      13.88      18.32       0.95
  134 UNKNOWN                  31     150.37     147.71     152.99       1.51
  135 UNKNOWN                  31      60.67      60.45      60.98       0.13
  136 UNKNOWN                  31      24.20      23.28      26.87       1.07
  137 UNKNOWN                  31      14.59      13.52      17.64       1.27
  138 UNKNOWN                  31       3.68       3.43       4.88       0.24
  139 UNKNOWN                  31      21.80      20.90      23.66       0.49
  140 UNKNOWN                  31      40.29      39.14      42.99       0.77
  141 UNKNOWN                  31       5.06       3.74       7.58       1.10
  142 UNKNOWN                  31      22.54      20.35      24.83       1.12
  143 UNKNOWN                  31       4.80       3.63       7.81       1.28
  144 UNKNOWN                  31       4.23       3.53       4.69       0.39
  145 UNKNOWN                  31      14.39      13.22      18.24       1.20
  146 UNKNOWN                  31     149.37     146.26     152.48       1.79
  147 UNKNOWN                  31      60.48      60.08      60.77       0.16
  148 UNKNOWN                  31      23.57      22.92      26.51       0.63
  149 UNKNOWN                  31      13.84      13.28      16.59       0.79
  150 UNKNOWN                  31       3.78       3.60       3.94       0.08
  151 UNKNOWN                  31      21.82      21.29      23.13       0.53
  152 UNKNOWN                  31      40.63      39.55      42.35       0.69
  153 UNKNOWN                  31       5.65       3.73       9.04       1.14
  154 UNKNOWN                  31      21.71      20.42      23.52       1.05
  155 UNKNOWN                  31       4.57       4.04       7.37       0.72
  156 UNKNOWN                  31       4.00       3.76       4.45       0.22
  157 UNKNOWN                  31      14.45      13.67      15.04       0.44
  158 UNKNOWN                  31     150.32     147.31     153.34       1.75
  159 UNKNOWN                  31      60.67      60.42      60.90       0.13
  160 UNKNOWN                  31      23.91      23.24      25.43       0.38
  161 UNKNOWN                  31      13.73      13.28      15.05       0.31
  162 UNKNOWN                  31       3.65       3.43       4.80       0.23
  163 UNKNOWN                  31      21.74      20.94      23.46       0.45
  164 UNKNOWN                  31      40.63      39.18      43.74       1.12
  165 UNKNOWN                  31       5.01       3.48       6.31       1.06
  166 UNKNOWN                  31      22.10      20.60      23.64       1.02
  167 UNKNOWN                  31       4.61       4.25       6.67       0.55
  168 UNKNOWN                  31       4.15       3.41       4.73       0.47
  169 UNKNOWN                  31      14.00      13.01      14.96       0.55
  170 UNKNOWN                  31     149.34     146.58     152.34       1.55
  171 UNKNOWN                  31      60.64      60.27      60.94       0.15
  172 UNKNOWN                  31      25.97      23.24      27.84       1.56
  173 UNKNOWN                  31      14.35      13.52      17.64       1.08
  174 UNKNOWN                  31       3.85       3.71       4.00       0.06
  175 UNKNOWN                  31      21.94      20.89      23.49       0.77
  176 UNKNOWN                  31      42.41      40.79      45.63       1.02
  177 UNKNOWN                  31       5.31       3.72       6.24       0.97
  178 UNKNOWN                  31      22.31      20.52      25.52       1.23
  179 UNKNOWN                  31       4.61       4.08       6.01       0.47
  180 UNKNOWN                  31       4.03       3.71       4.67       0.26
  181 UNKNOWN                  31      14.65      14.09      18.44       0.75
  182 UNKNOWN                  31     150.15     147.79     153.06       1.50
  183 UNKNOWN                  31      60.94      60.65      61.22       0.14
  184 UNKNOWN                  31      24.88      23.16      27.16       1.42
  185 UNKNOWN                  31      14.38      13.36      17.60       1.22
  186 UNKNOWN                  31       3.60       3.39       3.83       0.11
  187 UNKNOWN                  31      21.89      21.18      22.62       0.33
  188 UNKNOWN                  31      40.56      39.34      43.16       0.73
  189 UNKNOWN                  31       5.27       3.72       6.30       0.93
  190 UNKNOWN                  31      22.92      20.92      25.56       1.41
  191 UNKNOWN                  31       4.45       3.60       6.50       0.77
  192 UNKNOWN                  31       4.32       3.42       4.66       0.41
  193 UNKNOWN                  31      13.95      13.09      17.48       0.81
  194 UNKNOWN                  31     150.00     146.74     154.63       1.76
  195 UNKNOWN                  31      60.20      59.82      60.52       0.17
  196 UNKNOWN                  31      23.89      22.79      26.69       1.22
  197 UNKNOWN                  31      14.16      13.36      16.66       0.86
  198 UNKNOWN                  31       3.76       3.62       3.86       0.06
  199 UNKNOWN                  31      21.62      20.93      23.41       0.63
  200 UNKNOWN                  31      40.56      39.35      41.24       0.47
  201 UNKNOWN                  31       5.68       3.84       7.43       0.88
  202 UNKNOWN                  31      21.77      20.77      23.68       0.88
  203 UNKNOWN                  31       4.95       4.34       6.51       0.57
  204 UNKNOWN                  31       4.80       3.86       5.29       0.45
  205 UNKNOWN                  31      13.78      12.94      14.96       0.59
  206 UNKNOWN                  31     150.97     147.79     153.31       1.58
  207 UNKNOWN                  31      60.66      60.33      61.02       0.20
  208 UNKNOWN                  31      24.18      23.28      28.08       1.12
  209 UNKNOWN                  31      14.29      13.56      17.68       1.05
  210 UNKNOWN                  31       3.72       3.59       4.00       0.10
  211 UNKNOWN                  31      21.54      21.06      23.26       0.40
  212 UNKNOWN                  31      41.22      39.62      45.20       1.49
  213 UNKNOWN                  31       5.14       3.67       6.22       1.07
  214 UNKNOWN                  31      22.46      20.62      25.84       1.40
  215 UNKNOWN                  31       4.83       4.29       6.51       0.63
  216 UNKNOWN                  31       4.30       3.38       4.79       0.43
  217 UNKNOWN                  31      14.04      13.25      15.08       0.50
  218 UNKNOWN                  31     149.35     146.38     154.82       1.91
  219 UNKNOWN                  31      60.48      59.88      61.01       0.27
  220 UNKNOWN                  31      23.71      23.16      24.60       0.30
  221 UNKNOWN                  31      14.02      13.40      17.24       0.80
  222 UNKNOWN                  31       3.86       3.52       7.23       0.62
  223 UNKNOWN                  31      21.60      20.93      23.01       0.56
  224 UNKNOWN                  31      42.83      39.99      46.95       1.97
  225 UNKNOWN                  31       5.43       3.72       6.35       1.03
  226 UNKNOWN                  31      21.97      20.38      23.87       1.14
