[EVENT_TIMING] 9472 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  30     205.47     184.44     315.24      21.80
    2 UNKNOWN                  31      13.81      12.15      15.27       0.79
    3 UNKNOWN                  31      17.63      16.32      19.28       0.85
    4 UNKNOWN                  31       9.77       9.39      11.41       0.33
    5 UNKNOWN                  31      12.12      11.36      12.72       0.33
    6 UNKNOWN                  31      15.01      14.49      15.48       0.26
    7 UNKNOWN                  31       7.81       7.18       8.28       0.27
    8 UNKNOWN                  31       4.08       3.39       5.08       0.59
    9 UNKNOWN                  31      35.98      33.82      37.69       0.99
   10 UNKNOWN                  31      50.25      49.45      52.16       0.49
   11 UNKNOWN                  31      14.08      13.42      14.53       0.25
   12 UNKNOWN                  31       9.76       9.44      10.36       0.19
   13 UNKNOWN                  31      11.95      11.05      12.72       0.35
   14 UNKNOWN                  31      15.07      14.49      15.55       0.26
   15 UNKNOWN                  31       7.07       6.76       7.51       0.20
   16 UNKNOWN                  31      16.08      15.48      16.93       0.38
   17 UNKNOWN                  31      42.07      40.68      44.16       1.01
   18 UNKNOWN                  31      23.52      21.84      25.88       1.12
   19 UNKNOWN                  31       4.56       4.10       5.08       0.24
   20 UNKNOWN                  31      13.94      13.31      14.50       0.26
   21 UNKNOWN                  31      10.09       9.61      10.39       0.18
   22 UNKNOWN                  31      12.14      11.46      12.86       0.42
   23 UNKNOWN                  31      15.02      14.34      15.59       0.30
   24 UNKNOWN                  31       7.67       7.13       8.18       0.28
   25 UNKNOWN                  31      16.97      15.53      18.45       0.93
   26 UNKNOWN                  31      41.31      38.39      43.91       1.16
   27 UNKNOWN                  31      23.83      21.79      27.04       1.37
   28 UNKNOWN                  31       4.68       4.22       6.22       0.41
   29 UNKNOWN                  31      13.98      13.46      14.57       0.26
   30 UNKNOWN                  31       9.56       9.10      10.69       0.29
   31 UNKNOWN                  31      12.18      11.37      12.89       0.33
   32 UNKNOWN                  31      14.98      14.37      15.38       0.26
   33 UNKNOWN                  31       7.64       7.05       8.19       0.25
   34 UNKNOWN                  31      15.91      14.77      17.60       0.92
