[EVENT_TIMING] 9176 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  29     227.81     205.64     311.72      25.29
    2 UNKNOWN                  30      14.23      12.75      15.59       0.77
    3 UNKNOWN                  30      16.51      15.17      17.69       0.71
    4 UNKNOWN                  30      10.00       9.72      10.45       0.17
    5 UNKNOWN                  30      12.81      12.37      13.38       0.28
    6 UNKNOWN                  30      15.30      14.89      16.04       0.26
    7 UNKNOWN                  30       7.98       7.57       8.41       0.23
    8 UNKNOWN                  30       4.00       3.25       4.85       0.54
    9 UNKNOWN                  30      35.58      33.95      36.91       0.86
   10 UNKNOWN                  30      50.65      49.40      52.00       0.83
   11 UNKNOWN                  30      13.65      13.05      14.33       0.33
   12 UNKNOWN                  30      10.04       9.62      10.35       0.17
   13 UNKNOWN                  30      12.52      11.93      13.38       0.37
   14 UNKNOWN                  30      15.32      14.60      15.80       0.30
   15 UNKNOWN                  30       7.02       6.71       7.64       0.24
   16 UNKNOWN                  30      17.09      15.40      18.31       1.01
   17 UNKNOWN                  30      43.87      40.65      49.61       2.10
   18 UNKNOWN                  30      23.90      21.64      26.52       1.28
   19 UNKNOWN                  30       4.88       4.24       5.48       0.26
   20 UNKNOWN                  30      13.72      13.20      14.32       0.25
   21 UNKNOWN                  30       9.78       9.50      10.73       0.23
   22 UNKNOWN                  30      12.80      11.68      13.64       0.43
   23 UNKNOWN                  30      15.31      14.55      15.73       0.30
   24 UNKNOWN                  30       7.96       7.19       8.74       0.37
   25 UNKNOWN                  30      16.53      15.28      18.18       1.02
   26 UNKNOWN                  30      43.64      39.31      47.79       2.11
   27 UNKNOWN                  30      24.54      22.16      26.76       1.10
   28 UNKNOWN                  30       4.66       4.28       5.56       0.24
   29 UNKNOWN                  30      13.70      13.30      14.52       0.27
   30 UNKNOWN                  30       9.62       9.29      10.36       0.21
   31 UNKNOWN                  30      12.65      11.49      13.27       0.38
   32 UNKNOWN                  30      15.30      14.63      15.76       0.26
   33 UNKNOWN                  30       8.19       7.42       8.75       0.30
   34 UNKNOWN                  30      16.28      14.99      17.83       0.81
   35 UNKNOWN                  30      43.55      39.61      46.68       1.56
   36 UNKNOWN                  30      24.15      21.50      26.52       1.22
   37 UNKNOWN                  30       4.73       4.29       5.89       0.30
   38 UNKNOWN                  30      13.92      13.32      14.48       0.27
   39 UNKNOWN                  30       9.79       9.48      10.15       0.17
   40 UNKNOWN                  30      12.92      12.04      13.44       0.36
   41 UNKNOWN                  30      15.29      14.80      15.85       0.25
   42 UNKNOWN                  30       8.11       7.60       8.84       0.31
   43 UNKNOWN                  30      16.37      15.41      18.05       0.74
   44 UNKNOWN                  30      42.43      38.99      44.31       1.26
   45 UNKNOWN                  30      23.65      21.79      27.00       1.32
   46 UNKNOWN                  30       4.76       4.25       5.94       0.31
   47 UNKNOWN                  30      13.61      13.11      14.00       0.23
   48 UNKNOWN                  30      10.02       9.62      10.43       0.20
   49 UNKNOWN                  30      12.69      12.22      13.30       0.28
   50 UNKNOWN                  30      15.31      14.76      15.93       0.29
   51 UNKNOWN                  30       8.07       7.36       8.68       0.30
   52 UNKNOWN                  30      16.88      14.95      17.98       0.97
   53 UNKNOWN                  30      42.22      39.40      45.83       1.66
   54 UNKNOWN                  30      23.67      22.23      25.50       0.96
   55 UNKNOWN                  30       4.89       4.27       5.84       0.28
   56 UNKNOWN                  30      13.77      13.27      14.24       0.29
   57 UNKNOWN                  30       9.95       9.52      10.52       0.20
   58 UNKNOWN                  30      12.60      11.72      13.36       0.47
   59 UNKNOWN                  30      15.12      14.62      15.69       0.28
   60 UNKNOWN                  30       8.21       7.33       8.73       0.32
   61 UNKNOWN                  30      16.21      15.05      17.92       0.94
   62 UNKNOWN                  30      42.08      39.04      44.88       1.45
   63 UNKNOWN                  30      23.16      21.55      25.04       1.00
   64 UNKNOWN                  30       4.93       4.11       6.33       0.40
   65 UNKNOWN                  30      13.80      13.22      14.06       0.20
   66 UNKNOWN                  30       9.67       9.43      10.21       0.15
   67 UNKNOWN                  30      12.75      12.15      13.31       0.31
   68 UNKNOWN                  30      15.21      14.82      15.73       0.26
   69 UNKNOWN                  30       8.07       7.69       8.46       0.22
   70 UNKNOWN                  30      16.24      15.19      18.22       0.96
   71 UNKNOWN                  30      42.55      39.76      47.48       1.60
   72 UNKNOWN                  30      23.74      21.88      26.12       1.17
   73 UNKNOWN                  30       5.19       4.35       7.75       0.77
   74 UNKNOWN                  30      13.84      13.36      14.43       0.26
   75 UNKNOWN                  30       9.76       9.52      10.17       0.16
   76 UNKNOWN                  30      12.71      12.16      13.21       0.31
   77 UNKNOWN                  30      15.21      14.68      15.80       0.27
   78 UNKNOWN                  30       8.25       7.68       8.81       0.29
   79 UNKNOWN                  30      16.40      14.85      17.77       0.73
   80 UNKNOWN                  30      42.80      40.23      46.47       1.42
   81 UNKNOWN                  30      23.86      22.04      26.68       1.46
   82 UNKNOWN                  30       4.92       4.40       6.35       0.45
   83 UNKNOWN                  30      13.82      13.48      14.40       0.21
   84 UNKNOWN                  30       9.79       9.46      10.20       0.15
   85 UNKNOWN                  30      12.75      12.22      13.18       0.27
   86 UNKNOWN                  30      15.32      14.76      15.97       0.29
   87 UNKNOWN                  30       8.25       7.53       8.59       0.25
   88 UNKNOWN                  30      17.08      15.40      18.19       0.89
   89 UNKNOWN                  30      44.25      40.85      47.36       1.84
   90 UNKNOWN                  30      23.92      22.20      26.10       1.22
   91 UNKNOWN                  30       4.75       4.21       5.50       0.25
   92 UNKNOWN                  30      13.66      13.24      14.35       0.23
   93 UNKNOWN                  30       9.85       9.48      10.39       0.19
   94 UNKNOWN                  30      12.61      11.97      13.40       0.38
   95 UNKNOWN                  30      15.13      14.59      15.57       0.25
   96 UNKNOWN                  30       8.10       7.63       8.73       0.30
   97 UNKNOWN                  30      16.49      15.28      18.29       1.08
   98 UNKNOWN                  30      42.02      38.88      44.12       1.41
   99 UNKNOWN                  30      24.23      22.36      26.84       1.17
  100 UNKNOWN                  30       4.81       4.17       8.56       0.77
  101 UNKNOWN                  30      13.72      13.11      14.15       0.21
  102 UNKNOWN                  30       9.76       9.45      10.33       0.19
  103 UNKNOWN                  30      12.61      12.03      13.27       0.31
  104 UNKNOWN                  30      15.16      14.58      15.54       0.24
  105 UNKNOWN                  30       8.21       7.66       8.64       0.27
  106 UNKNOWN                  30      16.75      15.03      17.89       1.03
  107 UNKNOWN                  30      43.91      40.70      47.49       1.86
  108 UNKNOWN                  30      23.61      21.77      27.08       1.27
  109 UNKNOWN                  30       4.88       4.30       7.33       0.59
  110 UNKNOWN                  30      13.57      13.06      13.89       0.20
  111 UNKNOWN                  30       9.85       9.60      10.14       0.14
  112 UNKNOWN                  30      12.69      12.00      13.28       0.38
  113 UNKNOWN                  30      15.27      14.80      15.75       0.28
  114 UNKNOWN                  30       8.12       7.38       8.73       0.35
  115 UNKNOWN                  30      15.93      14.61      17.65       0.84
  116 UNKNOWN                  30      42.43      39.78      44.38       1.26
  117 UNKNOWN                  30      23.50      21.72      26.04       1.10
  118 UNKNOWN                  30       4.83       4.08       6.33       0.47
  119 UNKNOWN                  30      13.79      13.20      14.17       0.23
  120 UNKNOWN                  30      10.03       9.71      10.35       0.17
  121 UNKNOWN                  30      12.63      11.98      13.14       0.28
  122 UNKNOWN                  30      15.26      14.56      15.84       0.28
  123 UNKNOWN                  30       8.08       7.41       8.59       0.29
  124 UNKNOWN                  30      16.09      14.43      17.50       0.99
