[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  29      12.47      11.73      13.25       0.39
  104 UNKNOWN                  29      15.13      14.53      15.72       0.22
  105 UNKNOWN                  29       7.79       7.01       8.37       0.29
  106 UNKNOWN                  29      16.36      15.04      17.48       0.73
  107 UNKNOWN                  29      41.13      38.85      43.43       1.05
  108 UNKNOWN                  29      24.12      21.98      26.56       1.39
  109 UNKNOWN                  29       4.98       4.32       8.36       0.70
  110 UNKNOWN                  29      14.15      13.73      14.68       0.24
  111 UNKNOWN                  29      10.07       9.64      10.59       0.22
  112 UNKNOWN                  29      12.26      11.24      12.80       0.37
  113 UNKNOWN                  29      15.10      14.52      15.66       0.31
  114 UNKNOWN                  29       7.87       6.84       8.43       0.37
  115 UNKNOWN                  29      16.08      14.92      17.59       0.84
  116 UNKNOWN                  29      41.92      39.25      44.60       1.52
  117 UNKNOWN                  29      23.53      21.79      26.52       1.13
  118 UNKNOWN                  29       4.83       4.36       5.56       0.31
  119 UNKNOWN                  29      14.24      13.49      14.95       0.25
  120 UNKNOWN                  29       9.64       9.32      10.69       0.25
  121 UNKNOWN                  29      12.46      11.55      13.23       0.48
  122 UNKNOWN                  29      15.13      14.67      15.72       0.26
  123 UNKNOWN                  29       7.91       7.17       8.33       0.29
  124 UNKNOWN                  29      16.27      14.89      17.70       0.79
  125 UNKNOWN                  29      43.45      39.99      46.14       1.57
  126 UNKNOWN                  29      23.34      21.92      25.17       0.96
  127 UNKNOWN                  29       4.84       4.31       7.03       0.64
  128 UNKNOWN                  29      14.13      13.72      14.54       0.25
  129 UNKNOWN                  29       9.71       9.31      10.08       0.18
  130 UNKNOWN                  29      12.56      11.65      13.48       0.35
  131 UNKNOWN                  29      15.31      14.85      15.65       0.24
  132 UNKNOWN                  29       8.00       7.36       8.31       0.25
  133 UNKNOWN                  29      16.90      15.16      18.24       1.03
  134 UNKNOWN                  29      41.78      39.47      43.87       1.24
  135 UNKNOWN                  29      23.78      22.00      25.60       1.17
  136 UNKNOWN                  29       5.08       4.61       6.00       0.36
  137 UNKNOWN                  29      14.36      13.99      14.75       0.22
  138 UNKNOWN                  29      10.07       9.63      10.48       0.18
  139 UNKNOWN                  29      12.55      11.80      13.05       0.35
  140 UNKNOWN                  29      15.14      14.39      15.59       0.29
  141 UNKNOWN                  29       7.90       7.29       8.32       0.25
  142 UNKNOWN                  29      16.69      15.25      18.20       0.94
  143 UNKNOWN                  29      42.16      39.40      44.25       1.44
  144 UNKNOWN                  29      23.13      21.36      25.96       1.10
  145 UNKNOWN                  29       5.21       4.49       7.40       0.69
  146 UNKNOWN                  29      14.30      13.82      14.80       0.26
  147 UNKNOWN                  29      10.09       9.64      11.00       0.25
  148 UNKNOWN                  29      12.35      11.33      13.15       0.41
  149 UNKNOWN                  29      15.02      14.64      15.65       0.25
  150 UNKNOWN                  29       7.93       7.17       8.44       0.31
  151 UNKNOWN                  29      16.90      15.34      18.70       1.03
  152 UNKNOWN                  29      41.31      38.96      43.85       1.37
  153 UNKNOWN                  29      23.33      21.81      24.76       1.05
  154 UNKNOWN                  29       5.11       4.37       6.30       0.61
  155 UNKNOWN                  29      14.13      13.59      14.46       0.19
  156 UNKNOWN                  29       9.80       9.42      10.78       0.24
  157 UNKNOWN                  29      12.58      11.87      13.19       0.39
  158 UNKNOWN                  29      15.10      14.75      15.71       0.24
  159 UNKNOWN                  29       6.92       6.60       7.24       0.17
  160 UNKNOWN                  29      16.75      15.26      18.09       0.96
  161 UNKNOWN                  29      42.35      38.62      46.63       1.62
  162 UNKNOWN                  29      23.25      21.83      24.61       0.95
  163 UNKNOWN                  29       4.77       4.14       5.76       0.36
  164 UNKNOWN                  29      14.24      13.69      14.70       0.30
  165 UNKNOWN                  29       9.70       9.40      10.03       0.14
  166 UNKNOWN                  29      12.61      12.08      13.36       0.31
  167 UNKNOWN                  29      15.24      14.69      15.87       0.30
  168 UNKNOWN                  29       7.85       7.25       8.48       0.29
  169 UNKNOWN                  29      16.24      14.75      17.83       1.06
  170 UNKNOWN                  29      42.09      40.07      45.03       1.32
  171 UNKNOWN                  29      23.76      22.24      25.18       0.84
  172 UNKNOWN                  29       4.97       4.17       7.13       0.71
  173 UNKNOWN                  29      13.99      13.52      14.52       0.25
  174 UNKNOWN                  29       9.97       9.64      10.51       0.19
  175 UNKNOWN                  29      12.31      11.44      12.92       0.32
  176 UNKNOWN                  29      15.07      14.19      15.66       0.30
  177 UNKNOWN                  29       7.79       7.03       8.57       0.38
  178 UNKNOWN                  29      15.89      14.65      17.47       0.96
  179 UNKNOWN                  29      42.34      38.97      45.07       1.63
  180 UNKNOWN                  29      23.42      21.85      26.47       1.12
  181 UNKNOWN                  29       4.91       4.21       6.12       0.37
  182 UNKNOWN                  29      14.20      13.75      14.67       0.23
  183 UNKNOWN                  29       9.87       9.53      10.76       0.25
  184 UNKNOWN                  29      12.42      11.75      13.07       0.38
  185 UNKNOWN                  29      14.98      14.36      15.42       0.26
  186 UNKNOWN                  29       7.93       6.95       8.41       0.31
  187 UNKNOWN                  29      16.06      14.59      17.52       1.02
  188 UNKNOWN                  29      41.79      38.88      45.05       1.56
  189 UNKNOWN                  29      23.32      21.45      24.70       1.18
  190 UNKNOWN                  29       4.84       4.27       5.87       0.40
  191 UNKNOWN                  29      13.89      13.39      14.56       0.26
  192 UNKNOWN                  29       9.54       9.09      10.16       0.19
  193 UNKNOWN                  29      12.68      11.67      13.27       0.37
  194 UNKNOWN                  29      15.10      14.59      15.71       0.23
  195 UNKNOWN                  29       7.96       7.41       8.56       0.27
  196 UNKNOWN                  29      16.52      14.97      17.94       0.87
  197 UNKNOWN                  29      41.66      39.16      44.34       1.43
  198 UNKNOWN                  29      23.50      21.84      25.00       1.03
  199 UNKNOWN                  29       4.77       4.15       5.94       0.45
  200 UNKNOWN                  29      14.35      13.75      14.93       0.27
  201 UNKNOWN                  29       9.88       9.64      10.27       0.15
  202 UNKNOWN                  29      12.34      11.61      13.40       0.44
  203 UNKNOWN                  29      15.13      14.52      15.77       0.27
  204 UNKNOWN                  29       7.74       7.03       8.47       0.35
  205 UNKNOWN                  29      16.04      14.93      17.71       0.81
  206 UNKNOWN                  29      43.95      41.25      47.99       1.49
  207 UNKNOWN                  29      23.40      21.87      25.22       1.07
  208 UNKNOWN                  29       4.85       4.30       6.56       0.42
  209 UNKNOWN                  29      14.28      13.84      14.68       0.23
  210 UNKNOWN                  29      10.08       9.68      10.40       0.19
  211 UNKNOWN                  29      12.44      11.65      13.09       0.40
  212 UNKNOWN                  29      15.21      14.84      15.75       0.26
  213 UNKNOWN                  29       7.87       7.39       8.40       0.26
  214 UNKNOWN                  29      16.44      15.21      18.08       0.99
  215 UNKNOWN                  29      41.98      39.09      44.71       1.58
  216 UNKNOWN                  29      22.88      21.36      24.39       0.96
  217 UNKNOWN                  29       5.13       4.40       7.68       0.79
  218 UNKNOWN                  29      14.35      13.94      14.68       0.21
  219 UNKNOWN                  29      10.02       9.69      10.37       0.21
  220 UNKNOWN                  29      11.99      11.47      12.71       0.33
  221 UNKNOWN                  29      15.05      14.40      15.64       0.24
  222 UNKNOWN                  29       8.01       7.58       8.51       0.21
  223 UNKNOWN                  29      16.48      14.92      17.87       1.03
  224 UNKNOWN                  29      41.38      38.92      43.90       1.52
  225 UNKNOWN                  29      23.29      21.36      26.28       1.31
  226 UNKNOWN                  29       4.88       4.16       6.32       0.59
  227 UNKNOWN                  29      14.40      13.83      14.93       0.22
  228 UNKNOWN                  29       9.37       9.05       9.74       0.17
  229 UNKNOWN                  29      12.30      11.42      13.14       0.46
  230 UNKNOWN                  29      15.18      14.80      15.88       0.25
  231 UNKNOWN                  29       7.93       7.51       8.36       0.25
  232 UNKNOWN                  29      15.82      14.93      17.58       0.78
  233 UNKNOWN                  29      41.96      40.79      44.40       1.09
  234 UNKNOWN                  29      23.48      21.30      25.39       1.24
  235 UNKNOWN                  29       4.68       4.02       5.16       0.24
  236 UNKNOWN                  29      14.24      13.88      14.56       0.20
  237 UNKNOWN                  29       9.65       9.47      10.04       0.15
  238 UNKNOWN                  29      12.30      11.77      12.81       0.29
  239 UNKNOWN                  29      15.05      14.39      15.50       0.24
  240 UNKNOWN                  29       7.84       7.39       8.48       0.28
  241 UNKNOWN                  29      15.67      14.72      16.47       0.45
  242 UNKNOWN                  29      42.20      39.55      45.27       1.39
  243 UNKNOWN                  29      23.10      20.72      24.57       1.03
  244 UNKNOWN                  29       5.45       4.20       7.08       1.11
  245 UNKNOWN                  28       0.14       0.01       1.24       0.23
  246 UNKNOWN                  25       6.28       0.01      77.80      20.94
  247 UNKNOWN                  26       3.09       0.01      76.84      14.75
  248 UNKNOWN                  25       0.16       0.01       0.89       0.21
  249 UNKNOWN                  28       0.22       0.02       1.04       0.29
  250 UNKNOWN                  26       0.12       0.01       0.82       0.16
  251 UNKNOWN                  28       0.15       0.01       0.56       0.13
  252 UNKNOWN                  25       0.15       0.01       0.60       0.13
  253 UNKNOWN                  26       6.02       0.02      76.03      20.03
  254 UNKNOWN                  27       2.97       0.01      75.43      14.21
  255 UNKNOWN                  23       0.27       0.02       2.75       0.55
  256 UNKNOWN                  21       0.16       0.01       0.65       0.17
  257 UNKNOWN                  22       7.04       0.01      77.15      21.93
  258 UNKNOWN                  23       9.94       0.01      77.52      25.46
  259 UNKNOWN                  24       6.40       0.01      75.80      20.79
  260 UNKNOWN                  24       0.16       0.01       0.87       0.21
  261 UNKNOWN                  20       0.14       0.02       0.56       0.15
  262 UNKNOWN                  23       6.64       0.01      76.45      21.02
  263 UNKNOWN                  21       7.27       0.04      75.69      21.94
  264 UNKNOWN                  22       7.00       0.02      76.15      21.55
  265 UNKNOWN                  22       3.54       0.01      75.44      15.69
  266 UNKNOWN                  22       7.03       0.01      77.07      21.84
  267 UNKNOWN                  23       0.13       0.01       0.56       0.15
  268 UNKNOWN                  24       0.13       0.01       0.41       0.11
  269 UNKNOWN                  21       0.22       0.02       0.71       0.23
  270 UNKNOWN                  21       0.14       0.01       0.38       0.10
  271 UNKNOWN                  22       7.04       0.01      77.12      21.75
  272 UNKNOWN                  22       0.22       0.02       1.32       0.29
  273 UNKNOWN                  26       0.14       0.01       0.56       0.13
  274 UNKNOWN                  23       3.38       0.01      74.56      15.18
  275 UNKNOWN                  23       3.43       0.01      77.37      15.76
  276 UNKNOWN                  25       9.29       0.02      78.16      24.83
  277 UNKNOWN                  24       0.64       0.01       3.45       0.82
  278 UNKNOWN                  25       0.87       0.01       3.68       1.03
  279 UNKNOWN                  28       2.01       0.04       4.27       1.64
  280 UNKNOWN                  27       1.07       0.10       4.44       1.29
  281 UNKNOWN                  29       0.70       0.03       4.65       0.85
  282 UNKNOWN                  27       3.52       0.01      29.65       9.22
  283 UNKNOWN                  27       8.89       0.03      30.70      13.21
  284 UNKNOWN                  27       5.81       0.01      29.81      11.30
  285 UNKNOWN                  25       2.55       0.02      30.30       7.99
  286 UNKNOWN                  29       2.32       0.01      30.01       7.31
  287 UNKNOWN                  29       7.18       0.02      29.81      12.24
  288 UNKNOWN                  25       2.58       0.01      29.76       7.95
  289 UNKNOWN                  23       0.25       0.02       0.84       0.23
  290 UNKNOWN                  24       0.28       0.01       0.81       0.24
  291 UNKNOWN                  28       0.32       0.04       0.98       0.24
  292 UNKNOWN                  29       0.27       0.01       0.72       0.19
  293 UNKNOWN                  26       0.38       0.04       1.72       0.35
  294 UNKNOWN                  26       0.22       0.02       0.76       0.18
  295 UNKNOWN                  29       5.38       4.96       6.08       0.26
  296 UNKNOWN                  29       5.21       5.04       5.40       0.09

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 296       4347.5      4.348   100.0%
TOTAL                             4347.5      4.348

Saved raw event timing to event_timing.json
