[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  29      12.64      11.84      13.28       0.43
  104 UNKNOWN                  29      15.23      14.52      15.70       0.32
  105 UNKNOWN                  29       8.02       7.32       8.73       0.32
  106 UNKNOWN                  29      15.41      14.96      16.02       0.31
  107 UNKNOWN                  29      44.23      41.49      47.56       1.58
  108 UNKNOWN                  29      24.46      23.08      25.68       0.54
  109 UNKNOWN                  29       5.12       4.26       6.74       0.61
  110 UNKNOWN                  29      13.77      13.08      14.32       0.29
  111 UNKNOWN                  29       9.84       9.48      10.99       0.28
  112 UNKNOWN                  29      12.32      11.41      13.13       0.47
  113 UNKNOWN                  29      15.12      14.57      15.66       0.27
  114 UNKNOWN                  29       8.26       7.47       9.00       0.34
  115 UNKNOWN                  29      15.28      14.64      16.03       0.28
  116 UNKNOWN                  29      41.41      40.00      43.00       0.57
  117 UNKNOWN                  29      24.32      23.01      25.43       0.43
  118 UNKNOWN                  29       4.88       4.34       6.83       0.46
  119 UNKNOWN                  29      13.93      13.28      14.45       0.25
  120 UNKNOWN                  29       9.72       9.21      10.49       0.25
  121 UNKNOWN                  29      12.51      11.71      13.05       0.44
  122 UNKNOWN                  29      14.96      14.60      15.40       0.24
  123 UNKNOWN                  29       8.12       7.57       8.80       0.32
  124 UNKNOWN                  29      15.13      14.73      15.54       0.25
  125 UNKNOWN                  29      42.29      40.59      46.30       1.38
  126 UNKNOWN                  29      24.31      23.64      24.83       0.32
  127 UNKNOWN                  29       4.63       4.05       6.03       0.40
  128 UNKNOWN                  29      14.06      13.56      14.92       0.29
  129 UNKNOWN                  29       9.73       9.46      10.14       0.17
  130 UNKNOWN                  29      12.70      11.91      13.34       0.37
  131 UNKNOWN                  29      15.09      14.62      15.82       0.28
  132 UNKNOWN                  29       8.19       7.58       8.68       0.28
  133 UNKNOWN                  29      15.65      15.19      16.31       0.26
  134 UNKNOWN                  29      41.67      40.65      43.67       0.67
  135 UNKNOWN                  29      24.68      23.20      26.84       0.76
  136 UNKNOWN                  29       4.94       4.34       5.91       0.35
  137 UNKNOWN                  29      14.01      13.40      14.68       0.35
  138 UNKNOWN                  29       9.82       9.48      10.26       0.20
  139 UNKNOWN                  29      12.57      11.82      13.44       0.41
  140 UNKNOWN                  29      15.19      14.44      15.72       0.26
  141 UNKNOWN                  29       8.02       7.48       8.84       0.33
  142 UNKNOWN                  29      15.67      15.06      16.24       0.30
  143 UNKNOWN                  29      41.53      40.86      43.24       0.47
  144 UNKNOWN                  29      24.70      23.63      26.08       0.57
  145 UNKNOWN                  29       5.15       4.44       7.83       0.71
  146 UNKNOWN                  29      14.03      13.36      14.48       0.27
  147 UNKNOWN                  29      10.02       9.67      11.51       0.33
  148 UNKNOWN                  29      12.37      11.56      12.92       0.36
  149 UNKNOWN                  29      15.01      14.56      15.46       0.23
  150 UNKNOWN                  29       8.07       7.24       8.55       0.31
  151 UNKNOWN                  29      15.79      15.16      17.26       0.50
  152 UNKNOWN                  29      41.25      40.01      43.48       0.64
