[EVENT_TIMING] 10496 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  31      26.64      24.10      27.54       0.58
  104 UNKNOWN                  31      41.14      39.68      46.50       1.36
  105 UNKNOWN                  31       5.39       3.88       7.73       1.12
  106 UNKNOWN                  31      22.65      20.30      26.28       1.45
  107 UNKNOWN                  31       4.77       4.40       5.25       0.21
  108 UNKNOWN                  31       4.47       3.84       5.33       0.49
  109 UNKNOWN                  31      14.38      13.27      15.08       0.49
  110 UNKNOWN                  31     215.12     211.11     218.87       1.84
  111 UNKNOWN                  31      64.61      61.33      65.25       0.67
  112 UNKNOWN                  31      27.69      25.04      30.48       1.66
  113 UNKNOWN                  31      15.03      13.56      18.20       1.34
  114 UNKNOWN                  31       3.76       3.62       3.99       0.09
  115 UNKNOWN                  31      25.03      24.05      27.53       0.74
  116 UNKNOWN                  31      41.62      39.73      42.86       0.81
  117 UNKNOWN                  31       5.38       3.68       8.60       1.18
  118 UNKNOWN                  31      23.08      20.89      25.36       1.28
  119 UNKNOWN                  31       5.33       4.66       7.05       0.61
  120 UNKNOWN                  31       3.84       3.39       4.36       0.19
  121 UNKNOWN                  31      15.48      13.57      19.00       1.71
  122 UNKNOWN                  31     211.36     208.35     217.03       1.99
  123 UNKNOWN                  31      64.30      63.43      64.93       0.34
  124 UNKNOWN                  31      25.51      24.74      26.20       0.33
  125 UNKNOWN                  31      13.88      13.40      14.32       0.18
  126 UNKNOWN                  31       3.90       3.76       4.24       0.10
  127 UNKNOWN                  31      26.13      24.18      27.46       1.00
  128 UNKNOWN                  31      45.20      40.76      50.86       2.09
  129 UNKNOWN                  31       5.05       3.67       6.84       0.93
  130 UNKNOWN                  31      22.77      20.40      24.24       1.00
  131 UNKNOWN                  31       4.81       4.38       6.48       0.43
  132 UNKNOWN                  31       4.62       3.76       5.39       0.54
  133 UNKNOWN                  31      14.40      13.19      15.36       0.66
  134 UNKNOWN                  31     214.21     211.43     218.15       1.72
  135 UNKNOWN                  31      64.39      63.12      65.20       0.41
  136 UNKNOWN                  31      25.36      24.64      26.20       0.35
  137 UNKNOWN                  31      13.78      13.48      14.32       0.19
  138 UNKNOWN                  31       3.84       3.62       5.00       0.24
  139 UNKNOWN                  31      25.08      23.97      26.77       0.68
  140 UNKNOWN                  31      42.07      40.05      43.80       0.80
  141 UNKNOWN                  31       5.51       3.85       6.51       0.97
  142 UNKNOWN                  31      21.91      20.43      24.57       1.16
  143 UNKNOWN                  31       4.10       3.72       7.12       0.71
  144 UNKNOWN                  31       4.05       3.53       4.85       0.29
  145 UNKNOWN                  31      14.48      13.83      19.00       0.88
  146 UNKNOWN                  31     211.42     208.35     215.11       1.79
  147 UNKNOWN                  31      64.44      63.76      65.03       0.30
  148 UNKNOWN                  31      26.14      24.62      29.64       1.15
  149 UNKNOWN                  31      15.02      13.56      18.08       1.34
  150 UNKNOWN                  31       4.04       3.90       4.23       0.09
  151 UNKNOWN                  31      25.50      24.34      27.22       0.92
  152 UNKNOWN                  31      41.75      39.71      44.32       1.22
  153 UNKNOWN                  31       4.79       3.60      10.76       1.45
  154 UNKNOWN                  31      23.65      21.68      27.08       1.33
  155 UNKNOWN                  31       4.90       4.29       6.84       0.63
  156 UNKNOWN                  31       4.30       3.64       5.16       0.51
  157 UNKNOWN                  31      14.30      13.03      15.00       0.58
  158 UNKNOWN                  31     210.43     206.99     214.63       1.92
  159 UNKNOWN                  31      64.31      63.65      64.93       0.25
  160 UNKNOWN                  31      25.42      24.65      26.40       0.51
  161 UNKNOWN                  31      13.87      13.48      14.36       0.22
  162 UNKNOWN                  31       3.77       3.54       4.12       0.14
  163 UNKNOWN                  31      24.64      23.81      26.65       0.66
  164 UNKNOWN                  31      42.64      40.97      46.47       1.28
  165 UNKNOWN                  31       5.72       3.76       6.51       0.78
  166 UNKNOWN                  31      21.86      20.75      24.28       0.93
  167 UNKNOWN                  31       4.63       4.24       5.08       0.23
  168 UNKNOWN                  31       4.31       3.65       5.31       0.44
  169 UNKNOWN                  31      14.25      13.31      15.16       0.45
  170 UNKNOWN                  31     211.37     208.25     214.04       1.48
  171 UNKNOWN                  31      64.35      63.15      64.91       0.33
  172 UNKNOWN                  31      25.60      24.84      29.04       0.76
  173 UNKNOWN                  31      15.54      13.60      17.56       1.25
  174 UNKNOWN                  31       3.92       3.75       4.31       0.14
  175 UNKNOWN                  31      25.66      23.94      27.34       1.08
  176 UNKNOWN                  31      42.19      40.50      45.52       1.19
  177 UNKNOWN                  31       5.53       3.88       6.92       0.92
  178 UNKNOWN                  31      22.24      21.11      24.44       1.03
  179 UNKNOWN                  31       4.67       4.19       5.11       0.23
  180 UNKNOWN                  31       4.54       3.78       5.21       0.50
  181 UNKNOWN                  31      15.12      13.24      18.84       1.89
  182 UNKNOWN                  31     214.38     211.03     217.97       1.57
  183 UNKNOWN                  31      64.35      62.40      64.91       0.54
  184 UNKNOWN                  31      25.99      24.96      28.14       0.83
  185 UNKNOWN                  31      14.36      13.40      16.59       0.99
  186 UNKNOWN                  31       3.79       3.54       4.04       0.11
  187 UNKNOWN                  31      24.92      23.77      26.17       0.72
  188 UNKNOWN                  31      42.42      40.89      44.75       0.88
  189 UNKNOWN                  31       5.12       3.65       6.60       1.08
  190 UNKNOWN                  31      22.88      20.22      25.13       1.46
  191 UNKNOWN                  31       4.83       3.45       6.77       1.13
  192 UNKNOWN                  31       3.87       3.43       4.76       0.29
  193 UNKNOWN                  31      14.83      13.97      18.40       0.76
  194 UNKNOWN                  31     211.79     208.43     214.91       1.67
  195 UNKNOWN                  31      64.34      61.80      64.96       0.64
  196 UNKNOWN                  31      25.62      24.75      26.48       0.53
  197 UNKNOWN                  31      13.78      13.44      15.23       0.31
  198 UNKNOWN                  31       4.06       3.74       7.39       0.62
  199 UNKNOWN                  31      26.38      24.86      27.22       0.47
  200 UNKNOWN                  31      40.48      39.59      43.16       0.73
  201 UNKNOWN                  31       5.27       3.92       7.68       1.12
  202 UNKNOWN                  31      22.72      20.64      25.37       1.24
  203 UNKNOWN                  31       5.01       4.41       7.01       0.58
  204 UNKNOWN                  31       4.43       3.80       5.35       0.55
  205 UNKNOWN                  31      14.10      13.03      15.04       0.66
  206 UNKNOWN                  31     210.34     207.03     214.30       1.63
  207 UNKNOWN                  31      64.16      63.41      64.96       0.30
  208 UNKNOWN                  31      27.76      25.36      30.36       1.50
  209 UNKNOWN                  31      14.59      13.64      17.72       1.24
  210 UNKNOWN                  31       3.88       3.75       4.02       0.08
  211 UNKNOWN                  31      24.97      23.81      26.93       0.72
  212 UNKNOWN                  31      42.82      40.26      46.86       1.62
  213 UNKNOWN                  31       5.42       3.67       6.33       0.97
  214 UNKNOWN                  31      22.73      21.00      25.17       1.17
  215 UNKNOWN                  31       5.19       4.35       8.79       0.97
  216 UNKNOWN                  31       3.86       3.49       4.22       0.21
  217 UNKNOWN                  31      14.67      14.00      15.12       0.28
  218 UNKNOWN                  31     211.71     207.91     215.71       1.69
  219 UNKNOWN                  31      64.31      63.81      65.12       0.30
  220 UNKNOWN                  31      25.71      24.84      26.40       0.36
  221 UNKNOWN                  31      13.78      13.48      14.16       0.20
  222 UNKNOWN                  31       3.89       3.69       4.15       0.11
  223 UNKNOWN                  31      26.21      24.26      27.02       0.73
