[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  29      12.46      11.26      13.10       0.35
  104 UNKNOWN                  29      15.29      14.81      15.76       0.25
  105 UNKNOWN                  29       8.04       7.46       8.66       0.26
  106 UNKNOWN                  29      15.96      14.85      17.60       0.80
  107 UNKNOWN                  29      42.15      40.02      44.02       1.11
  108 UNKNOWN                  29      24.32      21.80      27.36       1.65
  109 UNKNOWN                  29       4.76       4.09       6.21       0.46
  110 UNKNOWN                  29      13.58      13.22      14.00       0.24
  111 UNKNOWN                  29      10.13       9.76      10.55       0.20
  112 UNKNOWN                  29      12.36      11.21      12.96       0.42
  113 UNKNOWN                  29      15.11      14.51      15.72       0.28
  114 UNKNOWN                  29       8.18       7.60       8.60       0.23
  115 UNKNOWN                  29      16.17      14.71      17.96       0.98
  116 UNKNOWN                  29      41.95      38.95      44.46       1.47
  117 UNKNOWN                  29      23.66      22.22      26.46       1.15
  118 UNKNOWN                  29       4.76       4.31       5.26       0.26
  119 UNKNOWN                  29      13.79      13.39      14.26       0.23
  120 UNKNOWN                  29       9.71       9.22      10.00       0.16
  121 UNKNOWN                  29      12.38      11.35      13.15       0.44
  122 UNKNOWN                  29      15.10      14.76      15.58       0.20
  123 UNKNOWN                  29       8.15       7.57       8.77       0.31
  124 UNKNOWN                  29      16.24      14.87      17.64       0.72
  125 UNKNOWN                  29      43.17      40.29      46.43       1.56
  126 UNKNOWN                  29      23.55      22.10      25.45       0.97
  127 UNKNOWN                  29       4.57       4.08       5.59       0.29
  128 UNKNOWN                  29      13.85      13.11      14.49       0.27
  129 UNKNOWN                  29       9.81       9.49      10.16       0.18
  130 UNKNOWN                  29      12.65      11.72      13.47       0.39
  131 UNKNOWN                  29      15.23      14.64      15.80       0.30
  132 UNKNOWN                  29       7.92       7.18       8.48       0.29
  133 UNKNOWN                  29      17.19      15.10      18.28       0.98
  134 UNKNOWN                  29      41.57      39.12      44.78       1.43
  135 UNKNOWN                  29      23.15      21.78      25.80       1.07
  136 UNKNOWN                  29       5.23       4.50       7.98       0.71
  137 UNKNOWN                  29      13.81      13.27      14.37       0.30
  138 UNKNOWN                  29      10.07       9.75      10.39       0.18
  139 UNKNOWN                  29      12.61      11.74      13.45       0.42
  140 UNKNOWN                  29      15.15      14.50      15.68       0.30
  141 UNKNOWN                  29       7.90       7.30       8.64       0.34
  142 UNKNOWN                  29      16.90      15.17      18.28       1.08
  143 UNKNOWN                  29      42.00      39.10      45.20       1.52
  144 UNKNOWN                  29      23.26      21.89      26.16       1.05
  145 UNKNOWN                  29       4.99       4.02       6.09       0.48
  146 UNKNOWN                  29      13.79      13.29      14.23       0.26
  147 UNKNOWN                  29      10.01       9.55      10.70       0.23
  148 UNKNOWN                  29      12.28      11.61      13.09       0.38
  149 UNKNOWN                  29      15.10      14.24      15.54       0.28
  150 UNKNOWN                  29       7.95       7.47       8.47       0.29
  151 UNKNOWN                  29      16.89      15.33      18.57       0.86
  152 UNKNOWN                  29      41.87      39.23      43.87       1.18
  153 UNKNOWN                  29      23.62      22.27      25.37       0.94
  154 UNKNOWN                  29       4.94       4.37       6.15       0.46
  155 UNKNOWN                  29      13.76      13.23      14.26       0.25
  156 UNKNOWN                  29       9.77       9.37      10.17       0.17
  157 UNKNOWN                  29      12.34      11.62      13.13       0.36
  158 UNKNOWN                  29      15.07      14.49      15.50       0.27
  159 UNKNOWN                  29       7.30       6.88       7.92       0.27
  160 UNKNOWN                  29      16.73      15.08      18.25       0.94
  161 UNKNOWN                  29      42.19      39.37      47.71       2.03
  162 UNKNOWN                  29      23.61      21.96      25.40       0.97
  163 UNKNOWN                  29       5.12       4.43       8.25       0.70
  164 UNKNOWN                  29      13.72      13.14      14.04       0.21
  165 UNKNOWN                  29       9.70       9.36      10.01       0.16
  166 UNKNOWN                  29      12.50      11.55      13.16       0.41
  167 UNKNOWN                  29      15.20      14.59      15.79       0.30
  168 UNKNOWN                  29       8.14       7.54       8.64       0.30
  169 UNKNOWN                  29      16.60      14.94      17.80       0.95
  170 UNKNOWN                  29      42.11      39.32      45.80       1.72
  171 UNKNOWN                  29      23.73      22.20      25.92       1.08
  172 UNKNOWN                  29       4.82       4.24       6.54       0.46
  173 UNKNOWN                  29      13.63      13.12      14.39       0.28
  174 UNKNOWN                  29       9.90       9.55      10.55       0.21
  175 UNKNOWN                  29      12.40      11.58      13.14       0.35
  176 UNKNOWN                  29      15.08      14.43      15.68       0.29
  177 UNKNOWN                  29       7.96       7.29       8.56       0.33
  178 UNKNOWN                  29      16.25      14.89      17.62       0.93
  179 UNKNOWN                  29      42.31      39.74      45.02       1.32
  180 UNKNOWN                  29      23.72      21.98      25.68       1.06
  181 UNKNOWN                  29       4.87       4.44       5.76       0.29
  182 UNKNOWN                  29      13.84      13.23      14.13       0.23
  183 UNKNOWN                  29       9.98       9.52      11.59       0.38
  184 UNKNOWN                  29      12.35      11.65      13.20       0.34
  185 UNKNOWN                  29      15.08      14.63      15.59       0.26
  186 UNKNOWN                  29       8.12       7.53       8.60       0.26
  187 UNKNOWN                  29      16.03      14.72      17.58       1.01
  188 UNKNOWN                  29      42.06      39.02      45.18       1.63
  189 UNKNOWN                  29      23.36      22.13      25.36       1.03
  190 UNKNOWN                  29       4.73       4.27       5.62       0.28
  191 UNKNOWN                  29      13.63      13.01      14.14       0.24
  192 UNKNOWN                  29       9.68       9.49       9.93       0.12
  193 UNKNOWN                  29      12.10      11.22      13.18       0.39
  194 UNKNOWN                  29      15.11      14.63      15.62       0.24
  195 UNKNOWN                  29       8.00       7.35       8.65       0.36
  196 UNKNOWN                  29      16.50      15.23      17.79       0.96
  197 UNKNOWN                  29      42.01      39.31      44.11       1.21
  198 UNKNOWN                  29      23.36      21.85      26.56       1.24
  199 UNKNOWN                  29       4.80       4.30       5.82       0.32
  200 UNKNOWN                  29      13.79      13.11      14.20       0.25
  201 UNKNOWN                  29       9.86       9.52      10.20       0.17
  202 UNKNOWN                  29      12.53      11.74      13.12       0.34
  203 UNKNOWN                  29      15.20      14.76      15.64       0.22
  204 UNKNOWN                  29       7.94       7.32       8.33       0.26
  205 UNKNOWN                  29      16.23      14.79      17.47       0.78
  206 UNKNOWN                  29      43.66      38.53      46.52       1.88
  207 UNKNOWN                  29      23.33      21.87      25.54       1.15
  208 UNKNOWN                  29       4.93       4.38       5.84       0.37
  209 UNKNOWN                  29      13.81      13.27      14.24       0.23
  210 UNKNOWN                  29       9.96       9.58      10.34       0.21
  211 UNKNOWN                  29      12.52      11.73      13.22       0.35
  212 UNKNOWN                  29      15.17      14.61      15.57       0.25
  213 UNKNOWN                  29       8.20       7.42       8.68       0.30
  214 UNKNOWN                  29      16.62      15.32      18.23       0.99
  215 UNKNOWN                  29      41.50      38.32      43.84       1.53
  216 UNKNOWN                  29      22.99      21.40      24.52       0.99
  217 UNKNOWN                  29       5.01       4.22       6.55       0.63
  218 UNKNOWN                  29      13.79      13.32      14.20       0.20
  219 UNKNOWN                  29      10.09       9.79      10.54       0.22
  220 UNKNOWN                  29      12.23      11.44      12.81       0.32
  221 UNKNOWN                  29      15.15      14.74      15.56       0.19
  222 UNKNOWN                  29       8.18       7.18       8.64       0.35
  223 UNKNOWN                  29      16.17      15.00      18.08       0.85
  224 UNKNOWN                  29      41.74      39.16      43.93       1.40
  225 UNKNOWN                  29      22.86      21.60      24.44       1.02
  226 UNKNOWN                  29       4.81       4.22       6.21       0.48
  227 UNKNOWN                  29      13.68      12.80      14.10       0.24
  228 UNKNOWN                  29       9.69       9.42      10.05       0.16
  229 UNKNOWN                  29      12.27      11.39      13.18       0.41
  230 UNKNOWN                  29      15.18      14.59      15.56       0.25
  231 UNKNOWN                  29       8.06       7.50       8.72       0.26
  232 UNKNOWN                  29      15.80      14.86      17.55       0.73
  233 UNKNOWN                  29      41.84      38.98      43.92       1.33
  234 UNKNOWN                  29      23.59      21.55      25.34       1.08
  235 UNKNOWN                  29       4.73       4.30       5.96       0.39
  236 UNKNOWN                  29      13.77      13.23      14.31       0.27
  237 UNKNOWN                  29       9.77       9.48      10.12       0.16
  238 UNKNOWN                  29      12.29      11.80      12.78       0.28
  239 UNKNOWN                  29      15.00      14.60      15.47       0.23
