[EVENT_TIMING] 10368 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  31      12.92      12.24      13.58       0.35
  104 UNKNOWN                  31      10.21       9.99      10.51       0.16
  105 UNKNOWN                  31      12.05      11.27      12.52       0.27
  106 UNKNOWN                  31      22.97      22.48      24.99       0.44
  107 UNKNOWN                  31      12.54      11.82      13.12       0.34
  108 UNKNOWN                  31      28.01      26.01      36.05       1.70
  109 UNKNOWN                  31      40.28      38.01      42.64       1.34
  110 UNKNOWN                  31      23.43      21.59      25.64       1.24
  111 UNKNOWN                  31       3.78       3.40       4.72       0.28
  112 UNKNOWN                  31       4.16       3.54       4.42       0.22
  113 UNKNOWN                  31      12.62      11.97      13.48       0.36
  114 UNKNOWN                  31      10.08       9.80      10.64       0.20
  115 UNKNOWN                  31      11.70      11.34      12.39       0.23
  116 UNKNOWN                  31      24.48      22.73      27.24       1.03
  117 UNKNOWN                  31      13.16      12.29      15.44       0.70
  118 UNKNOWN                  31      27.75      25.69      30.04       1.01
  119 UNKNOWN                  31      43.28      40.66      46.16       1.57
  120 UNKNOWN                  31      23.18      21.72      24.76       1.04
  121 UNKNOWN                  31       4.36       3.92       4.81       0.22
  122 UNKNOWN                  31       4.03       3.51       4.47       0.27
  123 UNKNOWN                  31      12.37      11.79      13.12       0.36
  124 UNKNOWN                  31      10.12       9.84      10.53       0.16
  125 UNKNOWN                  31      11.80      11.38      12.22       0.26
  126 UNKNOWN                  31      23.73      22.75      26.14       0.85
  127 UNKNOWN                  31      12.45      11.50      16.92       1.09
  128 UNKNOWN                  31      26.80      25.46      28.26       0.83
  129 UNKNOWN                  31      41.37      38.15      42.76       1.13
  130 UNKNOWN                  31      23.18      21.75      25.44       1.04
  131 UNKNOWN                  31       4.53       3.84       5.14       0.33
  132 UNKNOWN                  31       4.00       3.44       4.54       0.34
  133 UNKNOWN                  31      12.65      11.84      13.31       0.41
  134 UNKNOWN                  31      10.31       9.91      10.52       0.15
  135 UNKNOWN                  31      11.76      11.18      12.22       0.23
  136 UNKNOWN                  31      23.92      22.86      25.60       0.92
  137 UNKNOWN                  31      12.92      12.16      15.83       0.70
  138 UNKNOWN                  31      26.99      25.63      30.64       1.12
  139 UNKNOWN                  31      41.10      37.76      43.14       1.41
  140 UNKNOWN                  31      22.94      21.79      25.75       1.03
  141 UNKNOWN                  31       4.14       3.84       4.64       0.17
  142 UNKNOWN                  31       4.15       3.51       4.76       0.34
  143 UNKNOWN                  31      12.52      11.98      13.20       0.40
  144 UNKNOWN                  31      10.26       9.96      10.67       0.16
  145 UNKNOWN                  31      12.09      11.56      12.40       0.19
  146 UNKNOWN                  31      23.09      22.48      24.69       0.58
  147 UNKNOWN                  31      12.63      12.02      13.28       0.35
  148 UNKNOWN                  31      28.21      26.23      29.32       0.85
  149 UNKNOWN                  31      40.20      38.05      42.95       1.34
  150 UNKNOWN                  31      23.31      21.38      25.14       1.03
  151 UNKNOWN                  31       4.25       3.91       4.60       0.17
  152 UNKNOWN                  31       3.96       3.47       4.40       0.29
  153 UNKNOWN                  31      12.79      12.12      13.50       0.36
  154 UNKNOWN                  31      10.25       9.82      10.73       0.23
  155 UNKNOWN                  31      11.65      11.23      12.34       0.28
  156 UNKNOWN                  31      23.47      22.58      25.96       0.91
  157 UNKNOWN                  31      12.99      11.99      15.52       0.96
  158 UNKNOWN                  31      27.98      26.37      31.62       1.07
  159 UNKNOWN                  31      40.67      38.34      45.88       1.61
  160 UNKNOWN                  31      23.43      21.64      25.34       1.08
  161 UNKNOWN                  31       4.42       4.05       5.16       0.27
  162 UNKNOWN                  31       3.70       3.44       4.20       0.19
  163 UNKNOWN                  31      13.16      12.23      13.72       0.38
  164 UNKNOWN                  31      10.05       9.74      10.94       0.24
  165 UNKNOWN                  31      11.84      11.40      13.16       0.39
  166 UNKNOWN                  31      24.88      23.08      26.40       0.77
  167 UNKNOWN                  31      13.02      11.98      15.58       0.63
  168 UNKNOWN                  31      25.90      24.82      29.82       0.88
  169 UNKNOWN                  31      41.59      39.48      43.30       1.09
  170 UNKNOWN                  31      23.34      21.98      25.12       1.04
  171 UNKNOWN                  31       4.34       3.76       5.63       0.33
  172 UNKNOWN                  31       4.02       3.38       4.44       0.33
  173 UNKNOWN                  31      12.50      11.71      13.34       0.41
  174 UNKNOWN                  31      10.12       9.68      10.47       0.19
  175 UNKNOWN                  31      11.86      11.22      15.00       0.85
  176 UNKNOWN                  31      23.65      22.38      25.60       0.94
  177 UNKNOWN                  31      12.99      12.24      14.61       0.59
  178 UNKNOWN                  31      26.89      25.03      31.55       1.29
  179 UNKNOWN                  31      41.12      37.84      46.42       2.00
  180 UNKNOWN                  31      23.45      21.92      25.12       0.98
  181 UNKNOWN                  31       4.27       3.96       5.12       0.22
  182 UNKNOWN                  31       4.08       3.70       4.76       0.29
  183 UNKNOWN                  31      13.05      12.36      13.88       0.38
  184 UNKNOWN                  31      10.23       9.92      10.96       0.20
  185 UNKNOWN                  31      11.89      11.28      12.27       0.23
  186 UNKNOWN                  31      23.21      22.40      24.72       0.66
  187 UNKNOWN                  31      12.94      12.02      15.33       0.88
  188 UNKNOWN                  31      27.74      26.21      32.17       1.20
  189 UNKNOWN                  31      41.17      38.57      44.20       1.44
  190 UNKNOWN                  31      23.14      21.43      24.80       0.97
  191 UNKNOWN                  31       4.40       3.48       6.76       0.91
  192 UNKNOWN                  31       4.13       3.52       4.34       0.23
  193 UNKNOWN                  31      12.86      12.36      13.69       0.36
  194 UNKNOWN                  31      10.09       9.77      10.65       0.19
  195 UNKNOWN                  31      11.94      11.31      12.58       0.31
  196 UNKNOWN                  31      23.50      22.45      25.54       0.91
