# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 5109.1 |
| time per iteration from host wall clock (us) |  | 6775.7 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2103 / 2104 over 49 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 162.83 | 94.88 | 277.44 | 28 |
| 2 | embed_layer | 14.09 | 12.71 | 15.59 | 29 |
| 3 | linear_norm_layer | 31.26 | 29.30 | 33.96 | 29 |
| 4 | mla_prep_layer | 10.37 | 9.94 | 10.82 | 29 |
| 5 | mla_attend_layer | 12.07 | 11.30 | 13.72 | 29 |
| 6 | mla_merge_uv_layer | 27.43 | 23.73 | 30.20 | 29 |
| 7 | linear_with_residual_layer | 12.93 | 12.49 | 13.29 | 29 |
| 8 | rmsnorm_layer | 4.26 | 3.31 | 4.82 | 29 |
| 9 | gang_linear_silu_layer | 31.54 | 30.36 | 32.80 | 29 |
| 10 | linear_with_residual_layer | 51.02 | 49.76 | 52.40 | 29 |
| 11 | linear_norm_layer | 18.82 | 18.01 | 19.89 | 29 |
| 12 | mla_prep_layer | 10.60 | 10.00 | 11.19 | 29 |
| 13 | mla_attend_layer | 11.76 | 11.32 | 12.04 | 29 |
| 14 | mla_merge_uv_layer | 25.03 | 23.89 | 26.44 | 29 |
| 15 | linear_with_residual_layer | 13.27 | 11.98 | 17.20 | 29 |
| 16 | moe_router_layer | 28.02 | 26.46 | 29.22 | 29 |
| 17 | gang_moe_w13_linear_layer | 41.47 | 38.93 | 43.29 | 29 |
| 18 | gang_moe_w2_silu_linear_layer | 23.67 | 21.10 | 26.49 | 29 |
| 19 | moe_mul_sum_add_layer | 4.98 | 4.27 | 5.60 | 29 |
| 20 | linear_norm_layer | 18.98 | 18.14 | 20.36 | 29 |
| 21 | mla_prep_layer | 10.29 | 9.92 | 10.85 | 29 |
| 22 | mla_attend_layer | 12.00 | 11.43 | 12.45 | 29 |
| 23 | mla_merge_uv_layer | 24.22 | 23.51 | 25.48 | 29 |
| 24 | linear_with_residual_layer | 13.33 | 12.89 | 13.64 | 29 |
| 25 | moe_router_layer | 27.84 | 26.12 | 33.52 | 29 |
| 26 | gang_moe_w13_linear_layer | 42.39 | 39.43 | 46.88 | 29 |
| 27 | gang_moe_w2_silu_linear_layer | 23.85 | 21.56 | 26.73 | 29 |
| 28 | moe_mul_sum_add_layer | 5.00 | 4.28 | 5.57 | 29 |
| 29 | linear_norm_layer | 19.04 | 18.36 | 20.36 | 29 |
| 30 | mla_prep_layer | 10.31 | 9.95 | 11.43 | 29 |
| 31 | mla_attend_layer | 11.68 | 11.30 | 12.94 | 29 |
| 32 | mla_merge_uv_layer | 25.45 | 23.35 | 26.88 | 29 |
| 33 | linear_with_residual_layer | 12.99 | 12.33 | 13.52 | 29 |
| 34 | moe_router_layer | 27.20 | 25.16 | 31.49 | 29 |
| 35 | gang_moe_w13_linear_layer | 43.42 | 39.60 | 48.05 | 29 |
| 36 | gang_moe_w2_silu_linear_layer | 23.39 | 21.95 | 25.07 | 29 |
| 37 | moe_mul_sum_add_layer | 5.14 | 4.39 | 6.85 | 29 |
