# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | 10251.0 |
| time per iteration, P95 (us) |  | 10319.0 |
| time per iteration from event timing, median (us) |  | - |
| time per iteration from host wall clock (us) |  | 111526.8 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | 97.6 |
| workers with tasks (of those reporting) |  | 296 of 296 |
| tasks per XCD (placement) |  | 0:89761 1:89760 2:89760 3:89760 4:89791 5:89760 6:89760 7:89760 |
| shader clock from the spin (MHz) |  | - |
| exec cycles per task, busy workers |  | 38440.3 |
| exec us per task (at the spin's SCLK) |  | - |
| dep-wait us per iteration per busy worker |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2103 / 2103 over 51 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Exec time per task by class (worker timing, I1)

| Class | tasks | cycles per task | us per task |
|---|---|---|---|
| attend | 31104 | 90723 | - |
| linear | 101376 | 35330 | - |
| linear_res | 57344 | 23978 | - |
| merge | 12096 | 40513 | - |
| prep | 581 | 313200 | - |
| rms | 1760 | 3548 | - |
| router | 832 | 41226 | - |
| silu | 6656 | 2471 | - |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
| 63 | mla_merge_uv_layer | 60.64 | 60.44 | 60.88 | 31 |
| 64 | linear_with_residual_layer | 23.33 | 23.00 | 23.68 | 31 |
| 65 | rmsnorm_layer | 13.41 | 12.64 | 14.24 | 31 |
| 66 | moe_router_layer | 3.87 | 3.72 | 4.16 | 31 |
| 67 | gang_moe_w13_linear_layer | 24.42 | 22.40 | 29.88 | 31 |
| 68 | moe_silu_mul_layer | 41.33 | 39.08 | 43.40 | 31 |
| 69 | gang_moe_w2_linear_layer | 5.00 | 4.08 | 6.60 | 31 |
| 70 | moe_mul_sum_add_layer | 23.11 | 21.44 | 24.12 | 31 |
| 71 | rmsnorm_layer | 4.99 | 4.68 | 5.47 | 31 |
| 72 | linear_layer | 4.38 | 4.04 | 4.94 | 31 |
| 73 | mla_prep_layer | 13.66 | 12.88 | 14.04 | 31 |
| 74 | mla_attend_layer | 150.00 | 146.60 | 156.40 | 31 |
| 75 | mla_merge_uv_layer | 60.76 | 60.24 | 61.00 | 31 |
| 76 | linear_with_residual_layer | 23.63 | 23.06 | 25.78 | 31 |
| 77 | rmsnorm_layer | 14.49 | 12.78 | 17.72 | 31 |
| 78 | moe_router_layer | 4.03 | 3.94 | 4.14 | 31 |
| 79 | gang_moe_w13_linear_layer | 23.14 | 21.77 | 24.21 | 31 |
| 80 | moe_silu_mul_layer | 40.78 | 38.61 | 43.33 | 31 |
| 81 | gang_moe_w2_linear_layer | 5.29 | 3.96 | 6.67 | 31 |
| 82 | moe_mul_sum_add_layer | 22.88 | 21.28 | 24.68 | 31 |
| 83 | rmsnorm_layer | 5.06 | 4.65 | 6.50 | 31 |
| 84 | linear_layer | 4.38 | 3.89 | 4.69 | 31 |
| 85 | mla_prep_layer | 13.32 | 12.79 | 14.03 | 31 |
| 86 | mla_attend_layer | 149.59 | 146.24 | 152.28 | 31 |
| 87 | mla_merge_uv_layer | 60.75 | 60.36 | 61.12 | 31 |
| 88 | linear_with_residual_layer | 23.46 | 22.92 | 23.76 | 31 |
| 89 | rmsnorm_layer | 13.50 | 12.80 | 14.20 | 31 |
| 90 | moe_router_layer | 3.85 | 3.68 | 4.00 | 31 |
| 91 | gang_moe_w13_linear_layer | 23.28 | 21.76 | 27.84 | 31 |
| 92 | moe_silu_mul_layer | 40.65 | 38.92 | 42.36 | 31 |
| 93 | gang_moe_w2_linear_layer | 5.13 | 3.96 | 7.67 | 31 |
| 94 | moe_mul_sum_add_layer | 22.25 | 19.80 | 23.56 | 31 |
| 95 | rmsnorm_layer | 4.46 | 4.04 | 6.59 | 31 |
| 96 | linear_layer | 4.45 | 4.08 | 4.92 | 31 |
| 97 | mla_prep_layer | 13.54 | 12.76 | 14.34 | 31 |
| 98 | mla_attend_layer | 149.95 | 146.80 | 152.96 | 31 |
| 99 | mla_merge_uv_layer | 60.78 | 60.24 | 61.16 | 31 |
| 100 | linear_with_residual_layer | 23.28 | 22.82 | 23.60 | 31 |
| 101 | rmsnorm_layer | 13.43 | 13.02 | 14.08 | 31 |
| 102 | moe_router_layer | 4.01 | 3.86 | 4.20 | 31 |
| 103 | gang_moe_w13_linear_layer | 22.97 | 21.57 | 24.17 | 31 |
| 104 | moe_silu_mul_layer | 43.02 | 40.17 | 46.65 | 31 |
| 105 | gang_moe_w2_linear_layer | 5.17 | 4.00 | 6.60 | 31 |
| 106 | moe_mul_sum_add_layer | 22.22 | 20.74 | 23.60 | 31 |
| 107 | rmsnorm_layer | 4.95 | 4.68 | 5.23 | 31 |
| 108 | linear_layer | 4.39 | 3.95 | 4.63 | 31 |
| 109 | mla_prep_layer | 13.17 | 12.60 | 14.11 | 31 |
| 110 | mla_attend_layer | 149.49 | 146.00 | 152.80 | 31 |
| 111 | mla_merge_uv_layer | 60.68 | 60.44 | 60.88 | 31 |
| 112 | linear_with_residual_layer | 23.38 | 22.96 | 23.72 | 31 |
| 113 | rmsnorm_layer | 13.54 | 12.88 | 14.04 | 31 |
| 114 | moe_router_layer | 3.84 | 3.68 | 4.16 | 31 |
| 115 | gang_moe_w13_linear_layer | 23.26 | 22.00 | 24.24 | 31 |
| 116 | moe_silu_mul_layer | 40.22 | 38.99 | 42.40 | 31 |
| 117 | gang_moe_w2_linear_layer | 5.20 | 4.00 | 6.84 | 31 |
| 118 | moe_mul_sum_add_layer | 23.30 | 20.64 | 25.68 | 31 |
| 119 | rmsnorm_layer | 5.17 | 4.59 | 6.72 | 31 |
| 120 | linear_layer | 4.34 | 4.00 | 5.01 | 31 |
| 121 | mla_prep_layer | 13.68 | 12.80 | 14.04 | 31 |
| 122 | mla_attend_layer | 149.99 | 146.80 | 152.60 | 31 |
| 123 | mla_merge_uv_layer | 60.82 | 60.60 | 61.08 | 31 |
| 124 | linear_with_residual_layer | 23.33 | 23.08 | 23.90 | 31 |
| 125 | rmsnorm_layer | 13.28 | 12.44 | 14.08 | 31 |
| 126 | moe_router_layer | 4.08 | 3.90 | 4.34 | 31 |
| 127 | gang_moe_w13_linear_layer | 22.88 | 21.41 | 24.13 | 31 |
| 128 | moe_silu_mul_layer | 40.20 | 38.47 | 41.75 | 31 |
| 129 | gang_moe_w2_linear_layer | 5.34 | 4.08 | 9.00 | 31 |
| 130 | moe_mul_sum_add_layer | 22.63 | 20.84 | 26.32 | 31 |
| 131 | rmsnorm_layer | 5.42 | 4.72 | 6.72 | 31 |
| 132 | linear_layer | 4.03 | 3.69 | 4.57 | 31 |
| 133 | mla_prep_layer | 13.71 | 13.07 | 14.19 | 31 |
| 134 | mla_attend_layer | 149.31 | 146.56 | 152.52 | 31 |
| 135 | mla_merge_uv_layer | 59.93 | 59.57 | 60.21 | 31 |
| 136 | linear_with_residual_layer | 23.44 | 23.13 | 23.87 | 31 |
| 137 | rmsnorm_layer | 13.56 | 12.92 | 16.20 | 31 |
| 138 | moe_router_layer | 3.83 | 3.68 | 4.00 | 31 |
| 139 | gang_moe_w13_linear_layer | 22.41 | 21.88 | 24.28 | 31 |
| 140 | moe_silu_mul_layer | 41.15 | 39.20 | 42.64 | 31 |
| 141 | gang_moe_w2_linear_layer | 4.93 | 3.84 | 9.24 | 31 |
| 142 | moe_mul_sum_add_layer | 22.56 | 21.00 | 23.68 | 31 |
| 143 | rmsnorm_layer | 4.56 | 4.03 | 7.18 | 31 |
| 144 | linear_layer | 4.10 | 4.00 | 4.41 | 31 |
| 145 | mla_prep_layer | 13.69 | 13.44 | 14.12 | 31 |
| 146 | mla_attend_layer | 150.03 | 146.96 | 153.32 | 31 |
| 147 | mla_merge_uv_layer | 59.81 | 59.53 | 60.17 | 31 |
| 148 | linear_with_residual_layer | 23.38 | 23.03 | 24.61 | 31 |
| 149 | rmsnorm_layer | 13.75 | 12.83 | 16.21 | 31 |
| 150 | moe_router_layer | 3.99 | 3.82 | 4.15 | 31 |
| 151 | gang_moe_w13_linear_layer | 22.91 | 21.53 | 24.13 | 31 |
| 152 | moe_silu_mul_layer | 40.50 | 38.81 | 42.25 | 31 |
| 153 | gang_moe_w2_linear_layer | 5.30 | 4.12 | 6.60 | 31 |
| 154 | moe_mul_sum_add_layer | 22.17 | 20.29 | 24.23 | 31 |
| 155 | rmsnorm_layer | 4.92 | 4.68 | 5.12 | 31 |
| 156 | linear_layer | 4.02 | 3.53 | 4.63 | 31 |
| 157 | mla_prep_layer | 13.35 | 12.74 | 13.83 | 31 |
| 158 | mla_attend_layer | 149.48 | 146.90 | 152.24 | 31 |
| 159 | mla_merge_uv_layer | 60.16 | 59.75 | 60.35 | 31 |
| 160 | linear_with_residual_layer | 23.37 | 23.09 | 23.73 | 31 |
| 161 | rmsnorm_layer | 13.51 | 13.00 | 14.12 | 31 |
| 162 | moe_router_layer | 3.91 | 3.76 | 4.12 | 31 |
| 163 | gang_moe_w13_linear_layer | 23.86 | 21.88 | 24.12 | 31 |
| 164 | moe_silu_mul_layer | 39.49 | 38.51 | 41.68 | 31 |
| 165 | gang_moe_w2_linear_layer | 5.62 | 4.18 | 6.56 | 31 |
| 166 | moe_mul_sum_add_layer | 22.13 | 20.96 | 24.44 | 31 |
| 167 | rmsnorm_layer | 5.00 | 4.52 | 6.67 | 31 |
| 168 | linear_layer | 4.21 | 3.92 | 4.64 | 31 |
| 169 | mla_prep_layer | 13.57 | 13.12 | 14.00 | 31 |
| 170 | mla_attend_layer | 149.89 | 146.88 | 152.92 | 31 |
| 171 | mla_merge_uv_layer | 60.26 | 60.04 | 60.40 | 31 |
| 172 | linear_with_residual_layer | 23.35 | 23.00 | 24.55 | 31 |
| 173 | rmsnorm_layer | 13.81 | 12.88 | 17.60 | 31 |
| 174 | moe_router_layer | 4.08 | 3.94 | 4.32 | 31 |
| 175 | gang_moe_w13_linear_layer | 22.70 | 21.81 | 24.29 | 31 |
| 176 | moe_silu_mul_layer | 40.79 | 39.41 | 42.37 | 31 |
| 177 | gang_moe_w2_linear_layer | 5.01 | 3.95 | 6.40 | 31 |
| 178 | moe_mul_sum_add_layer | 22.60 | 20.88 | 25.88 | 31 |
| 179 | rmsnorm_layer | 5.32 | 4.16 | 7.54 | 31 |
| 180 | linear_layer | 3.88 | 3.53 | 4.56 | 31 |
| 181 | mla_prep_layer | 13.61 | 13.03 | 14.15 | 31 |
| 182 | mla_attend_layer | 149.74 | 146.64 | 152.94 | 31 |
| 183 | mla_merge_uv_layer | 60.23 | 59.88 | 60.48 | 31 |
| 184 | linear_with_residual_layer | 23.33 | 22.92 | 23.87 | 31 |
| 185 | rmsnorm_layer | 13.94 | 12.72 | 16.38 | 31 |
| 186 | moe_router_layer | 3.94 | 3.76 | 4.44 | 31 |
| 187 | gang_moe_w13_linear_layer | 23.90 | 22.04 | 24.48 | 31 |
| 188 | moe_silu_mul_layer | 42.48 | 38.60 | 47.48 | 31 |
| 189 | gang_moe_w2_linear_layer | 4.78 | 3.99 | 6.53 | 31 |
| 190 | moe_mul_sum_add_layer | 22.82 | 19.88 | 25.12 | 31 |
| 191 | rmsnorm_layer | 5.24 | 4.07 | 7.12 | 31 |
| 192 | linear_layer | 4.13 | 3.92 | 4.80 | 31 |
| 193 | mla_prep_layer | 13.70 | 13.08 | 14.12 | 31 |
| 194 | mla_attend_layer | 149.68 | 146.64 | 152.90 | 31 |
| 195 | mla_merge_uv_layer | 60.13 | 59.76 | 60.39 | 31 |
| 196 | linear_with_residual_layer | 23.42 | 22.70 | 25.11 | 31 |
| 197 | rmsnorm_layer | 13.68 | 13.02 | 15.13 | 31 |
| 198 | moe_router_layer | 4.07 | 3.94 | 4.26 | 31 |
| 199 | gang_moe_w13_linear_layer | 22.53 | 21.49 | 24.61 | 31 |
| 200 | moe_silu_mul_layer | 41.75 | 39.21 | 45.55 | 31 |
| 201 | gang_moe_w2_linear_layer | 5.44 | 3.98 | 7.98 | 31 |
| 202 | moe_mul_sum_add_layer | 23.12 | 20.56 | 26.80 | 31 |
| 203 | rmsnorm_layer | 5.08 | 4.52 | 7.46 | 31 |
| 204 | linear_layer | 4.26 | 3.61 | 4.58 | 31 |
| 205 | mla_prep_layer | 13.15 | 12.63 | 14.03 | 31 |
| 206 | mla_attend_layer | 150.02 | 146.88 | 152.92 | 31 |
| 207 | mla_merge_uv_layer | 59.91 | 59.47 | 60.19 | 31 |
| 208 | linear_with_residual_layer | 23.41 | 23.09 | 23.80 | 31 |
| 209 | rmsnorm_layer | 13.46 | 12.72 | 14.08 | 31 |
| 210 | moe_router_layer | 3.88 | 3.80 | 4.12 | 31 |
| 211 | gang_moe_w13_linear_layer | 23.03 | 21.64 | 24.24 | 31 |
| 212 | moe_silu_mul_layer | 40.68 | 38.52 | 44.25 | 31 |
| 213 | gang_moe_w2_linear_layer | 5.41 | 4.08 | 7.53 | 31 |
| 214 | moe_mul_sum_add_layer | 22.46 | 20.59 | 24.80 | 31 |
| 215 | rmsnorm_layer | 5.26 | 4.68 | 6.76 | 31 |
| 216 | linear_layer | 4.26 | 3.96 | 4.88 | 31 |
| 217 | mla_prep_layer | 13.64 | 12.88 | 14.11 | 31 |
| 218 | mla_attend_layer | 149.71 | 146.77 | 152.64 | 31 |
| 219 | mla_merge_uv_layer | 60.19 | 59.96 | 60.52 | 31 |
| 220 | linear_with_residual_layer | 23.33 | 22.70 | 25.93 | 31 |
| 221 | rmsnorm_layer | 13.97 | 13.10 | 16.70 | 31 |
| 222 | moe_router_layer | 4.10 | 3.94 | 4.30 | 31 |
| 223 | gang_moe_w13_linear_layer | 22.95 | 21.89 | 25.09 | 31 |
| 224 | moe_silu_mul_layer | 40.97 | 39.29 | 44.26 | 31 |
| 225 | gang_moe_w2_linear_layer | 5.27 | 3.91 | 7.22 | 31 |
| 226 | moe_mul_sum_add_layer | 22.46 | 20.97 | 23.85 | 31 |
| 227 | rmsnorm_layer | 5.05 | 4.68 | 6.09 | 31 |
| 228 | linear_layer | 4.16 | 3.69 | 4.60 | 31 |
| 229 | mla_prep_layer | 13.49 | 12.93 | 14.31 | 31 |
| 230 | mla_attend_layer | 149.72 | 146.40 | 152.50 | 31 |
| 231 | mla_merge_uv_layer | 60.26 | 59.92 | 60.52 | 31 |
| 232 | linear_with_residual_layer | 23.85 | 23.04 | 25.06 | 31 |
| 233 | rmsnorm_layer | 13.56 | 12.92 | 15.68 | 31 |
| 234 | moe_router_layer | 3.90 | 3.72 | 4.20 | 31 |
| 235 | gang_moe_w13_linear_layer | 21.81 | 21.60 | 23.52 | 31 |
| 236 | moe_silu_mul_layer | 41.99 | 40.96 | 45.48 | 31 |
| 237 | gang_moe_w2_linear_layer | 5.00 | 3.88 | 6.76 | 31 |
| 238 | moe_mul_sum_add_layer | 22.47 | 20.24 | 24.59 | 31 |
| 239 | rmsnorm_layer | 4.96 | 4.00 | 7.60 | 31 |
| 240 | linear_layer | 4.53 | 3.96 | 4.89 | 31 |
| 241 | mla_prep_layer | 13.29 | 12.84 | 14.14 | 31 |
| 242 | mla_attend_layer | 149.73 | 146.82 | 152.12 | 31 |
| 243 | mla_merge_uv_layer | 60.07 | 59.75 | 60.36 | 31 |
| 244 | linear_with_residual_layer | 23.33 | 22.66 | 25.39 | 31 |
| 245 | rmsnorm_layer | 13.48 | 12.90 | 13.96 | 31 |
| 246 | moe_router_layer | 4.05 | 3.86 | 4.28 | 31 |
| 247 | gang_moe_w13_linear_layer | 23.57 | 21.69 | 24.57 | 31 |
| 248 | moe_silu_mul_layer | 39.82 | 38.61 | 43.29 | 31 |
| 249 | gang_moe_w2_linear_layer | 5.24 | 4.04 | 6.84 | 31 |
| 250 | moe_mul_sum_add_layer | 22.69 | 20.60 | 26.56 | 31 |
| 251 | rmsnorm_layer | 5.39 | 4.67 | 6.35 | 31 |
| 252 | linear_layer | 4.38 | 3.77 | 4.77 | 31 |
| 253 | mla_prep_layer | 13.06 | 12.38 | 13.79 | 31 |
| 254 | mla_attend_layer | 149.81 | 146.24 | 152.45 | 31 |
| 255 | mla_merge_uv_layer | 59.93 | 59.71 | 60.19 | 31 |
| 256 | linear_with_residual_layer | 23.28 | 23.05 | 23.57 | 31 |
| 257 | rmsnorm_layer | 14.01 | 12.80 | 17.64 | 31 |
| 258 | moe_router_layer | 3.87 | 3.76 | 4.16 | 31 |
| 259 | gang_moe_w13_linear_layer | 22.39 | 21.80 | 24.52 | 31 |
| 260 | moe_silu_mul_layer | 41.03 | 39.31 | 43.64 | 31 |
| 261 | gang_moe_w2_linear_layer | 5.10 | 3.76 | 6.61 | 31 |
| 262 | moe_mul_sum_add_layer | 22.59 | 20.68 | 26.08 | 31 |
| 263 | rmsnorm_layer | 5.02 | 4.64 | 6.24 | 31 |
| 264 | linear_layer | 4.23 | 3.92 | 4.62 | 31 |
| 265 | mla_prep_layer | 13.61 | 13.20 | 13.96 | 31 |
| 266 | mla_attend_layer | 149.72 | 146.44 | 152.80 | 31 |
| 267 | mla_merge_uv_layer | 60.72 | 60.24 | 60.96 | 31 |
| 268 | linear_with_residual_layer | 23.23 | 22.58 | 24.88 | 31 |
| 269 | rmsnorm_layer | 14.15 | 12.76 | 17.40 | 31 |
| 270 | moe_router_layer | 4.04 | 3.90 | 4.16 | 31 |
| 271 | gang_moe_w13_linear_layer | 22.48 | 21.37 | 23.93 | 31 |
| 272 | moe_silu_mul_layer | 40.64 | 38.60 | 42.05 | 31 |
| 273 | gang_moe_w2_linear_layer | 5.18 | 3.88 | 6.57 | 31 |
| 274 | moe_mul_sum_add_layer | 22.26 | 20.56 | 24.39 | 31 |
| 275 | rmsnorm_layer | 5.14 | 4.63 | 6.75 | 31 |
| 276 | linear_layer | 4.16 | 3.73 | 4.62 | 31 |
| 277 | mla_prep_layer | 13.44 | 12.84 | 14.03 | 31 |
| 278 | mla_attend_layer | 149.75 | 146.73 | 152.39 | 31 |
| 279 | mla_merge_uv_layer | 60.16 | 59.76 | 60.40 | 31 |
| 280 | linear_with_residual_layer | 23.47 | 22.94 | 24.99 | 31 |
| 281 | rmsnorm_layer | 13.47 | 12.64 | 14.95 | 31 |
| 282 | moe_router_layer | 3.83 | 3.72 | 3.97 | 31 |
| 283 | gang_moe_w13_linear_layer | 22.73 | 21.96 | 25.96 | 31 |
| 284 | moe_silu_mul_layer | 40.98 | 39.08 | 42.52 | 31 |
| 285 | gang_moe_w2_linear_layer | 5.88 | 3.83 | 6.60 | 31 |
| 286 | moe_mul_sum_add_layer | 21.46 | 20.23 | 23.52 | 31 |
| 287 | rmsnorm_layer | 4.45 | 4.12 | 5.76 | 31 |
| 288 | linear_layer | 4.17 | 3.96 | 4.80 | 31 |
| 289 | mla_prep_layer | 13.64 | 12.88 | 14.20 | 31 |
| 290 | mla_attend_layer | 149.71 | 146.92 | 152.56 | 31 |
| 291 | mla_merge_uv_layer | 60.65 | 60.20 | 61.04 | 31 |
| 292 | linear_with_residual_layer | 23.18 | 22.66 | 23.66 | 31 |
| 293 | rmsnorm_layer | 13.40 | 12.86 | 15.38 | 31 |
| 294 | moe_router_layer | 3.98 | 3.86 | 4.24 | 31 |
| 295 | gang_moe_w13_linear_layer | 22.71 | 21.21 | 23.69 | 31 |
| 296 | moe_silu_mul_layer | 40.18 | 38.51 | 42.61 | 31 |
| 297 | gang_moe_w2_linear_layer | 6.01 | 4.05 | 8.05 | 31 |
| 298 | moe_mul_sum_add_layer | 21.94 | 20.37 | 24.92 | 31 |
| 299 | rmsnorm_layer | 4.93 | 4.64 | 6.32 | 31 |
| 300 | linear_layer | 4.01 | 3.73 | 4.49 | 31 |
| 301 | mla_prep_layer | 13.40 | 12.72 | 13.83 | 31 |
| 302 | mla_attend_layer | 150.11 | 146.84 | 153.04 | 31 |
| 303 | mla_merge_uv_layer | 60.35 | 59.96 | 60.72 | 31 |
| 304 | linear_with_residual_layer | 23.48 | 22.84 | 25.60 | 31 |
| 305 | rmsnorm_layer | 13.78 | 12.60 | 16.16 | 31 |
| 306 | moe_router_layer | 3.83 | 3.72 | 4.00 | 31 |
| 307 | gang_moe_w13_linear_layer | 22.53 | 21.88 | 23.68 | 31 |
| 308 | moe_silu_mul_layer | 40.94 | 39.28 | 42.19 | 31 |
| 309 | gang_moe_w2_linear_layer | 5.59 | 3.92 | 8.68 | 31 |
| 310 | moe_mul_sum_add_layer | 22.13 | 20.96 | 24.12 | 31 |
| 311 | rmsnorm_layer | 5.13 | 4.60 | 6.65 | 31 |
| 312 | linear_layer | 4.18 | 4.04 | 4.91 | 31 |
| 313 | mla_prep_layer | 13.65 | 12.96 | 14.00 | 31 |
| 314 | mla_attend_layer | 149.90 | 146.91 | 152.88 | 31 |
| 315 | mla_merge_uv_layer | 60.12 | 59.72 | 60.48 | 31 |
| 316 | linear_with_residual_layer | 23.30 | 22.86 | 23.99 | 31 |
| 317 | rmsnorm_layer | 13.47 | 12.86 | 15.18 | 31 |
| 318 | moe_router_layer | 4.03 | 3.86 | 4.26 | 31 |
| 319 | gang_moe_w13_linear_layer | 23.03 | 21.41 | 23.97 | 31 |
