# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4578.2 |
| time per iteration from host wall clock (us) |  | 6395.7 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2102 / 2103 over 59 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 200.52 | 104.12 | 297.36 | 29 |
| 2 | embed_layer | 12.93 | 11.81 | 14.29 | 30 |
| 3 | linear_norm_layer | 28.05 | 25.64 | 31.40 | 30 |
| 4 | mla_prep_layer | 10.38 | 10.08 | 10.71 | 30 |
| 5 | mla_attend_layer | 11.81 | 11.36 | 12.32 | 30 |
| 6 | mla_merge_uv_layer | 17.33 | 16.62 | 19.16 | 30 |
| 7 | linear_with_residual_layer | 13.04 | 12.17 | 14.96 | 30 |
| 8 | rmsnorm_layer | 4.18 | 3.28 | 4.93 | 30 |
| 9 | gang_linear_silu_layer | 32.97 | 32.00 | 34.74 | 30 |
| 10 | linear_with_residual_layer | 50.97 | 49.42 | 52.48 | 30 |
| 11 | linear_norm_layer | 13.76 | 13.17 | 14.42 | 30 |
| 12 | mla_prep_layer | 10.63 | 10.00 | 11.10 | 30 |
| 13 | mla_attend_layer | 11.79 | 11.22 | 12.20 | 30 |
| 14 | mla_merge_uv_layer | 17.41 | 16.59 | 19.56 | 30 |
| 15 | linear_with_residual_layer | 13.19 | 11.48 | 15.60 | 30 |
| 16 | moe_router_layer | 18.61 | 18.19 | 19.86 | 30 |
| 17 | gang_moe_w13_linear_layer | 42.66 | 40.74 | 45.22 | 30 |
| 18 | gang_moe_w2_silu_linear_layer | 23.02 | 21.60 | 25.06 | 30 |
| 19 | moe_mul_sum_add_layer | 4.74 | 4.00 | 5.52 | 30 |
| 20 | linear_norm_layer | 14.13 | 13.55 | 14.76 | 30 |
| 21 | mla_prep_layer | 10.79 | 10.49 | 11.21 | 30 |
| 22 | mla_attend_layer | 12.08 | 11.50 | 12.53 | 30 |
| 23 | mla_merge_uv_layer | 17.42 | 16.71 | 17.70 | 30 |
| 24 | linear_with_residual_layer | 12.71 | 11.98 | 13.87 | 30 |
| 25 | moe_router_layer | 18.86 | 17.71 | 20.25 | 30 |
| 26 | gang_moe_w13_linear_layer | 41.36 | 38.66 | 43.81 | 30 |
| 27 | gang_moe_w2_silu_linear_layer | 24.10 | 21.76 | 26.74 | 30 |
| 28 | moe_mul_sum_add_layer | 4.71 | 3.98 | 5.31 | 30 |
| 29 | linear_norm_layer | 14.02 | 13.24 | 14.80 | 30 |
| 30 | mla_prep_layer | 10.38 | 10.01 | 10.75 | 30 |
| 31 | mla_attend_layer | 11.94 | 11.69 | 12.23 | 30 |
| 32 | mla_merge_uv_layer | 17.02 | 16.34 | 19.65 | 30 |
| 33 | linear_with_residual_layer | 12.57 | 12.04 | 13.08 | 30 |
| 34 | moe_router_layer | 19.60 | 17.61 | 20.28 | 30 |
| 35 | gang_moe_w13_linear_layer | 41.61 | 38.49 | 45.47 | 30 |
| 36 | gang_moe_w2_silu_linear_layer | 23.21 | 20.81 | 26.68 | 30 |
| 37 | moe_mul_sum_add_layer | 4.82 | 4.15 | 7.39 | 30 |
| 38 | linear_norm_layer | 14.22 | 13.68 | 14.74 | 30 |
| 39 | mla_prep_layer | 10.41 | 10.06 | 10.84 | 30 |
| 40 | mla_attend_layer | 12.00 | 11.26 | 12.44 | 30 |
| 41 | mla_merge_uv_layer | 17.23 | 16.74 | 19.66 | 30 |
| 42 | linear_with_residual_layer | 13.04 | 12.10 | 15.39 | 30 |
| 43 | moe_router_layer | 20.24 | 18.20 | 20.82 | 30 |
| 44 | gang_moe_w13_linear_layer | 43.28 | 39.32 | 47.00 | 30 |
| 45 | gang_moe_w2_silu_linear_layer | 22.40 | 21.31 | 24.18 | 30 |
| 46 | moe_mul_sum_add_layer | 5.07 | 4.22 | 5.55 | 30 |
| 47 | linear_norm_layer | 13.89 | 13.20 | 14.66 | 30 |
| 48 | mla_prep_layer | 10.26 | 9.97 | 11.02 | 30 |
| 49 | mla_attend_layer | 11.75 | 11.30 | 12.44 | 30 |
| 50 | mla_merge_uv_layer | 17.03 | 16.54 | 19.97 | 30 |
| 51 | linear_with_residual_layer | 12.79 | 12.20 | 15.42 | 30 |
| 52 | moe_router_layer | 18.61 | 18.16 | 20.44 | 30 |
| 53 | gang_moe_w13_linear_layer | 43.49 | 39.68 | 46.02 | 30 |
| 54 | gang_moe_w2_silu_linear_layer | 23.01 | 21.65 | 25.72 | 30 |
| 55 | moe_mul_sum_add_layer | 5.12 | 4.32 | 9.12 | 30 |
| 56 | linear_norm_layer | 14.01 | 13.28 | 14.67 | 30 |
| 57 | mla_prep_layer | 10.65 | 10.30 | 11.10 | 30 |
| 58 | mla_attend_layer | 12.00 | 11.47 | 12.35 | 30 |
| 59 | mla_merge_uv_layer | 17.17 | 16.53 | 19.14 | 30 |
| 60 | linear_with_residual_layer | 12.95 | 11.75 | 16.36 | 30 |
| 61 | moe_router_layer | 19.03 | 17.85 | 20.54 | 30 |
| 62 | gang_moe_w13_linear_layer | 41.75 | 38.75 | 44.49 | 30 |
| 63 | gang_moe_w2_silu_linear_layer | 22.52 | 21.45 | 24.19 | 30 |
| 64 | moe_mul_sum_add_layer | 5.00 | 4.04 | 6.21 | 30 |
| 65 | linear_norm_layer | 14.17 | 13.62 | 14.88 | 30 |
| 66 | mla_prep_layer | 10.34 | 10.05 | 10.89 | 30 |
| 67 | mla_attend_layer | 12.13 | 11.47 | 12.51 | 30 |
| 68 | mla_merge_uv_layer | 17.07 | 16.50 | 19.23 | 30 |
| 69 | linear_with_residual_layer | 12.74 | 12.00 | 15.36 | 30 |
| 70 | moe_router_layer | 19.03 | 17.57 | 20.37 | 30 |
| 71 | gang_moe_w13_linear_layer | 41.39 | 38.58 | 45.51 | 30 |
| 72 | gang_moe_w2_silu_linear_layer | 22.93 | 21.38 | 25.96 | 30 |
| 73 | moe_mul_sum_add_layer | 5.15 | 3.97 | 6.49 | 30 |
| 74 | linear_norm_layer | 14.10 | 13.48 | 14.71 | 30 |
| 75 | mla_prep_layer | 10.46 | 10.14 | 10.96 | 30 |
| 76 | mla_attend_layer | 11.64 | 11.18 | 12.24 | 30 |
| 77 | mla_merge_uv_layer | 16.96 | 16.63 | 17.32 | 30 |
