# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | 8953.0 |
| time per iteration, P95 (us) |  | 8993.5 |
| time per iteration from event timing, median (us) |  | 8952.8 |
| time per iteration from host wall clock (us) |  | 78862.6 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | 111.7 |
| workers with tasks (of those reporting) |  | 296 of 296 |
| tasks per XCD (placement) |  | 0:89761 1:89760 2:89760 3:89760 4:89791 5:89760 6:89760 7:89760 |
| shader clock from the spin (MHz) |  | - |
| exec cycles per task, busy workers |  | 35247.0 |
| exec us per task (at the spin's SCLK) |  | - |
| dep-wait us per iteration per busy worker |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2102 / 2103 over 50 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Exec time per task by class (worker timing, I1)

| Class | tasks | cycles per task | us per task |
|---|---|---|---|
| attend | 31968 | 16275 | - |
| linear | 101376 | 34986 | - |
| linear_res | 57344 | 24079 | - |
| merge | 12960 | 40567 | - |
| prep | 864 | 313472 | - |
| rms | 1760 | 3496 | - |
| router | 555 | 41157 | - |
| silu | 6656 | 2445 | - |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
| 63 | mla_merge_uv_layer | 12.23 | 11.84 | 12.64 | 31 |
| 64 | linear_with_residual_layer | 23.69 | 22.68 | 24.40 | 31 |
| 65 | rmsnorm_layer | 13.44 | 12.74 | 14.16 | 31 |
| 66 | moe_router_layer | 4.19 | 3.92 | 4.36 | 31 |
| 67 | gang_moe_w13_linear_layer | 23.10 | 22.25 | 27.73 | 31 |
| 68 | moe_silu_mul_layer | 41.94 | 39.79 | 43.47 | 31 |
| 69 | gang_moe_w2_linear_layer | 5.66 | 4.16 | 6.76 | 31 |
| 70 | moe_mul_sum_add_layer | 22.33 | 21.23 | 23.84 | 31 |
| 71 | rmsnorm_layer | 4.94 | 4.56 | 5.60 | 31 |
| 72 | linear_layer | 4.30 | 3.82 | 4.75 | 31 |
| 73 | mla_prep_layer | 13.51 | 13.02 | 14.19 | 31 |
| 74 | mla_attend_layer | 150.35 | 147.88 | 153.45 | 31 |
| 75 | mla_merge_uv_layer | 12.59 | 12.09 | 15.88 | 31 |
| 76 | linear_with_residual_layer | 26.00 | 24.04 | 27.19 | 31 |
| 77 | rmsnorm_layer | 13.39 | 12.78 | 14.12 | 31 |
| 78 | moe_router_layer | 3.67 | 3.44 | 4.00 | 31 |
| 79 | gang_moe_w13_linear_layer | 23.78 | 22.03 | 28.07 | 31 |
| 80 | moe_silu_mul_layer | 39.85 | 38.73 | 41.62 | 31 |
| 81 | gang_moe_w2_linear_layer | 6.02 | 4.21 | 7.61 | 31 |
| 82 | moe_mul_sum_add_layer | 22.09 | 20.75 | 24.18 | 31 |
| 83 | rmsnorm_layer | 4.99 | 4.64 | 5.44 | 31 |
| 84 | linear_layer | 4.29 | 3.87 | 4.91 | 31 |
| 85 | mla_prep_layer | 13.52 | 12.92 | 14.05 | 31 |
| 86 | mla_attend_layer | 150.00 | 146.64 | 157.93 | 31 |
| 87 | mla_merge_uv_layer | 12.37 | 11.86 | 12.72 | 31 |
| 88 | linear_with_residual_layer | 23.73 | 23.19 | 24.28 | 31 |
| 89 | rmsnorm_layer | 13.41 | 12.57 | 14.16 | 31 |
| 90 | moe_router_layer | 4.16 | 4.00 | 4.36 | 31 |
| 91 | gang_moe_w13_linear_layer | 22.53 | 21.57 | 27.13 | 31 |
| 92 | moe_silu_mul_layer | 40.89 | 39.19 | 44.19 | 31 |
| 93 | gang_moe_w2_linear_layer | 5.71 | 4.10 | 6.92 | 31 |
| 94 | moe_mul_sum_add_layer | 22.01 | 20.73 | 24.12 | 31 |
| 95 | rmsnorm_layer | 4.18 | 4.02 | 4.53 | 31 |
| 96 | linear_layer | 4.23 | 3.81 | 4.70 | 31 |
| 97 | mla_prep_layer | 13.54 | 12.96 | 14.21 | 31 |
| 98 | mla_attend_layer | 150.52 | 146.21 | 153.15 | 31 |
| 99 | mla_merge_uv_layer | 12.66 | 12.01 | 13.29 | 31 |
| 100 | linear_with_residual_layer | 23.79 | 23.15 | 25.17 | 31 |
| 101 | rmsnorm_layer | 13.37 | 12.84 | 14.20 | 31 |
| 102 | moe_router_layer | 3.66 | 3.48 | 3.88 | 31 |
| 103 | gang_moe_w13_linear_layer | 23.12 | 21.31 | 24.23 | 31 |
| 104 | moe_silu_mul_layer | 42.38 | 38.81 | 47.80 | 31 |
| 105 | gang_moe_w2_linear_layer | 5.72 | 4.14 | 6.58 | 31 |
| 106 | moe_mul_sum_add_layer | 21.56 | 20.24 | 23.07 | 31 |
| 107 | rmsnorm_layer | 5.18 | 4.67 | 7.29 | 31 |
| 108 | linear_layer | 4.40 | 3.91 | 4.79 | 31 |
| 109 | mla_prep_layer | 13.33 | 12.73 | 13.89 | 31 |
| 110 | mla_attend_layer | 150.02 | 147.14 | 152.81 | 31 |
| 111 | mla_merge_uv_layer | 12.29 | 11.94 | 12.64 | 31 |
| 112 | linear_with_residual_layer | 24.04 | 22.82 | 26.92 | 31 |
| 113 | rmsnorm_layer | 13.54 | 13.14 | 14.24 | 31 |
