# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | - |
| time per iteration, P95 (us) |  | - |
| time per iteration from event timing, median (us) |  | 4997.1 |
| time per iteration from host wall clock (us) |  | 6638.7 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2103 / 2104 over 57 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
|---|---|---|---|---|---|
| 1 | iteration_start | 198.15 | 104.52 | 280.68 | 29 |
| 2 | embed_layer | 14.17 | 12.97 | 15.49 | 30 |
| 3 | linear_norm_layer | 31.05 | 28.31 | 33.72 | 30 |
| 4 | mla_prep_layer | 10.40 | 10.11 | 10.77 | 30 |
| 5 | mla_attend_layer | 12.17 | 11.52 | 14.16 | 30 |
| 6 | mla_merge_uv_layer | 24.86 | 22.88 | 26.20 | 30 |
| 7 | linear_with_residual_layer | 12.84 | 12.13 | 13.36 | 30 |
| 8 | rmsnorm_layer | 4.83 | 3.95 | 5.44 | 30 |
| 9 | gang_linear_silu_layer | 35.08 | 33.51 | 36.36 | 30 |
| 10 | linear_with_residual_layer | 51.07 | 49.71 | 53.24 | 30 |
| 11 | linear_norm_layer | 18.78 | 17.95 | 19.54 | 30 |
| 12 | mla_prep_layer | 10.32 | 9.68 | 11.08 | 30 |
| 13 | mla_attend_layer | 11.73 | 11.14 | 12.29 | 30 |
| 14 | mla_merge_uv_layer | 23.46 | 22.69 | 24.56 | 30 |
| 15 | linear_with_residual_layer | 12.48 | 11.57 | 15.40 | 30 |
| 16 | moe_router_layer | 23.99 | 22.52 | 25.62 | 30 |
| 17 | gang_moe_w13_linear_layer | 41.31 | 38.64 | 44.36 | 30 |
| 18 | gang_moe_w2_silu_linear_layer | 23.42 | 21.39 | 25.69 | 30 |
| 19 | moe_mul_sum_add_layer | 5.01 | 4.33 | 5.69 | 30 |
| 20 | linear_norm_layer | 18.64 | 18.12 | 19.55 | 30 |
| 21 | mla_prep_layer | 10.12 | 9.77 | 10.42 | 30 |
| 22 | mla_attend_layer | 12.12 | 11.73 | 12.49 | 30 |
| 23 | mla_merge_uv_layer | 23.65 | 23.06 | 25.58 | 30 |
| 24 | linear_with_residual_layer | 12.86 | 12.32 | 15.76 | 30 |
| 25 | moe_router_layer | 24.26 | 21.95 | 25.52 | 30 |
| 26 | gang_moe_w13_linear_layer | 40.89 | 38.21 | 44.08 | 30 |
| 27 | gang_moe_w2_silu_linear_layer | 23.56 | 21.43 | 26.12 | 30 |
| 28 | moe_mul_sum_add_layer | 5.04 | 4.19 | 6.43 | 30 |
| 29 | linear_norm_layer | 19.16 | 18.40 | 20.32 | 30 |
| 30 | mla_prep_layer | 10.08 | 9.78 | 11.75 | 30 |
| 31 | mla_attend_layer | 11.63 | 11.11 | 12.81 | 30 |
| 32 | mla_merge_uv_layer | 24.67 | 23.26 | 27.14 | 30 |
| 33 | linear_with_residual_layer | 12.84 | 12.05 | 17.08 | 30 |
| 34 | moe_router_layer | 24.13 | 22.38 | 24.95 | 30 |
| 35 | gang_moe_w13_linear_layer | 41.11 | 38.24 | 45.73 | 30 |
| 36 | gang_moe_w2_silu_linear_layer | 23.27 | 21.78 | 25.89 | 30 |
| 37 | moe_mul_sum_add_layer | 5.14 | 4.64 | 5.69 | 30 |
| 38 | linear_norm_layer | 18.45 | 17.79 | 20.04 | 30 |
| 39 | mla_prep_layer | 10.39 | 9.93 | 10.69 | 30 |
| 40 | mla_attend_layer | 12.14 | 11.87 | 12.58 | 30 |
| 41 | mla_merge_uv_layer | 23.51 | 23.06 | 24.55 | 30 |
| 42 | linear_with_residual_layer | 12.65 | 11.90 | 13.40 | 30 |
| 43 | moe_router_layer | 22.87 | 21.15 | 23.76 | 30 |
| 44 | gang_moe_w13_linear_layer | 43.94 | 40.66 | 46.21 | 30 |
| 45 | gang_moe_w2_silu_linear_layer | 22.99 | 21.75 | 25.96 | 30 |
| 46 | moe_mul_sum_add_layer | 5.29 | 4.46 | 6.83 | 30 |
| 47 | linear_norm_layer | 18.72 | 18.01 | 19.56 | 30 |
| 48 | mla_prep_layer | 9.87 | 9.64 | 10.16 | 30 |
| 49 | mla_attend_layer | 12.54 | 11.80 | 14.10 | 30 |
| 50 | mla_merge_uv_layer | 23.53 | 22.78 | 25.51 | 30 |
| 51 | linear_with_residual_layer | 12.78 | 11.97 | 15.75 | 30 |
| 52 | moe_router_layer | 22.58 | 20.72 | 23.80 | 30 |
| 53 | gang_moe_w13_linear_layer | 41.52 | 38.68 | 43.87 | 30 |
| 54 | gang_moe_w2_silu_linear_layer | 22.96 | 21.87 | 25.00 | 30 |
| 55 | moe_mul_sum_add_layer | 5.07 | 4.28 | 6.61 | 30 |
| 56 | linear_norm_layer | 18.76 | 17.88 | 19.72 | 30 |
| 57 | mla_prep_layer | 10.28 | 9.95 | 10.88 | 30 |
| 58 | mla_attend_layer | 12.16 | 11.53 | 12.57 | 30 |
| 59 | mla_merge_uv_layer | 23.52 | 23.04 | 24.06 | 30 |
| 60 | linear_with_residual_layer | 12.60 | 11.99 | 13.52 | 30 |
| 61 | moe_router_layer | 24.19 | 21.91 | 24.81 | 30 |
| 62 | gang_moe_w13_linear_layer | 40.18 | 38.04 | 43.65 | 30 |
| 63 | gang_moe_w2_silu_linear_layer | 23.55 | 21.26 | 26.12 | 30 |
| 64 | moe_mul_sum_add_layer | 4.95 | 4.26 | 5.52 | 30 |
| 65 | linear_norm_layer | 18.57 | 17.66 | 19.37 | 30 |
| 66 | mla_prep_layer | 10.23 | 9.96 | 10.61 | 30 |
| 67 | mla_attend_layer | 12.34 | 11.99 | 12.67 | 30 |
| 68 | mla_merge_uv_layer | 23.96 | 23.08 | 26.14 | 30 |
| 69 | linear_with_residual_layer | 12.62 | 12.16 | 13.24 | 30 |
| 70 | moe_router_layer | 22.89 | 21.82 | 24.61 | 30 |
| 71 | gang_moe_w13_linear_layer | 41.80 | 38.93 | 43.95 | 30 |
| 72 | gang_moe_w2_silu_linear_layer | 23.23 | 21.78 | 25.04 | 30 |
| 73 | moe_mul_sum_add_layer | 5.26 | 4.55 | 6.12 | 30 |
| 74 | linear_norm_layer | 18.69 | 17.98 | 19.76 | 30 |
| 75 | mla_prep_layer | 10.26 | 9.92 | 10.80 | 30 |
| 76 | mla_attend_layer | 12.14 | 11.62 | 12.60 | 30 |
| 77 | mla_merge_uv_layer | 23.78 | 23.16 | 26.29 | 30 |
| 78 | linear_with_residual_layer | 12.55 | 11.91 | 15.65 | 30 |
| 79 | moe_router_layer | 23.32 | 21.89 | 25.13 | 30 |
| 80 | gang_moe_w13_linear_layer | 43.13 | 39.82 | 47.06 | 30 |
| 81 | gang_moe_w2_silu_linear_layer | 23.56 | 21.74 | 25.60 | 30 |
| 82 | moe_mul_sum_add_layer | 4.92 | 4.12 | 5.82 | 30 |
| 83 | linear_norm_layer | 18.71 | 17.96 | 19.65 | 30 |
| 84 | mla_prep_layer | 10.12 | 9.84 | 10.67 | 30 |
| 85 | mla_attend_layer | 12.37 | 12.09 | 12.56 | 30 |
| 86 | mla_merge_uv_layer | 23.73 | 22.70 | 27.20 | 30 |
| 87 | linear_with_residual_layer | 12.87 | 12.33 | 14.76 | 30 |
| 88 | moe_router_layer | 22.74 | 21.87 | 24.56 | 30 |
| 89 | gang_moe_w13_linear_layer | 44.89 | 40.84 | 49.31 | 30 |
| 90 | gang_moe_w2_silu_linear_layer | 23.32 | 21.88 | 27.08 | 30 |
| 91 | moe_mul_sum_add_layer | 5.11 | 4.39 | 8.18 | 30 |
| 92 | linear_norm_layer | 18.60 | 17.99 | 19.42 | 30 |
| 93 | mla_prep_layer | 10.12 | 9.76 | 10.41 | 30 |
| 94 | mla_attend_layer | 11.96 | 11.48 | 12.35 | 30 |
| 95 | mla_merge_uv_layer | 23.69 | 23.03 | 25.14 | 30 |
| 96 | linear_with_residual_layer | 12.64 | 12.09 | 13.40 | 30 |
| 97 | moe_router_layer | 23.38 | 22.41 | 25.03 | 30 |
| 98 | gang_moe_w13_linear_layer | 41.76 | 39.04 | 43.41 | 30 |
| 99 | gang_moe_w2_silu_linear_layer | 23.67 | 21.86 | 27.84 | 30 |
| 100 | moe_mul_sum_add_layer | 4.95 | 4.42 | 6.13 | 30 |
| 101 | linear_norm_layer | 18.74 | 17.96 | 20.04 | 30 |
| 102 | mla_prep_layer | 9.78 | 9.30 | 10.22 | 30 |
| 103 | mla_attend_layer | 12.08 | 11.26 | 13.44 | 30 |
| 104 | mla_merge_uv_layer | 24.66 | 23.35 | 27.28 | 30 |
| 105 | linear_with_residual_layer | 12.85 | 12.05 | 15.18 | 30 |
| 106 | moe_router_layer | 22.92 | 21.54 | 24.15 | 30 |
| 107 | gang_moe_w13_linear_layer | 44.37 | 41.04 | 50.09 | 30 |
| 108 | gang_moe_w2_silu_linear_layer | 23.04 | 21.30 | 25.50 | 30 |
| 109 | moe_mul_sum_add_layer | 5.01 | 3.97 | 6.85 | 30 |
| 110 | linear_norm_layer | 18.56 | 17.70 | 19.36 | 30 |
| 111 | mla_prep_layer | 10.13 | 9.82 | 10.36 | 30 |
| 112 | mla_attend_layer | 12.19 | 11.56 | 12.58 | 30 |
| 113 | mla_merge_uv_layer | 23.99 | 22.76 | 25.52 | 30 |
| 114 | linear_with_residual_layer | 12.62 | 11.86 | 15.10 | 30 |
| 115 | moe_router_layer | 22.54 | 21.26 | 24.15 | 30 |
| 116 | gang_moe_w13_linear_layer | 41.74 | 39.10 | 44.65 | 30 |
| 117 | gang_moe_w2_silu_linear_layer | 23.41 | 21.30 | 25.00 | 30 |
| 118 | moe_mul_sum_add_layer | 5.18 | 4.22 | 7.02 | 30 |
| 119 | linear_norm_layer | 18.43 | 17.64 | 19.20 | 30 |
| 120 | mla_prep_layer | 10.11 | 9.76 | 10.40 | 30 |
| 121 | mla_attend_layer | 12.40 | 11.76 | 12.80 | 30 |
| 122 | mla_merge_uv_layer | 24.24 | 23.06 | 26.54 | 30 |
| 123 | linear_with_residual_layer | 12.88 | 12.21 | 15.50 | 30 |
| 124 | moe_router_layer | 22.88 | 21.34 | 23.72 | 30 |
| 125 | gang_moe_w13_linear_layer | 40.80 | 38.67 | 42.81 | 30 |
| 126 | gang_moe_w2_silu_linear_layer | 23.11 | 21.65 | 24.88 | 30 |
| 127 | moe_mul_sum_add_layer | 5.02 | 4.34 | 6.34 | 30 |
| 128 | linear_norm_layer | 18.52 | 17.82 | 19.56 | 30 |
| 129 | mla_prep_layer | 10.20 | 9.91 | 10.64 | 30 |
| 130 | mla_attend_layer | 12.23 | 11.89 | 12.57 | 30 |
| 131 | mla_merge_uv_layer | 24.00 | 23.17 | 27.00 | 30 |
| 132 | linear_with_residual_layer | 12.97 | 11.75 | 16.48 | 30 |
| 133 | moe_router_layer | 24.09 | 22.17 | 25.39 | 30 |
| 134 | gang_moe_w13_linear_layer | 41.22 | 38.49 | 44.57 | 30 |
| 135 | gang_moe_w2_silu_linear_layer | 23.04 | 21.74 | 25.88 | 30 |
| 136 | moe_mul_sum_add_layer | 5.11 | 4.31 | 6.41 | 30 |
| 137 | linear_norm_layer | 18.73 | 17.88 | 19.85 | 30 |
| 138 | mla_prep_layer | 10.12 | 9.85 | 10.47 | 30 |
| 139 | mla_attend_layer | 12.11 | 11.47 | 12.63 | 30 |
| 140 | mla_merge_uv_layer | 24.80 | 23.20 | 27.32 | 30 |
| 141 | linear_with_residual_layer | 12.58 | 11.73 | 14.44 | 30 |
| 142 | moe_router_layer | 23.85 | 22.10 | 24.86 | 30 |
| 143 | gang_moe_w13_linear_layer | 41.43 | 39.11 | 44.60 | 30 |
| 144 | gang_moe_w2_silu_linear_layer | 23.09 | 21.79 | 25.44 | 30 |
| 145 | moe_mul_sum_add_layer | 5.03 | 4.24 | 6.62 | 30 |
| 146 | linear_norm_layer | 18.65 | 17.84 | 19.48 | 30 |
| 147 | mla_prep_layer | 10.02 | 9.64 | 11.04 | 30 |
| 148 | mla_attend_layer | 12.35 | 11.32 | 15.00 | 30 |
| 149 | mla_merge_uv_layer | 24.84 | 23.13 | 26.64 | 30 |
| 150 | linear_with_residual_layer | 12.68 | 12.01 | 13.86 | 30 |
| 151 | moe_router_layer | 25.55 | 23.93 | 26.86 | 30 |
| 152 | gang_moe_w13_linear_layer | 41.50 | 38.31 | 43.84 | 30 |
| 153 | gang_moe_w2_silu_linear_layer | 23.35 | 21.60 | 25.84 | 30 |
| 154 | moe_mul_sum_add_layer | 4.98 | 4.24 | 6.81 | 30 |
| 155 | linear_norm_layer | 18.62 | 18.03 | 19.52 | 30 |
| 156 | mla_prep_layer | 10.12 | 9.85 | 10.45 | 30 |
| 157 | mla_attend_layer | 11.75 | 11.15 | 12.51 | 30 |
| 158 | mla_merge_uv_layer | 24.09 | 22.85 | 27.28 | 30 |
| 159 | linear_with_residual_layer | 12.47 | 11.56 | 14.69 | 30 |
| 160 | moe_router_layer | 23.91 | 22.36 | 25.41 | 30 |
| 161 | gang_moe_w13_linear_layer | 42.11 | 38.51 | 47.44 | 30 |
| 162 | gang_moe_w2_silu_linear_layer | 23.23 | 21.95 | 25.92 | 30 |
| 163 | moe_mul_sum_add_layer | 4.90 | 4.16 | 5.70 | 30 |
| 164 | linear_norm_layer | 18.71 | 17.92 | 19.72 | 30 |
| 165 | mla_prep_layer | 9.85 | 9.55 | 10.44 | 30 |
| 166 | mla_attend_layer | 12.20 | 11.77 | 12.73 | 30 |
| 167 | mla_merge_uv_layer | 23.87 | 22.78 | 26.72 | 30 |
| 168 | linear_with_residual_layer | 12.62 | 12.02 | 13.77 | 30 |
| 169 | moe_router_layer | 23.90 | 21.75 | 24.65 | 30 |
| 170 | gang_moe_w13_linear_layer | 41.09 | 38.88 | 46.23 | 30 |
| 171 | gang_moe_w2_silu_linear_layer | 23.05 | 21.62 | 24.84 | 30 |
| 172 | moe_mul_sum_add_layer | 5.19 | 4.06 | 7.77 | 30 |
| 173 | linear_norm_layer | 18.63 | 17.66 | 20.28 | 30 |
| 174 | mla_prep_layer | 9.91 | 9.64 | 10.54 | 30 |
| 175 | mla_attend_layer | 11.57 | 11.12 | 12.08 | 30 |
| 176 | mla_merge_uv_layer | 24.41 | 22.76 | 27.20 | 30 |
| 177 | linear_with_residual_layer | 13.17 | 12.02 | 16.84 | 30 |
| 178 | moe_router_layer | 24.82 | 22.36 | 25.50 | 30 |
| 179 | gang_moe_w13_linear_layer | 40.61 | 38.15 | 43.90 | 30 |
| 180 | gang_moe_w2_silu_linear_layer | 23.30 | 22.00 | 26.68 | 30 |
| 181 | moe_mul_sum_add_layer | 5.17 | 4.20 | 5.86 | 30 |
| 182 | linear_norm_layer | 18.73 | 17.97 | 19.68 | 30 |
| 183 | mla_prep_layer | 10.16 | 9.74 | 10.54 | 30 |
| 184 | mla_attend_layer | 12.17 | 11.42 | 12.70 | 30 |
| 185 | mla_merge_uv_layer | 23.84 | 22.87 | 26.84 | 30 |
| 186 | linear_with_residual_layer | 12.72 | 11.90 | 15.83 | 30 |
| 187 | moe_router_layer | 23.17 | 21.75 | 24.55 | 30 |
| 188 | gang_moe_w13_linear_layer | 41.41 | 38.42 | 46.88 | 30 |
| 189 | gang_moe_w2_silu_linear_layer | 22.97 | 21.36 | 25.16 | 30 |
| 190 | moe_mul_sum_add_layer | 5.05 | 4.23 | 6.31 | 30 |
| 191 | linear_norm_layer | 18.26 | 17.52 | 18.76 | 30 |
| 192 | mla_prep_layer | 9.89 | 9.56 | 10.21 | 30 |
| 193 | mla_attend_layer | 12.27 | 11.63 | 12.80 | 30 |
| 194 | mla_merge_uv_layer | 24.10 | 22.80 | 25.97 | 30 |
| 195 | linear_with_residual_layer | 13.15 | 12.24 | 16.76 | 30 |
| 196 | moe_router_layer | 23.70 | 22.70 | 24.93 | 30 |
| 197 | gang_moe_w13_linear_layer | 41.26 | 38.75 | 44.67 | 30 |
| 198 | gang_moe_w2_silu_linear_layer | 22.78 | 21.64 | 24.80 | 30 |
| 199 | moe_mul_sum_add_layer | 5.01 | 4.31 | 5.50 | 30 |
| 200 | linear_norm_layer | 18.40 | 17.85 | 19.32 | 30 |
| 201 | mla_prep_layer | 10.17 | 9.75 | 10.59 | 30 |
| 202 | mla_attend_layer | 11.70 | 11.12 | 15.00 | 30 |
| 203 | mla_merge_uv_layer | 24.46 | 22.96 | 26.79 | 30 |
| 204 | linear_with_residual_layer | 12.80 | 12.11 | 15.50 | 30 |
| 205 | moe_router_layer | 23.42 | 22.66 | 25.66 | 30 |
| 206 | gang_moe_w13_linear_layer | 44.57 | 41.49 | 47.56 | 30 |
| 207 | gang_moe_w2_silu_linear_layer | 22.80 | 21.22 | 24.57 | 30 |
| 208 | moe_mul_sum_add_layer | 4.86 | 4.06 | 6.31 | 30 |
| 209 | linear_norm_layer | 18.32 | 17.54 | 19.15 | 30 |
| 210 | mla_prep_layer | 10.09 | 9.73 | 10.55 | 30 |
| 211 | mla_attend_layer | 12.34 | 12.01 | 15.48 | 30 |
| 212 | mla_merge_uv_layer | 24.21 | 23.24 | 27.32 | 30 |
| 213 | linear_with_residual_layer | 13.09 | 11.69 | 16.56 | 30 |
| 214 | moe_router_layer | 23.47 | 22.42 | 25.71 | 30 |
| 215 | gang_moe_w13_linear_layer | 41.67 | 37.94 | 43.47 | 30 |
| 216 | gang_moe_w2_silu_linear_layer | 23.44 | 21.71 | 25.70 | 30 |
| 217 | moe_mul_sum_add_layer | 4.86 | 4.01 | 5.62 | 30 |
| 218 | linear_norm_layer | 18.39 | 17.72 | 19.56 | 30 |
| 219 | mla_prep_layer | 10.04 | 9.76 | 10.37 | 30 |
| 220 | mla_attend_layer | 11.77 | 11.40 | 12.13 | 30 |
| 221 | mla_merge_uv_layer | 23.62 | 22.76 | 25.94 | 30 |
| 222 | linear_with_residual_layer | 12.90 | 12.10 | 15.50 | 30 |
| 223 | moe_router_layer | 22.58 | 21.73 | 23.81 | 30 |
| 224 | gang_moe_w13_linear_layer | 42.00 | 39.35 | 43.83 | 30 |
| 225 | gang_moe_w2_silu_linear_layer | 22.81 | 21.54 | 24.36 | 30 |
| 226 | moe_mul_sum_add_layer | 5.06 | 4.41 | 6.43 | 30 |
| 227 | linear_norm_layer | 18.45 | 17.87 | 19.12 | 30 |
| 228 | mla_prep_layer | 10.19 | 9.80 | 10.68 | 30 |
| 229 | mla_attend_layer | 12.28 | 11.44 | 15.12 | 30 |
| 230 | mla_merge_uv_layer | 23.53 | 22.74 | 25.96 | 30 |
| 231 | linear_with_residual_layer | 12.88 | 12.16 | 15.47 | 30 |
| 232 | moe_router_layer | 23.53 | 22.76 | 25.44 | 30 |
| 233 | gang_moe_w13_linear_layer | 42.32 | 39.23 | 43.63 | 30 |
| 234 | gang_moe_w2_silu_linear_layer | 22.69 | 21.64 | 24.67 | 30 |
| 235 | moe_mul_sum_add_layer | 4.82 | 4.08 | 5.45 | 30 |
| 236 | linear_norm_layer | 18.52 | 17.75 | 19.08 | 30 |
| 237 | mla_prep_layer | 10.20 | 9.75 | 10.50 | 30 |
| 238 | mla_attend_layer | 12.10 | 11.41 | 12.53 | 30 |
| 239 | mla_merge_uv_layer | 23.59 | 23.04 | 25.14 | 30 |
| 240 | linear_with_residual_layer | 12.74 | 11.99 | 14.30 | 30 |
| 241 | moe_router_layer | 23.22 | 22.05 | 24.84 | 30 |
| 242 | gang_moe_w13_linear_layer | 42.02 | 38.91 | 43.84 | 30 |
| 243 | gang_moe_w2_silu_linear_layer | 22.75 | 21.79 | 24.70 | 30 |
| 244 | moe_mul_sum_add_layer | 5.57 | 4.32 | 6.77 | 30 |
| 245 | linear_norm_layer | 0.21 | 0.00 | 0.59 | 30 |
| 246 | argmax_partial_layer | 0.16 | 0.00 | 0.52 | 30 |
| 247 | argmax_reduce_layer | 0.27 | 0.01 | 0.76 | 30 |
| 248 | event_248 | 0.26 | 0.00 | 0.94 | 30 |
| 249 | event_249 | 0.38 | 0.02 | 1.56 | 30 |
| 250 | event_250 | 0.28 | 0.01 | 1.71 | 30 |
| 251 | event_251 | 0.23 | 0.00 | 0.81 | 30 |
| 252 | event_252 | 0.19 | 0.00 | 0.70 | 30 |
| 253 | event_253 | 0.24 | 0.00 | 0.94 | 30 |
| 254 | event_254 | 0.22 | 0.00 | 1.24 | 30 |
| 255 | event_255 | 0.22 | 0.00 | 0.97 | 30 |
| 256 | event_256 | 0.22 | 0.00 | 1.06 | 30 |
| 257 | event_257 | 0.23 | 0.00 | 0.81 | 30 |
| 258 | event_258 | 0.29 | 0.00 | 1.45 | 30 |
| 259 | event_259 | 0.23 | 0.00 | 0.80 | 30 |
| 260 | event_260 | 0.15 | 0.00 | 0.63 | 30 |
| 261 | event_261 | 0.24 | 0.00 | 0.76 | 30 |
| 262 | event_262 | 0.22 | 0.00 | 0.76 | 30 |
| 263 | event_263 | 0.18 | 0.00 | 1.06 | 30 |
| 264 | event_264 | 0.30 | 0.00 | 1.69 | 30 |
| 265 | event_265 | 0.20 | 0.00 | 1.04 | 30 |
| 266 | event_266 | 3.13 | 0.00 | 87.27 | 30 |
| 267 | event_267 | 0.15 | 0.00 | 0.76 | 30 |
| 268 | event_268 | 0.17 | 0.00 | 0.77 | 30 |
| 269 | event_269 | 0.24 | 0.00 | 1.28 | 30 |
| 270 | event_270 | 0.16 | 0.00 | 0.51 | 30 |
| 271 | event_271 | 0.24 | 0.00 | 1.59 | 30 |
| 272 | event_272 | 0.26 | 0.00 | 1.04 | 30 |
| 273 | event_273 | 0.34 | 0.00 | 1.58 | 30 |
| 274 | event_274 | 6.35 | 0.04 | 87.86 | 30 |
| 275 | event_275 | 0.24 | 0.02 | 0.97 | 30 |
| 276 | event_276 | 0.47 | 0.00 | 4.08 | 30 |
| 277 | event_277 | 3.56 | 0.01 | 91.18 | 30 |
| 278 | event_278 | 3.25 | 0.00 | 84.51 | 30 |
| 279 | event_279 | 32.26 | 0.04 | 88.92 | 30 |
| 280 | event_280 | 20.74 | 0.03 | 88.55 | 30 |
| 281 | event_281 | 20.86 | 0.00 | 89.21 | 30 |
| 282 | event_282 | 5.47 | 0.00 | 40.53 | 30 |
| 283 | event_283 | 0.37 | 0.00 | 0.90 | 30 |
| 284 | event_284 | 4.54 | 0.00 | 40.67 | 30 |
| 285 | event_285 | 0.53 | 0.02 | 2.32 | 30 |
| 286 | event_286 | 9.17 | 0.00 | 39.40 | 30 |
| 287 | event_287 | 9.39 | 0.02 | 40.44 | 30 |
| 288 | event_288 | 3.12 | 0.00 | 41.93 | 30 |
| 289 | event_289 | 0.38 | 0.03 | 1.40 | 30 |
| 290 | event_290 | 1.56 | 0.00 | 38.76 | 30 |
| 291 | event_291 | 1.68 | 0.01 | 38.28 | 30 |
| 292 | event_292 | 0.39 | 0.01 | 2.39 | 30 |
| 293 | event_293 | 1.96 | 0.00 | 36.30 | 30 |
| 294 | event_294 | 5.79 | 0.01 | 41.72 | 30 |
| 295 | event_295 | 5.66 | 5.34 | 5.98 | 30 |
| 296 | event_296 | 5.08 | 4.88 | 5.30 | 30 |

-> /home/hotaisle/metalOps/harness/fleet_out/L27_head_it31_tile_fn1_fn2_fs_nt_mfma/metrics.json, /home/hotaisle/metalOps/harness/fleet_out/L27_head_it31_tile_fn1_fn2_fs_nt_mfma/report_table.md
