# Measurement report

| Quantity | Predicted | Measured |
|---|---|---|
| bytes per iteration (read, MiB) | 4709.9 weights + cache; about 4772.0 with activations | - |
| time per iteration, median (us) | 1148.5-1349.4 + 326 t_b + T_serial | 10233.0 |
| time per iteration, P95 (us) |  | 10299.5 |
| time per iteration from event timing, median (us) |  | 10232.8 |
| time per iteration from host wall clock (us) |  | 79347.7 |
| time per iteration from the kernel trace (us) |  | - |
| achieved read bandwidth (TB/s) | 3.66-4.3 over T_bw | - |
| launches per generation | 3 | - |
| L2 hit rate | 16-17% (Fleet's batch-1 figure) | - |
| tokens per second |  | 97.7 |
| workers with tasks (of those reporting) |  | 296 of 296 |
| tasks per XCD (placement) |  | 0:88929 1:88928 2:88928 3:88928 4:88959 5:88928 6:88928 7:88928 |
| shader clock from the spin (MHz) |  | - |
| exec cycles per task, busy workers |  | 39424.5 |
| exec us per task (at the spin's SCLK) |  | - |
| dep-wait us per iteration per busy worker |  | - |
| GFX clock from amd-smi during the run, median / max (MHz) | 2100 max (D2 of round 1) | 2103 / 2104 over 51 samples |
| memory clock from amd-smi, median (MHz) |  | 900 |

## Exec time per task by class (worker timing, I1)

| Class | tasks | cycles per task | us per task |
|---|---|---|---|
| attend | 31104 | 88199 | - |
| linear | 101376 | 35310 | - |
| linear_res | 57344 | 24463 | - |
| merge | 12096 | 40702 | - |
| prep | 864 | 313372 | - |
| rms | 1760 | 3572 | - |
| router | 832 | 41238 | - |
| w2silu | 217152 | 30537 | - |

## Per-operator time (event gaps, mean over iterations after the first)

| Event | Operator | mean us | min us | max us | n |
| 62 | moe_router_layer | 4.13 | 3.96 | 4.48 | 31 |
| 63 | gang_moe_w13_linear_layer | 23.08 | 22.21 | 27.17 | 31 |
| 64 | gang_moe_w2_silu_linear_layer | 43.18 | 40.21 | 47.03 | 31 |
| 65 | moe_mul_sum_add_layer | 23.79 | 22.68 | 25.44 | 31 |
| 66 | rmsnorm_layer | 4.93 | 4.71 | 5.23 | 31 |
| 67 | linear_layer | 4.79 | 4.20 | 5.25 | 31 |
| 68 | mla_prep_layer | 13.27 | 12.72 | 13.98 | 31 |
| 69 | mla_attend_layer | 150.15 | 147.29 | 154.04 | 31 |
| 70 | mla_merge_uv_layer | 60.63 | 60.28 | 61.50 | 31 |
| 71 | linear_with_residual_layer | 24.86 | 23.86 | 27.04 | 31 |
| 72 | rmsnorm_layer | 14.43 | 12.88 | 17.80 | 31 |
| 73 | moe_router_layer | 3.97 | 3.81 | 4.24 | 31 |
| 74 | gang_moe_w13_linear_layer | 23.64 | 21.82 | 29.34 | 31 |
| 75 | gang_moe_w2_silu_linear_layer | 41.40 | 38.86 | 44.14 | 31 |
| 76 | moe_mul_sum_add_layer | 23.88 | 21.98 | 26.56 | 31 |
| 77 | rmsnorm_layer | 5.23 | 4.56 | 6.72 | 31 |
| 78 | linear_layer | 4.44 | 4.00 | 4.93 | 31 |
| 79 | mla_prep_layer | 12.88 | 12.23 | 13.52 | 31 |
| 80 | mla_attend_layer | 149.31 | 146.45 | 152.59 | 31 |
| 81 | mla_merge_uv_layer | 61.02 | 60.01 | 61.59 | 31 |
| 82 | linear_with_residual_layer | 24.77 | 23.29 | 28.36 | 31 |
| 83 | rmsnorm_layer | 13.72 | 13.37 | 14.29 | 31 |
| 84 | moe_router_layer | 4.12 | 3.98 | 4.31 | 31 |
| 85 | gang_moe_w13_linear_layer | 22.09 | 21.69 | 25.41 | 31 |
| 86 | gang_moe_w2_silu_linear_layer | 43.23 | 40.05 | 46.87 | 31 |
| 87 | moe_mul_sum_add_layer | 23.63 | 22.04 | 25.59 | 31 |
| 88 | rmsnorm_layer | 5.01 | 4.79 | 5.32 | 31 |
| 89 | linear_layer | 4.73 | 4.13 | 5.13 | 31 |
| 90 | mla_prep_layer | 13.16 | 12.56 | 14.20 | 31 |
| 91 | mla_attend_layer | 150.20 | 147.04 | 153.24 | 31 |
| 92 | mla_merge_uv_layer | 60.82 | 60.26 | 61.30 | 31 |
| 93 | linear_with_residual_layer | 23.73 | 23.10 | 24.08 | 31 |
| 94 | rmsnorm_layer | 12.73 | 12.29 | 13.64 | 31 |
| 95 | moe_router_layer | 3.79 | 3.64 | 3.96 | 31 |
| 96 | gang_moe_w13_linear_layer | 23.91 | 21.66 | 24.42 | 31 |
| 97 | gang_moe_w2_silu_linear_layer | 41.22 | 38.70 | 45.18 | 31 |
| 98 | moe_mul_sum_add_layer | 23.86 | 22.24 | 25.39 | 31 |
| 99 | rmsnorm_layer | 4.94 | 4.68 | 5.44 | 31 |
