[EVENT_TIMING] 9632 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  31       7.62       6.64       8.44       0.40
  104 UNKNOWN                  31       7.71       6.92       8.44       0.42
  105 UNKNOWN                  31       7.62       6.96       8.60       0.41
  106 UNKNOWN                  31       7.61       6.68       8.32       0.38
  107 UNKNOWN                  31       7.59       6.96       8.48       0.44
  108 UNKNOWN                  31       7.67       6.84       8.72       0.49
  109 UNKNOWN                  31       7.68       6.92       8.52       0.41
  110 UNKNOWN                  31       7.68       7.04       8.60       0.43
  111 UNKNOWN                  31       7.65       6.88       8.44       0.46
  112 UNKNOWN                  31       7.66       6.96       8.40       0.40
  113 UNKNOWN                  31       7.64       7.08       8.32       0.37
  114 UNKNOWN                  31       7.67       6.88       8.48       0.39
  115 UNKNOWN                  31       7.59       6.52       8.76       0.42
  116 UNKNOWN                  31       7.68       6.96       8.84       0.45
  117 UNKNOWN                  31       7.65       6.88       8.68       0.42
  118 UNKNOWN                  31       7.65       6.80       8.32       0.43
  119 UNKNOWN                  31       7.69       7.04       8.40       0.36
  120 UNKNOWN                  31       7.68       6.72       8.44       0.43
  121 UNKNOWN                  31       7.61       6.80       8.24       0.42
  122 UNKNOWN                  31       7.64       6.84       8.32       0.37
  123 UNKNOWN                  31       7.61       6.44       8.40       0.42
  124 UNKNOWN                  31       7.64       6.92       8.36       0.40
  125 UNKNOWN                  31       7.67       6.96       8.48       0.42
  126 UNKNOWN                  31       7.67       6.64       8.40       0.42
  127 UNKNOWN                  31       7.63       7.00       8.44       0.41
  128 UNKNOWN                  31       7.72       6.88       8.72       0.48
  129 UNKNOWN                  31       7.60       6.84       8.56       0.41
  130 UNKNOWN                  31       7.61       6.48       8.44       0.48
  131 UNKNOWN                  31       7.69       7.12       8.36       0.32
  132 UNKNOWN                  31       7.72       7.00       8.48       0.40
  133 UNKNOWN                  31       7.65       7.04       8.84       0.41
  134 UNKNOWN                  31       7.62       6.88       8.68       0.42
  135 UNKNOWN                  31       7.67       6.96       8.68       0.40
  136 UNKNOWN                  31       7.70       7.12       8.76       0.39
  137 UNKNOWN                  31       7.69       6.72       8.44       0.42
  138 UNKNOWN                  31       7.66       6.76       8.84       0.51
  139 UNKNOWN                  31       7.69       6.92       8.44       0.40
  140 UNKNOWN                  31       7.65       6.84       8.48       0.38
  141 UNKNOWN                  31       7.69       6.84       8.60       0.42
  142 UNKNOWN                  31       7.70       6.92       8.68       0.43
  143 UNKNOWN                  31       7.56       6.68       8.60       0.46
  144 UNKNOWN                  31       7.68       6.88       8.32       0.40
  145 UNKNOWN                  31       7.63       6.84       8.40       0.42
  146 UNKNOWN                  31       7.69       6.72       8.56       0.47
  147 UNKNOWN                  31       7.68       6.88       8.52       0.43
  148 UNKNOWN                  31       7.68       6.88       8.48       0.42
  149 UNKNOWN                  31       7.66       6.76       8.72       0.45
  150 UNKNOWN                  31       7.70       6.80       8.40       0.42
  151 UNKNOWN                  31       7.58       6.80       8.68       0.42
  152 UNKNOWN                  31       7.74       7.00       8.40       0.35
  153 UNKNOWN                  31       7.63       6.84       8.72       0.40
  154 UNKNOWN                  31       7.63       6.88       8.60       0.43
  155 UNKNOWN                  31       7.68       7.04       8.72       0.41
  156 UNKNOWN                  31       7.67       6.84       8.36       0.41
  157 UNKNOWN                  31       7.71       6.92       8.56       0.45
  158 UNKNOWN                  31       7.61       6.84       8.52       0.46
  159 UNKNOWN                  31       7.66       6.80       8.56       0.44
  160 UNKNOWN                  31       7.60       6.96       8.40       0.37
  161 UNKNOWN                  31       7.62       6.88       8.44       0.43
  162 UNKNOWN                  31       7.66       6.84       8.40       0.40
  163 UNKNOWN                  31       7.61       6.72       8.28       0.39
  164 UNKNOWN                  31       7.73       6.84       8.48       0.44
  165 UNKNOWN                  31       7.69       6.68       8.64       0.42
  166 UNKNOWN                  31       7.60       6.76       8.32       0.42
  167 UNKNOWN                  31       7.67       6.68       8.52       0.47
  168 UNKNOWN                  31       7.63       7.00       8.68       0.40
  169 UNKNOWN                  31       7.67       7.12       8.28       0.35
  170 UNKNOWN                  31       7.69       7.08       8.80       0.39
  171 UNKNOWN                  31       7.59       6.76       8.40       0.40
  172 UNKNOWN                  31       7.64       6.84       8.84       0.48
  173 UNKNOWN                  31       7.61       6.80       8.36       0.42
  174 UNKNOWN                  31       7.66       6.80       8.52       0.47
  175 UNKNOWN                  31       7.71       6.60       8.64       0.48
  176 UNKNOWN                  31       7.64       6.96       8.40       0.41
  177 UNKNOWN                  31       7.60       6.84       8.32       0.34
  178 UNKNOWN                  31       7.63       7.00       8.44       0.38
  179 UNKNOWN                  31       7.64       6.68       8.40       0.47
  180 UNKNOWN                  31       7.66       6.92       8.60       0.40
  181 UNKNOWN                  31       7.61       6.68       8.56       0.45
  182 UNKNOWN                  31       7.69       6.96       8.72       0.47
  183 UNKNOWN                  31       7.69       6.88       8.56       0.43
  184 UNKNOWN                  31       7.70       6.76       8.44       0.47
  185 UNKNOWN                  31       7.59       6.72       8.36       0.42
  186 UNKNOWN                  31       7.64       6.84       8.24       0.37
  187 UNKNOWN                  31       7.67       7.00       8.40       0.39
  188 UNKNOWN                  31       7.65       6.60       8.44       0.44
  189 UNKNOWN                  31       7.61       6.84       8.80       0.51
  190 UNKNOWN                  31       7.65       6.88       8.92       0.42
  191 UNKNOWN                  31       7.66       7.04       8.28       0.36
  192 UNKNOWN                  31       7.68       6.76       8.76       0.50
  193 UNKNOWN                  31       7.66       6.84       8.80       0.43
  194 UNKNOWN                  31       7.66       6.84       8.56       0.42
  195 UNKNOWN                  31       7.65       6.72       8.44       0.45
  196 UNKNOWN                  31       7.64       6.96       8.48       0.35
  197 UNKNOWN                  31       7.62       6.68       8.56       0.51
  198 UNKNOWN                  31       7.57       6.64       8.48       0.42
  199 UNKNOWN                  31       7.64       6.92       8.80       0.43
  200 UNKNOWN                  31       7.63       7.00       8.48       0.37
  201 UNKNOWN                  31       7.72       7.12       8.60       0.45
  202 UNKNOWN                  31       7.69       6.84       8.56       0.45
  203 UNKNOWN                  31       7.61       6.80       8.36       0.44
  204 UNKNOWN                  31       7.68       6.60       8.64       0.46
  205 UNKNOWN                  31       7.62       6.88       8.32       0.42
  206 UNKNOWN                  31       7.65       6.96       8.32       0.40
  207 UNKNOWN                  31       7.62       7.08       8.20       0.36
  208 UNKNOWN                  31       7.71       7.00       8.72       0.48
  209 UNKNOWN                  31       7.64       6.92       8.72       0.41
  210 UNKNOWN                  31       7.65       6.76       8.64       0.47
  211 UNKNOWN                  31       7.63       6.64       8.64       0.43
  212 UNKNOWN                  31       7.70       6.76       8.44       0.44
  213 UNKNOWN                  31       7.63       6.76       8.64       0.50
  214 UNKNOWN                  31       7.60       6.84       8.44       0.44
  215 UNKNOWN                  31       7.61       6.88       8.24       0.34
  216 UNKNOWN                  31       7.70       6.80       8.52       0.42
  217 UNKNOWN                  31       7.66       6.80       8.48       0.44
  218 UNKNOWN                  31       7.60       6.92       8.36       0.37
  219 UNKNOWN                  31       7.65       6.76       8.48       0.44
  220 UNKNOWN                  31       7.72       7.00       8.80       0.49
  221 UNKNOWN                  31       7.66       6.68       8.56       0.45
  222 UNKNOWN                  31       7.65       6.64       8.76       0.49
  223 UNKNOWN                  31       7.60       6.96       8.28       0.39
  224 UNKNOWN                  31       7.79       7.20       8.56       0.36
  225 UNKNOWN                  31       7.59       6.72       8.68       0.49
  226 UNKNOWN                  31       7.62       6.96       8.80       0.42
  227 UNKNOWN                  31       7.60       6.80       8.48       0.45
  228 UNKNOWN                  31       7.71       6.88       8.48       0.39
  229 UNKNOWN                  31       7.62       6.92       8.84       0.48
  230 UNKNOWN                  31       7.69       6.32       8.84       0.46
  231 UNKNOWN                  31       7.65       6.80       8.16       0.39
  232 UNKNOWN                  31       7.64       6.92       8.52       0.42
  233 UNKNOWN                  31       7.70       6.96       8.44       0.40
  234 UNKNOWN                  31       7.62       6.92       8.36       0.41
  235 UNKNOWN                  31       7.58       6.76       8.60       0.44
  236 UNKNOWN                  31       7.65       6.48       8.32       0.41
  237 UNKNOWN                  31       7.62       6.68       8.40       0.41
  238 UNKNOWN                  31       7.68       6.80       8.48       0.44
  239 UNKNOWN                  31       7.73       6.88       8.40       0.42
  240 UNKNOWN                  31       7.61       6.96       8.40       0.39
  241 UNKNOWN                  31       7.65       7.00       8.44       0.41
  242 UNKNOWN                  31       7.63       6.96       8.52       0.40
  243 UNKNOWN                  31       7.67       6.92       8.28       0.42
  244 UNKNOWN                  31       7.64       6.92       8.36       0.40
  245 UNKNOWN                  31       7.68       6.88       8.80       0.43
  246 UNKNOWN                  31       7.73       7.04       8.52       0.39
  247 UNKNOWN                  31       7.67       6.84       8.76       0.48
  248 UNKNOWN                  31       7.72       6.96       8.60       0.41
  249 UNKNOWN                  31       7.60       6.80       8.64       0.42
  250 UNKNOWN                  31       7.69       6.88       8.64       0.42
  251 UNKNOWN                  31       7.64       6.76       8.48       0.41
  252 UNKNOWN                  31       7.70       6.92       8.56       0.39
  253 UNKNOWN                  31       7.66       6.92       8.32       0.35
  254 UNKNOWN                  31       7.65       6.84       8.72       0.49
  255 UNKNOWN                  31       7.69       6.80       8.48       0.44
  256 UNKNOWN                  31       7.65       6.68       8.56       0.43
  257 UNKNOWN                  31       7.60       6.88       8.24       0.39
  258 UNKNOWN                  31       7.66       6.72       8.40       0.45
  259 UNKNOWN                  31       7.60       6.80       8.44       0.45
  260 UNKNOWN                  31       7.64       6.76       8.24       0.43
  261 UNKNOWN                  31       7.70       7.00       8.44       0.38
  262 UNKNOWN                  31       7.65       7.12       8.40       0.32
  263 UNKNOWN                  31       7.74       7.00       8.60       0.37
  264 UNKNOWN                  31       7.53       6.72       8.92       0.49
  265 UNKNOWN                  31       7.65       6.92       8.60       0.38
  266 UNKNOWN                  31       7.64       6.64       8.52       0.44
  267 UNKNOWN                  31       7.60       6.68       8.56       0.44
  268 UNKNOWN                  31       7.72       6.56       8.84       0.45
  269 UNKNOWN                  31       7.66       6.88       8.32       0.42
  270 UNKNOWN                  31       7.64       6.92       8.52       0.36
  271 UNKNOWN                  31       7.63       6.76       8.36       0.42
  272 UNKNOWN                  31       7.70       6.96       8.76       0.44
  273 UNKNOWN                  31       7.51       6.88       8.28       0.40
  274 UNKNOWN                  31       7.66       6.60       8.44       0.41
  275 UNKNOWN                  31       7.68       6.96       8.60       0.44
  276 UNKNOWN                  31       7.69       6.84       8.68       0.48
  277 UNKNOWN                  31       7.65       6.64       8.60       0.44
  278 UNKNOWN                  31       7.66       6.88       8.48       0.43
  279 UNKNOWN                  31       7.60       6.84       8.60       0.42
  280 UNKNOWN                  31       7.62       6.88       8.24       0.39
  281 UNKNOWN                  31       7.66       6.88       8.72       0.41
  282 UNKNOWN                  31       7.69       6.96       8.80       0.42
  283 UNKNOWN                  31       7.64       6.72       8.56       0.42
  284 UNKNOWN                  31       7.67       6.68       8.88       0.42
  285 UNKNOWN                  31       7.66       6.84       8.60       0.43
  286 UNKNOWN                  31       7.64       6.76       8.28       0.46
  287 UNKNOWN                  31       7.62       6.88       8.68       0.38
  288 UNKNOWN                  31       7.62       6.88       8.24       0.40
  289 UNKNOWN                  31       7.61       6.68       8.40       0.39
  290 UNKNOWN                  31       7.67       6.92       8.48       0.42
  291 UNKNOWN                  31       7.64       6.80       8.80       0.42
  292 UNKNOWN                  31       7.62       6.76       8.36       0.45
  293 UNKNOWN                  31       7.68       6.68       8.56       0.45
  294 UNKNOWN                  31       7.66       6.76       9.00       0.51
  295 UNKNOWN                  31       7.58       6.92       8.32       0.38
  296 UNKNOWN                  31       7.64       7.00       8.48       0.40
  297 UNKNOWN                  31       7.71       6.92       8.48       0.43
  298 UNKNOWN                  31       7.70       6.88       8.68       0.45
  299 UNKNOWN                  31       7.66       6.84       8.64       0.46
  300 UNKNOWN                  31       7.69       7.04       8.80       0.39
  301 UNKNOWN                  31       7.61       6.76       8.36       0.41

================================================================================
PER-TYPE SUMMARY (sum of avg durations across all events)
================================================================================
TaskType             Events    Total(us)  Total(ms)        %
----------------------------------------------------------
UNKNOWN                 301       2509.0      2.509   100.0%
TOTAL                             2509.0      2.509

Saved raw event timing to event_timing.json
