[EVENT_TIMING] 9176 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
-------------------------------------------------------------------------
    1 UNKNOWN                  29     215.99     202.36     271.68      17.98
    2 UNKNOWN                  30      14.55      13.07      16.15       0.74
    3 UNKNOWN                  30      16.79      15.08      18.08       0.77
    4 UNKNOWN                  30      10.27       9.89      11.09       0.20
    5 UNKNOWN                  30      12.80      11.96      13.52       0.37
    6 UNKNOWN                  30      15.36      14.75      16.13       0.35
    7 UNKNOWN                  30       7.90       7.51       8.64       0.24
    8 UNKNOWN                  30       4.57       3.43       5.24       0.53
    9 UNKNOWN                  30      33.86      31.80      35.56       0.87
   10 UNKNOWN                  30      50.50      49.08      51.68       0.53
   11 UNKNOWN                  30      13.71      13.31      14.28       0.23
   12 UNKNOWN                  30       9.84       9.52      10.56       0.20
   13 UNKNOWN                  30      12.74      12.20      13.73       0.35
   14 UNKNOWN                  30      15.40      14.52      15.87       0.28
   15 UNKNOWN                  30       6.91       6.47       7.57       0.21
   16 UNKNOWN                  30      17.14      15.43      18.16       0.81
   17 UNKNOWN                  30      43.37      40.52      46.70       1.51
   18 UNKNOWN                  30      23.33      22.05      25.48       1.00
   19 UNKNOWN                  30       4.68       4.08       4.98       0.21
   20 UNKNOWN                  30      13.79      13.21      14.56       0.31
   21 UNKNOWN                  30       9.68       9.14      10.60       0.23
   22 UNKNOWN                  30      12.75      11.95      13.46       0.37
   23 UNKNOWN                  30      15.44      14.79      16.04       0.28
   24 UNKNOWN                  30       8.18       7.39       8.74       0.35
   25 UNKNOWN                  30      16.14      15.20      17.96       0.76
   26 UNKNOWN                  30      43.35      40.84      47.92       1.92
   27 UNKNOWN                  30      23.09      21.48      24.61       0.95
   28 UNKNOWN                  30       4.97       4.44       5.95       0.40
   29 UNKNOWN                  30      13.85      13.20      14.32       0.25
   30 UNKNOWN                  30       9.90       9.56      10.37       0.20
   31 UNKNOWN                  30      12.60      11.56      13.28       0.39
   32 UNKNOWN                  30      15.32      14.89      15.76       0.24
   33 UNKNOWN                  30       8.09       7.08       8.59       0.33
   34 UNKNOWN                  30      16.05      15.52      18.24       0.51
   35 UNKNOWN                  30      45.48      42.66      48.73       1.65
   36 UNKNOWN                  30      23.30      21.47      25.96       1.30
   37 UNKNOWN                  30       5.33       4.53       8.20       0.72
   38 UNKNOWN                  30      13.87      13.51      14.30       0.24
   39 UNKNOWN                  30      10.01       9.61      10.28       0.13
   40 UNKNOWN                  30      12.74      11.87      13.16       0.36
   41 UNKNOWN                  30      15.31      14.64      15.84       0.29
   42 UNKNOWN                  30       8.14       7.61       8.74       0.29
   43 UNKNOWN                  30      16.31      14.88      18.00       0.94
   44 UNKNOWN                  30      44.33      41.93      47.48       1.43
   45 UNKNOWN                  30      22.90      21.54      24.88       1.01
   46 UNKNOWN                  30       5.04       4.42       7.80       0.59
   47 UNKNOWN                  30      13.79      13.23      14.19       0.24
   48 UNKNOWN                  30       9.85       9.52      10.15       0.17
   49 UNKNOWN                  30      12.63      11.73      13.49       0.46
   50 UNKNOWN                  30      15.22      14.72      15.68       0.24
   51 UNKNOWN                  30       8.20       7.67       8.72       0.27
   52 UNKNOWN                  30      16.76      14.75      18.08       0.87
   53 UNKNOWN                  30      41.56      39.25      44.01       1.27
   54 UNKNOWN                  30      23.26      21.49      25.63       1.15
   55 UNKNOWN                  30       5.19       4.59       5.89       0.35
   56 UNKNOWN                  30      13.73      13.19      14.04       0.22
   57 UNKNOWN                  30       9.70       9.42      10.41       0.18
   58 UNKNOWN                  30      12.65      12.03      13.31       0.36
   59 UNKNOWN                  30      15.33      14.59      15.84       0.30
   60 UNKNOWN                  30       8.21       7.65       8.88       0.31
   61 UNKNOWN                  30      16.05      14.68      17.84       0.99
   62 UNKNOWN                  30      41.79      38.95      43.96       1.36
   63 UNKNOWN                  30      23.50      21.73      25.80       1.07
   64 UNKNOWN                  30       4.77       4.31       5.33       0.20
   65 UNKNOWN                  30      13.79      13.44      14.32       0.20
   66 UNKNOWN                  30       9.90       9.52      10.73       0.22
