[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  29      12.71      11.56      13.25       0.40
  104 UNKNOWN                  29      15.24      14.75      15.70       0.24
  105 UNKNOWN                  29       8.18       7.56       8.67       0.30
  106 UNKNOWN                  29      16.21      14.88      17.74       0.91
  107 UNKNOWN                  29      41.20      38.80      43.88       1.37
  108 UNKNOWN                  29      23.46      21.79      25.43       1.02
  109 UNKNOWN                  29       4.79       4.22       5.82       0.39
  110 UNKNOWN                  29      13.71      13.38      14.13       0.19
  111 UNKNOWN                  29       9.48       9.21      10.45       0.22
  112 UNKNOWN                  29      12.63      11.96      13.45       0.40
  113 UNKNOWN                  29      15.34      14.83      15.90       0.28
  114 UNKNOWN                  29       8.32       7.53       8.80       0.32
  115 UNKNOWN                  29      16.62      15.11      17.68       0.81
  116 UNKNOWN                  29      40.36      38.47      42.92       1.28
  117 UNKNOWN                  29      24.12      22.28      25.96       0.85
  118 UNKNOWN                  29       4.83       4.04       6.04       0.40
  119 UNKNOWN                  29      13.81      13.43      14.21       0.18
  120 UNKNOWN                  29       9.69       9.38      10.05       0.18
  121 UNKNOWN                  29      12.67      12.08      13.16       0.26
  122 UNKNOWN                  29      15.33      14.95      15.88       0.25
  123 UNKNOWN                  29       8.22       7.71       8.67       0.25
  124 UNKNOWN                  29      15.62      14.67      17.68       0.91
  125 UNKNOWN                  29      41.76      38.53      43.48       1.32
  126 UNKNOWN                  29      23.16      21.76      24.51       0.99
  127 UNKNOWN                  29       4.92       4.12       6.30       0.53
  128 UNKNOWN                  29      13.78      13.34      14.25       0.21
  129 UNKNOWN                  29      10.22       9.82      10.67       0.16
  130 UNKNOWN                  29      12.71      11.77      13.30       0.35
  131 UNKNOWN                  29      15.16      14.71      15.72       0.25
  132 UNKNOWN                  29       8.29       7.53       8.93       0.31
  133 UNKNOWN                  29      16.52      15.15      18.56       1.03
  134 UNKNOWN                  29      44.03      40.25      48.56       1.94
  135 UNKNOWN                  29      23.44      22.01      25.77       1.09
  136 UNKNOWN                  29       4.97       4.15       5.72       0.41
  137 UNKNOWN                  29      13.78      13.27      14.25       0.22
  138 UNKNOWN                  29       9.65       9.35      10.33       0.17
  139 UNKNOWN                  29      12.60      11.67      13.65       0.43
  140 UNKNOWN                  29      15.27      14.76      15.73       0.26
  141 UNKNOWN                  29       7.84       7.04       8.55       0.40
  142 UNKNOWN                  29      16.06      14.82      18.16       0.86
  143 UNKNOWN                  29      42.18      38.46      44.32       1.33
  144 UNKNOWN                  29      23.29      21.74      24.98       1.00
  145 UNKNOWN                  29       5.14       4.31       6.32       0.46
  146 UNKNOWN                  29      13.83      13.19      14.50       0.26
  147 UNKNOWN                  29       9.75       9.45      10.20       0.18
  148 UNKNOWN                  29      12.45      11.48      13.04       0.39
  149 UNKNOWN                  29      15.36      14.84      15.91       0.27
  150 UNKNOWN                  29       7.96       7.26       8.60       0.37
  151 UNKNOWN                  29      16.13      14.83      17.48       0.67
  152 UNKNOWN                  29      41.61      39.93      44.16       1.20
  153 UNKNOWN                  29      23.82      21.96      26.00       1.12
  154 UNKNOWN                  29       4.77       4.28       5.29       0.23
  155 UNKNOWN                  29      13.79      13.24      14.71       0.25
  156 UNKNOWN                  29       9.70       9.36      10.38       0.22
  157 UNKNOWN                  29      12.59      11.87      13.31       0.30
  158 UNKNOWN                  29      15.19      14.51      15.87       0.29
  159 UNKNOWN                  29       7.40       6.95       8.69       0.36
  160 UNKNOWN                  29      15.86      14.72      18.16       0.94
  161 UNKNOWN                  29      42.34      40.93      45.20       1.10
  162 UNKNOWN                  29      23.33      21.84      25.20       1.02
  163 UNKNOWN                  29       5.01       4.39       7.32       0.62
  164 UNKNOWN                  29      13.88      13.42      14.40       0.26
  165 UNKNOWN                  29      10.01       9.68      10.31       0.18
  166 UNKNOWN                  29      12.60      11.50      13.22       0.34
  167 UNKNOWN                  29      15.22      14.55      15.72       0.33
  168 UNKNOWN                  29       8.11       7.35       8.71       0.26
  169 UNKNOWN                  29      16.29      14.89      18.00       0.98
  170 UNKNOWN                  29      42.25      39.36      43.83       1.10
  171 UNKNOWN                  29      23.17      21.80      24.90       1.02
  172 UNKNOWN                  29       4.88       4.40       5.82       0.37
  173 UNKNOWN                  29      13.77      13.32      14.18       0.24
  174 UNKNOWN                  29       9.68       9.39      10.05       0.18
  175 UNKNOWN                  29      12.39      11.68      13.36       0.41
  176 UNKNOWN                  29      15.14      14.60      15.61       0.26
  177 UNKNOWN                  29       8.00       7.46       8.38       0.26
  178 UNKNOWN                  29      15.87      14.68      17.12       0.83
  179 UNKNOWN                  29      40.97      38.70      43.96       1.48
  180 UNKNOWN                  29      23.94      22.35      25.10       0.80
  181 UNKNOWN                  29       5.01       4.47       5.82       0.38
  182 UNKNOWN                  29      13.84      13.35      14.26       0.23
  183 UNKNOWN                  29       9.82       9.45      11.41       0.36
  184 UNKNOWN                  29      12.63      11.56      13.41       0.46
  185 UNKNOWN                  29      15.36      14.78      15.84       0.26
  186 UNKNOWN                  29       8.18       7.65       8.76       0.27
  187 UNKNOWN                  29      15.52      14.67      16.80       0.59
  188 UNKNOWN                  29      42.29      40.12      44.84       1.14
  189 UNKNOWN                  29      23.22      21.91      24.59       0.93
  190 UNKNOWN                  29       4.93       4.42       5.77       0.39
  191 UNKNOWN                  29      13.71      13.23      14.00       0.20
  192 UNKNOWN                  29       9.65       9.34      10.10       0.16
  193 UNKNOWN                  29      12.75      11.74      13.36       0.31
  194 UNKNOWN                  29      15.18      14.80      15.51       0.21
  195 UNKNOWN                  29       8.19       7.64       8.99       0.33
  196 UNKNOWN                  29      16.15      15.02      17.60       0.86
  197 UNKNOWN                  29      41.42      38.78      46.17       1.65
  198 UNKNOWN                  29      23.67      21.90      25.49       1.11
  199 UNKNOWN                  29       4.88       4.45       5.65       0.34
  200 UNKNOWN                  29      13.84      13.06      14.38       0.30
  201 UNKNOWN                  29       9.86       9.58      10.24       0.15
  202 UNKNOWN                  29      12.58      11.56      13.14       0.47
  203 UNKNOWN                  29      15.16      14.59      15.75       0.34
  204 UNKNOWN                  29       8.25       7.68       9.05       0.34
  205 UNKNOWN                  29      16.08      14.63      17.89       1.05
  206 UNKNOWN                  29      40.99      38.59      44.85       1.62
  207 UNKNOWN                  29      23.49      21.76      24.88       0.95
  208 UNKNOWN                  29       4.93       4.28       6.73       0.58
  209 UNKNOWN                  29      13.85      13.38      14.42       0.25
  210 UNKNOWN                  29       9.71       9.47      10.04       0.16
  211 UNKNOWN                  29      12.60      11.73      13.41       0.35
  212 UNKNOWN                  29      15.27      14.52      15.65       0.26
  213 UNKNOWN                  29       8.15       7.78       8.68       0.27
  214 UNKNOWN                  29      15.69      14.66      17.61       0.90
  215 UNKNOWN                  29      41.30      38.64      44.08       1.29
  216 UNKNOWN                  29      24.10      21.93      25.65       0.95
  217 UNKNOWN                  29       4.75       4.12       6.03       0.35
  218 UNKNOWN                  29      13.70      13.24      14.06       0.20
  219 UNKNOWN                  29       9.57       9.33       9.92       0.14
  220 UNKNOWN                  29      12.57      11.84      13.40       0.42
  221 UNKNOWN                  29      15.16      14.82      15.79       0.24
  222 UNKNOWN                  29       8.24       7.69       8.73       0.30
  223 UNKNOWN                  29      15.97      15.21      17.27       0.47
  224 UNKNOWN                  29      42.03      39.48      44.03       1.24
  225 UNKNOWN                  29      23.24      21.79      25.68       1.09
  226 UNKNOWN                  29       4.73       4.26       5.94       0.34
  227 UNKNOWN                  29      13.86      13.42      14.33       0.23
  228 UNKNOWN                  29       9.76       9.48      10.26       0.19
  229 UNKNOWN                  29      12.60      11.95      13.38       0.34
