"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,23566,23566,262144,3,"fill_kernel(HIP_vector_type<unsigned int, 4u>*, unsigned long)",256,0,0,12,4,32,"TCC_EA0_RDREQ_sum",852.000000,63989775038133,63989775450753
1,1,"Agent 1",1,23566,23566,262144,3,"fill_kernel(HIP_vector_type<unsigned int, 4u>*, unsigned long)",256,0,0,12,4,32,"TCC_BUBBLE_sum",0.00000000e+00,63989775038133,63989775450753
2,2,"Agent 1",1,23566,23566,77824,13,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"TCC_EA0_RDREQ_sum",777.000000,63989776495253,63989776801952
2,2,"Agent 1",1,23566,23566,77824,13,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"TCC_BUBBLE_sum",0.00000000e+00,63989776495253,63989776801952
3,3,"Agent 1",1,23566,23566,65536,13,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"TCC_EA0_RDREQ_sum",232.000000,63989776906751,63989776909477
3,3,"Agent 1",1,23566,23566,65536,13,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"TCC_BUBBLE_sum",0.00000000e+00,63989776906751,63989776909477
4,4,"Agent 1",1,23566,23566,65536,2,"warmup_kernel(HIP_vector_type<unsigned int, 4u> const*, HIP_vector_type<unsigned int, 4u>*, unsigned long)",256,0,0,8,0,16,"TCC_EA0_RDREQ_sum",8344.000000,63989777011790,63989777015158
4,4,"Agent 1",1,23566,23566,65536,2,"warmup_kernel(HIP_vector_type<unsigned int, 4u> const*, HIP_vector_type<unsigned int, 4u>*, unsigned long)",256,0,0,8,0,16,"TCC_BUBBLE_sum",8192.000000,63989777011790,63989777015158
5,5,"Agent 1",1,23566,23566,67108864,1,"copy_kernel(HIP_vector_type<unsigned int, 4u> const*, HIP_vector_type<unsigned int, 4u>*, unsigned long)",256,0,0,8,0,16,"TCC_EA0_RDREQ_sum",8388760.000000,63989777109654,63989777960312
5,5,"Agent 1",1,23566,23566,67108864,1,"copy_kernel(HIP_vector_type<unsigned int, 4u> const*, HIP_vector_type<unsigned int, 4u>*, unsigned long)",256,0,0,8,0,16,"TCC_BUBBLE_sum",8388608.000000,63989777109654,63989777960312
6,6,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA0_RDREQ_sum",87.000000,63989778068800,63989778071766
6,6,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_BUBBLE_sum",64.000000,63989778068800,63989778071766
7,7,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA0_RDREQ_sum",87.000000,63989778173398,63989778176084
7,7,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_BUBBLE_sum",64.000000,63989778173398,63989778176084
8,8,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA0_RDREQ_sum",87.000000,63989778271622,63989778274468
8,8,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_BUBBLE_sum",64.000000,63989778271622,63989778274468
9,9,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA0_RDREQ_sum",87.000000,63989778375419,63989778378145
9,9,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_BUBBLE_sum",64.000000,63989778375419,63989778378145
10,10,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA0_RDREQ_sum",87.000000,63989778474083,63989778476810
10,10,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_BUBBLE_sum",64.000000,63989778474083,63989778476810
11,11,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA0_RDREQ_sum",87.000000,63989778571826,63989778574472
11,11,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_BUBBLE_sum",64.000000,63989778571826,63989778574472
12,12,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA0_RDREQ_sum",87.000000,63989778775731,63989778778417
12,12,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_BUBBLE_sum",64.000000,63989778775731,63989778778417
13,13,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA0_RDREQ_sum",87.000000,63989778872832,63989778875318
13,13,"Agent 1",1,23566,23566,512,10,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_BUBBLE_sum",64.000000,63989778872832,63989778875318
