[EVENT_TIMING] 8880 event firings recorded

================================================================================
PER-EVENT WALL-CLOCK TIMING (barrier-to-barrier)
================================================================================
Event TaskType              Count    Avg(us)    Min(us)    Max(us)    Std(us)
  103 UNKNOWN                  29      12.39      11.24      13.10       0.48
  104 UNKNOWN                  29      15.14      14.64      15.60       0.29
  105 UNKNOWN                  29       7.87       7.46       8.27       0.26
  106 UNKNOWN                  29      15.58      14.35      17.19       0.79
  107 UNKNOWN                  29      44.35      41.57      47.84       1.56
  108 UNKNOWN                  29      23.24      21.63      25.08       1.05
  109 UNKNOWN                  29       4.77       4.29       5.48       0.31
  110 UNKNOWN                  29      13.86      13.42      14.44       0.23
  111 UNKNOWN                  29       9.59       9.32      10.33       0.20
  112 UNKNOWN                  29      12.25      11.44      13.12       0.44
  113 UNKNOWN                  29      15.23      14.68      15.81       0.27
  114 UNKNOWN                  29       7.97       7.21       8.46       0.28
  115 UNKNOWN                  29      16.55      15.60      18.12       0.73
  116 UNKNOWN                  29      41.61      38.75      43.90       1.32
  117 UNKNOWN                  29      23.31      21.72      25.36       1.05
  118 UNKNOWN                  29       4.98       4.34       6.74       0.52
  119 UNKNOWN                  29      14.06      13.48      14.41       0.23
  120 UNKNOWN                  29       9.60       9.32      10.35       0.23
  121 UNKNOWN                  29      12.57      11.81      13.05       0.31
  122 UNKNOWN                  29      15.06      14.56      15.72       0.32
  123 UNKNOWN                  29       7.76       7.28       8.39       0.27
  124 UNKNOWN                  29      15.85      14.99      16.83       0.45
  125 UNKNOWN                  29      42.01      40.04      44.01       1.13
  126 UNKNOWN                  29      23.19      21.47      25.07       1.01
  127 UNKNOWN                  29       4.94       4.27       6.83       0.55
  128 UNKNOWN                  29      13.97      13.67      14.39       0.20
  129 UNKNOWN                  29       9.74       9.39      10.52       0.22
  130 UNKNOWN                  29      12.59      11.96      13.40       0.40
  131 UNKNOWN                  29      15.02      14.44      15.61       0.27
  132 UNKNOWN                  29       7.91       7.19       8.31       0.23
  133 UNKNOWN                  29      15.83      15.05      17.66       0.68
  134 UNKNOWN                  29      42.64      40.14      44.14       0.95
  135 UNKNOWN                  29      23.08      21.59      25.31       0.97
  136 UNKNOWN                  29       4.96       4.37       6.20       0.38
  137 UNKNOWN                  29      14.04      13.67      14.73       0.26
  138 UNKNOWN                  29       9.92       9.56      10.28       0.17
  139 UNKNOWN                  29      12.28      11.36      13.44       0.54
  140 UNKNOWN                  29      15.04      14.32      15.58       0.29
  141 UNKNOWN                  29       7.77       7.29       8.29       0.25
  142 UNKNOWN                  29      16.89      15.19      17.99       0.97
  143 UNKNOWN                  29      41.36      38.61      43.72       1.39
  144 UNKNOWN                  29      23.61      21.88      25.76       1.04
  145 UNKNOWN                  29       5.16       4.46       8.07       0.78
  146 UNKNOWN                  29      14.09      13.39      14.41       0.23
  147 UNKNOWN                  29       9.78       9.52      10.88       0.25
  148 UNKNOWN                  29      12.46      11.43      13.08       0.41
  149 UNKNOWN                  29      14.90      14.41      15.47       0.24
